IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
AIR_41,Ambient air pollution attributable deaths,numeric,WPR,Western Pacific,Country,CHN,China,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1163753,,,908375,,1448771,1 163 753 [908 375-1 448 771],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,AZE,Azerbaijan,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10025,,,6727,,13059,10 025 [6727-13 059],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,NER,Niger,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10827,,,6806,,15132,10 827 [6806-15 132],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,BGR,Bulgaria,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,10865,,,7694,,13714,10 865 [7694-13 714],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,NGA,Nigeria,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,100997,,,77396,,125062,100 997 [77 396-125 062],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,RUS,Russian Federation,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,108638,,,65275,,154012,108 638 [65 275-154 012],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,CIV,Cote d'Ivoire,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,11075,,,7520,,14713,11 075 [7520-14 713],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,SVN,Slovenia,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1102,,,797.8,,1389,1102 [798-1389],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,URY,Uruguay,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1115,,,707.9,,1544,1115 [708-1544],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,IRL,Ireland,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1116,,,737.1,,1516,1116 [737-1516],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,EUR,Europe,Country,FIN,Finland,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1185,,,642.1,,1703,1185 [642-1703],,,EN,2024-10-02T22:00:00.000Z
AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,BRB,Barbados,Year,2019,true,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,119.2,,,73.25,,173.1,119 [73-173],,,EN,2024-10-02T22:00:00.000Z
