Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation
Afghanistan,2004,Both sexes,,0.7000000000000001,,Eastern Mediterranean
Albania,2004,Both sexes,,0.1,,Europe
Algeria,2004,Both sexes,,0.5,,Africa
Andorra,2004,Both sexes,,0.4,,Europe
Angola,2004,Both sexes,,1.3,,Africa
Antigua and Barbuda,2004,Both sexes,,5.5,,Americas
Argentina,2004,Both sexes,,1.7000000000000002,,Americas
Armenia,2004,Both sexes,,1.3,,Europe
Australia,2004,Both sexes,,1.0,,Western Pacific
Austria,2004,Both sexes,,3.2,,Europe
Azerbaijan,2004,Both sexes,,1.7000000000000002,,Europe
Bahamas,2004,Both sexes,,4.9,,Americas
Bahrain,2004,Both sexes,,0.5,,Eastern Mediterranean
Bangladesh,2004,Both sexes,,1.0,,South-East Asia
Barbados,2004,Both sexes,,0.7000000000000001,,Americas
Belarus,2004,Both sexes,,3.1,,Europe
Belgium,2004,Both sexes,,1.7000000000000002,,Europe
Belize,2004,Both sexes,,2.0,,Americas
Benin,2004,Both sexes,,0.8,,Africa
Bhutan,2004,Both sexes,,1.1,,South-East Asia
Bolivia (Plurinational State of),2004,Both sexes,,1.5,,Americas
Bosnia and Herzegovina,2004,Both sexes,,0.2,,Europe
Botswana,2004,Both sexes,,0.6000000000000001,,Africa
Brazil,2004,Both sexes,,4.8,,Americas
Bulgaria,2004,Both sexes,,0.8,,Europe
Burkina Faso,2004,Both sexes,,0.9,,Africa
Burundi,2004,Both sexes,,0.9,,Africa
Cambodia,2004,Both sexes,,1.2,,Western Pacific
Cameroon,2004,Both sexes,,0.8,,Africa
Canada,2004,Both sexes,,1.6,,Americas
Cabo Verde,2004,Both sexes,,0.5,,Africa
Central African Republic,2004,Both sexes,,0.9,,Africa
Chad,2004,Both sexes,,1.0,,Africa
Chile,2004,Both sexes,,3.0,,Americas
China,2004,Both sexes,,0.9,,Western Pacific
Colombia,2004,Both sexes,,0.0,,Americas
Comoros,2004,Both sexes,,0.6000000000000001,,Africa
Congo,2004,Both sexes,,0.7000000000000001,,Africa
Cook Islands,2004,Both sexes,,0.1,,Western Pacific
Costa Rica,2004,Both sexes,,1.3,,Americas
