IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,TCD,Chad,Year,2014-2015,false,,,,,,,,,,,,,24,,,,,,24,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,PAK,Pakistan,Year,2014-2015,false,,,,,,,,,,,,,59,,,,,,59,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,GTM,Guatemala,Year,2014-2015,false,,,,,,,,,,,,,66,,,,,,66,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,RWA,Rwanda,Year,2014-2015,false,,,,,,,,,,,,,91,,,,,,91,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,KOR,Republic of Korea,Year,2013-2015,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,AIA,Anguilla,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,ARG,Argentina,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,ARM,Armenia,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,AUS,Australia,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,AZE,Azerbaijan,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,BHR,Bahrain,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BRB,Barbados,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,BLR,Belarus,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BMU,Bermuda,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,BIH,Bosnia and Herzegovina,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,BWA,Botswana,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,BRN,Brunei Darussalam,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CHL,Chile,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,CHN,China,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,HRV,Croatia,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,CYP,Cyprus,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,CZE,Czechia,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,DMA,Dominica,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,EST,Estonia,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,FJI,Fiji,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,FIN,Finland,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,GEO,Georgia,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,GRC,Greece,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,IRL,Ireland,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,ITA,Italy,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,JAM,Jamaica,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,JPN,Japan,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,KAZ,Kazakhstan,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,LTU,Lithuania,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,MLT,Malta,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,MUS,Mauritius,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,MKD,North Macedonia,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,PSE,"occupied Palestinian territory, including east Jerusalem",Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,PLW,Palau,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,POL,Poland,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,PRT,Portugal,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,QAT,Qatar,Year,2014,false,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
