Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation
Afghanistan,2004,Both sexes,,3.8,,Eastern Mediterranean
Albania,2004,Both sexes,,6.7,,Europe
Algeria,2004,Both sexes,,9.8,,Africa
Andorra,2004,Both sexes,,0.7000000000000001,,Europe
Angola,2004,Both sexes,,48.2,,Africa
Antigua and Barbuda,2004,Both sexes,,7.5,,Americas
Argentina,2004,Both sexes,,6.8,,Americas
Armenia,2004,Both sexes,,3.2,,Europe
Australia,2004,Both sexes,,1.3,,Western Pacific
Austria,2004,Both sexes,,0.7000000000000001,,Europe
Azerbaijan,2004,Both sexes,,2.9,,Europe
Bahamas,2004,Both sexes,,22.4,,Americas
Bahrain,2004,Both sexes,,1.1,,Eastern Mediterranean
Bangladesh,2004,Both sexes,,9.7,,South-East Asia
Barbados,2004,Both sexes,,14.5,,Americas
Belarus,2004,Both sexes,,8.9,,Europe
Belgium,2004,Both sexes,,1.6,,Europe
Belize,2004,Both sexes,,28.0,,Americas
Benin,2004,Both sexes,,15.8,,Africa
Bhutan,2004,Both sexes,,5.7,,South-East Asia
Bolivia (Plurinational State of),2004,Both sexes,,4.4,,Americas
Bosnia and Herzegovina,2004,Both sexes,,1.8,,Europe
Botswana,2004,Both sexes,,24.2,,Africa
Brazil,2004,Both sexes,,29.9,,Americas
Brunei Darussalam,2004,Both sexes,,0.9,,Western Pacific
Bulgaria,2004,Both sexes,,2.7,,Europe
Burkina Faso,2004,Both sexes,,22.5,,Africa
Burundi,2004,Both sexes,,44.8,,Africa
Cambodia,2004,Both sexes,,21.6,,Western Pacific
Cameroon,2004,Both sexes,,19.0,,Africa
Canada,2004,Both sexes,,1.4,,Americas
Cabo Verde,2004,Both sexes,,12.1,,Africa
Central African Republic,2004,Both sexes,,36.0,,Africa
Chad,2004,Both sexes,,23.8,,Africa
Chile,2004,Both sexes,,5.3,,Americas
China,2004,Both sexes,,2.1,,Western Pacific
Colombia,2004,Both sexes,,81.7,,Americas
Comoros,2004,Both sexes,,11.3,,Africa
Congo,2004,Both sexes,,23.5,,Africa
Cook Islands,2004,Both sexes,,0.8,,Western Pacific
Costa Rica,2004,Both sexes,,6.7,,Americas
Croatia,2004,Both sexes,,1.6,,Europe
Cuba,2004,Both sexes,,5.6,,Americas
Cyprus,2004,Both sexes,,0.2,,Europe
Czechia,2004,Both sexes,,1.2,,Europe
Democratic People's Republic of Korea,2004,Both sexes,,18.6,,South-East Asia
Democratic Republic of the Congo,2004,Both sexes,,45.1,,Africa
Denmark,2004,Both sexes,,0.9,,Europe
Djibouti,2004,Both sexes,,3.8,,Eastern Mediterranean
Dominica,2004,Both sexes,,9.8,,Americas
Dominican Republic,2004,Both sexes,,18.6,,Americas
Ecuador,2004,Both sexes,,25.1,,Americas
Egypt,2004,Both sexes,,1.5,,Eastern Mediterranean
El Salvador,2004,Both sexes,,41.2,,Americas
Equatorial Guinea,2004,Both sexes,,28.3,,Africa
Eritrea,2004,Both sexes,,20.3,,Africa
Estonia,2004,Both sexes,,7.7,,Europe
Ethiopia,2004,Both sexes,,25.7,,Africa
Fiji,2004,Both sexes,,0.7000000000000001,,Western Pacific
Finland,2004,Both sexes,,2.4,,Europe
France,2004,Both sexes,,0.8,,Europe
Gabon,2004,Both sexes,,18.7,,Africa
Gambia,2004,Both sexes,,16.1,,Africa
Georgia,2004,Both sexes,,3.4,,Europe
Germany,2004,Both sexes,,0.7000000000000001,,Europe
Ghana,2004,Both sexes,,14.1,,Africa
Greece,2004,Both sexes,,0.8,,Europe
Grenada,2004,Both sexes,,4.7,,Americas
Guatemala,2004,Both sexes,,51.3,,Americas
Guinea,2004,Both sexes,,20.5,,Africa
Guinea-Bissau,2004,Both sexes,,21.2,,Africa
Guyana,2004,Both sexes,,23.8,,Americas
Haiti,2004,Both sexes,,6.8,,Americas
Honduras,2004,Both sexes,,26.4,,Americas
Hungary,2004,Both sexes,,1.9,,Europe
Iceland,2004,Both sexes,,1.0,,Europe
India,2004,Both sexes,,6.5,,South-East Asia
Indonesia,2004,Both sexes,,9.7,,South-East Asia
Iran (Islamic Republic of),2004,Both sexes,,2.8,,Eastern Mediterranean
Iraq,2004,Both sexes,,8.5,,Eastern Mediterranean
Ireland,2004,Both sexes,,0.7000000000000001,,Europe
Israel,2004,Both sexes,,4.9,,Europe
Italy,2004,Both sexes,,0.9,,Europe
Jamaica,2004,Both sexes,,37.7,,Americas
Japan,2004,Both sexes,,0.5,,Western Pacific
Jordan,2004,Both sexes,,7.4,,Eastern Mediterranean
Kazakhstan,2004,Both sexes,,16.2,,Europe
Kenya,2004,Both sexes,,26.3,,Africa
Kiribati,2004,Both sexes,,6.5,,Western Pacific
Kuwait,2004,Both sexes,,1.2,,Eastern Mediterranean
Kyrgyzstan,2004,Both sexes,,9.8,,Europe
Lao People's Democratic Republic,2004,Both sexes,,7.1,,Western Pacific
Latvia,2004,Both sexes,,9.2,,Europe
Lebanon,2004,Both sexes,,2.7,,Eastern Mediterranean
Lesotho,2004,Both sexes,,16.2,,Africa
Liberia,2004,Both sexes,,21.5,,Africa
Libya,2004,Both sexes,,3.2,,Eastern Mediterranean
Lithuania,2004,Both sexes,,8.2,,Europe
Luxembourg,2004,Both sexes,,1.2,,Europe
Madagascar,2004,Both sexes,,14.6,,Africa
Malawi,2004,Both sexes,,25.1,,Africa
Malaysia,2004,Both sexes,,10.2,,Western Pacific
Maldives,2004,Both sexes,,2.3,,South-East Asia
Mali,2004,Both sexes,,23.5,,Africa
Malta,2004,Both sexes,,0.8,,Europe
Marshall Islands,2004,Both sexes,,1.7000000000000002,,Western Pacific
Mauritania,2004,Both sexes,,17.6,,Africa
Mauritius,2004,Both sexes,,2.6,,Africa
Mexico,2004,Both sexes,,9.9,,Americas
Micronesia (Federated States of),2004,Both sexes,,0.8,,Western Pacific
Monaco,2004,Both sexes,,0.9,,Europe
Mongolia,2004,Both sexes,,3.3,,Western Pacific
Morocco,2004,Both sexes,,1.2,,Eastern Mediterranean
Mozambique,2004,Both sexes,,25.6,,Africa
Myanmar,2004,Both sexes,,16.3,,South-East Asia
Namibia,2004,Both sexes,,15.8,,Africa
Nauru,2004,Both sexes,,12.6,,Western Pacific
Nepal,2004,Both sexes,,16.9,,South-East Asia
Netherlands,2004,Both sexes,,1.2,,Europe
New Zealand,2004,Both sexes,,1.4,,Western Pacific
Nicaragua,2004,Both sexes,,17.6,,Americas
Niger,2004,Both sexes,,26.9,,Africa
Nigeria,2004,Both sexes,,21.4,,Africa
Niue,2004,Both sexes,,1.0,,Western Pacific
Norway,2004,Both sexes,,0.8,,Europe
Oman,2004,Both sexes,,2.0,,Eastern Mediterranean
Pakistan,2004,Both sexes,,5.1,,Eastern Mediterranean
Palau,2004,Both sexes,,0.8,,Western Pacific
Panama,2004,Both sexes,,12.3,,Americas
Papua New Guinea,2004,Both sexes,,19.1,,Western Pacific
Paraguay,2004,Both sexes,,19.1,,Americas
Peru,2004,Both sexes,,3.4,,Americas
Philippines,2004,Both sexes,,24.7,,Western Pacific
Poland,2004,Both sexes,,1.4,,Europe
Portugal,2004,Both sexes,,1.6,,Europe
Qatar,2004,Both sexes,,0.9,,Eastern Mediterranean
Republic of Korea,2004,Both sexes,,2.0,,Western Pacific
Republic of Moldova,2004,Both sexes,,7.8,,Europe
Romania,2004,Both sexes,,2.9,,Europe
Russian Federation,2004,Both sexes,,26.7,,Europe
Rwanda,2004,Both sexes,,34.4,,Africa
Saint Kitts and Nevis,2004,Both sexes,,11.3,,Americas
Saint Lucia,2004,Both sexes,,22.4,,Americas
Saint Vincent and the Grenadines,2004,Both sexes,,16.6,,Americas
Samoa,2004,Both sexes,,1.0,,Western Pacific
San Marino,2004,Both sexes,,0.0,,Europe
Sao Tome and Principe,2004,Both sexes,,6.3,,Africa
Saudi Arabia,2004,Both sexes,,3.1,,Eastern Mediterranean
Senegal,2004,Both sexes,,17.2,,Africa
Seychelles,2004,Both sexes,,3.2,,Africa
Sierra Leone,2004,Both sexes,,39.8,,Africa
Singapore,2004,Both sexes,,1.2,,Western Pacific
Slovakia,2004,Both sexes,,1.8,,Europe
Slovenia,2004,Both sexes,,1.9,,Europe
Solomon Islands,2004,Both sexes,,1.2,,Western Pacific
Somalia,2004,Both sexes,,1.9,,Eastern Mediterranean
South Africa,2004,Both sexes,,70.8,,Africa
Spain,2004,Both sexes,,1.3,,Europe
Sri Lanka,2004,Both sexes,,6.8,,South-East Asia
Sudan,2004,Both sexes,,31.0,,Eastern Mediterranean
Suriname,2004,Both sexes,,12.9,,Americas
Eswatini,2004,Both sexes,,25.8,,Africa
Sweden,2004,Both sexes,,1.3,,Europe
Switzerland,2004,Both sexes,,0.9,,Europe
Syrian Arab Republic,2004,Both sexes,,3.0,,Eastern Mediterranean
Tajikistan,2004,Both sexes,,3.3,,Europe
Thailand,2004,Both sexes,,6.7,,South-East Asia
North Macedonia,2004,Both sexes,,5.1,,Europe
Timor-Leste,2004,Both sexes,,16.3,,South-East Asia
Togo,2004,Both sexes,,16.7,,Africa
Tonga,2004,Both sexes,,0.6000000000000001,,Western Pacific
Trinidad and Tobago,2004,Both sexes,,12.9,,Americas
Tunisia,2004,Both sexes,,1.7000000000000002,,Eastern Mediterranean
Turkey,2004,Both sexes,,2.9,,Europe
Turkmenistan,2004,Both sexes,,9.9,,Europe
Tuvalu,2004,Both sexes,,1.9,,Western Pacific
Uganda,2004,Both sexes,,33.1,,Africa
Ukraine,2004,Both sexes,,10.6,,Europe
United Arab Emirates,2004,Both sexes,,0.5,,Eastern Mediterranean
United Kingdom of Great Britain and Northern Ireland,2004,Both sexes,,2.0,,Europe
United Republic of Tanzania,2004,Both sexes,,33.3,,Africa
United States of America,2004,Both sexes,,6.2,,Americas
Uruguay,2004,Both sexes,,4.9,,Americas
Uzbekistan,2004,Both sexes,,4.0,,Europe
Vanuatu,2004,Both sexes,,1.0,,Western Pacific
Venezuela (Bolivarian Republic of),2004,Both sexes,,38.2,,Americas
Viet Nam,2004,Both sexes,,4.3,,Western Pacific
Yemen,2004,Both sexes,,3.2,,Eastern Mediterranean
Zambia,2004,Both sexes,,30.5,,Africa
Zimbabwe,2004,Both sexes,,37.7,,Africa
Côte d'Ivoire,2004,Both sexes,,62.4,,Africa
