Location,Period,FactValueNumeric,Comments,ParentLocation
Trinidad and Tobago,2010,18.086,,Americas
Georgia,2010,44.466,,Europe
Hungary,2010,28.896,,Europe
Lesotho,2010,0.6920000000000001,,Africa
Spain,2010,37.296,,Europe
Malaysia,2010,11.691,,Western Pacific
Denmark,2010,37.211,,Europe
Liberia,2010,0.231,,Africa
Tunisia,2010,12.22,,Eastern Mediterranean
Maldives,2010,14.356,,South-East Asia
China,2010,14.334,,Western Pacific
Sierra Leone,2010,0.212,,Africa
Montenegro,2010,20.439,,Europe
Panama,2010,14.058,,Americas
Netherlands,2010,29.516,,Europe
Kyrgyzstan,2010,23.394,,Europe
Kuwait,2010,24.296,,Eastern Mediterranean
Luxembourg,2010,27.683,,Europe
Bosnia and Herzegovina,2010,17.987,,Europe
Afghanistan,2010,2.365,,Eastern Mediterranean
Serbia,2010,24.82,,Europe
Norway,2010,41.167,,Europe
Republic of Moldova,2010,23.808,,Europe
Pakistan,2010,8.076,,Eastern Mediterranean
Tonga,2010,5.577,,Western Pacific
France,2010,33.736,,Europe
Philippines,2010,12.717,,Western Pacific
Germany,2010,37.567,,Europe
Lithuania,2010,39.138,,Europe
Bahrain,2010,9.493,,Eastern Mediterranean
Malta,2010,21.53,,Europe
Honduras,2010,2.95,,Americas
Cyprus,2010,21.562,,Europe
Albania,2010,12.347,,Europe
Ukraine,2010,34.83,,Europe
Ghana,2010,0.938,,Africa
Togo,2010,0.506,,Africa
Czechia,2010,35.743,,Europe
Mauritania,2010,1.565,,Africa
Portugal,2010,39.756,,Europe
Cameroon,2010,0.842,,Africa
Cambodia,2010,2.302,,Western Pacific
Oman,2010,19.274,,Eastern Mediterranean
Mozambique,2010,0.487,,Africa
Viet Nam,2010,7.1,,Western Pacific
Kiribati,2010,3.984,,Western Pacific
Slovenia,2010,24.367,,Europe
Myanmar,2010,5.224,,South-East Asia
Burundi,2010,0.482,,Africa
United Arab Emirates,2010,14.195,,Eastern Mediterranean
Cuba,2010,68.152,,Americas
Saint Vincent and the Grenadines,2010,6.648,,Americas
Cabo Verde,2010,5.928,,Africa
Madagascar,2010,1.953,,Africa
Finland,2010,32.653,,Europe
Zambia,2010,0.614,,Africa
Zimbabwe,2010,1.272,,Africa
Palau,2010,16.111,,Western Pacific
Kazakhstan,2010,39.278,,Europe
Russian Federation,2010,49.889,,Europe
Qatar,2010,37.273,,Eastern Mediterranean
Indonesia,2010,1.395,,South-East Asia
Colombia,2010,16.493,,Americas
Uzbekistan,2010,25.432,,Europe
Mauritius,2010,12.019,,Africa
Mali,2010,1.021,,Africa
Austria,2010,48.016,,Europe
Belgium,2010,29.085,,Europe
Bulgaria,2010,37.661,,Europe
Marshall Islands,2010,5.674,,Western Pacific
Iceland,2010,35.654,,Europe
Brunei Darussalam,2010,14.488,,Western Pacific
Armenia,2010,28.419,,Europe
Bolivia (Plurinational State of),2010,4.385,,Americas
Estonia,2010,32.422,,Europe
Jordan,2010,22.326,,Eastern Mediterranean
Syrian Arab Republic,2010,14.602,,Eastern Mediterranean
Kenya,2010,1.6960000000000002,,Africa
Turkmenistan,2010,22.743,,Europe
Sweden,2010,38.033,,Europe
Republic of Korea,2010,19.839,,Western Pacific
Mongolia,2010,27.564,,Western Pacific
Japan,2010,22.059,,Western Pacific
Italy,2010,38.16,,Europe
Saint Lucia,2010,16.485,,Americas
Thailand,2010,3.906,,South-East Asia
Papua New Guinea,2010,0.514,,Western Pacific
Romania,2010,24.804,,Europe
Latvia,2010,30.757,,Europe
New Zealand,2010,26.114,,Western Pacific
Burkina Faso,2010,0.457,,Africa
Samoa,2010,3.443,,Western Pacific
Nauru,2010,11.0,,Western Pacific
Seychelles,2010,10.953,,Africa
Nicaragua,2010,7.278,,Americas
Saudi Arabia,2010,24.074,,Eastern Mediterranean
Tajikistan,2010,16.975,,Europe
Ecuador,2010,21.111,,Americas
Slovakia,2010,33.51,,Europe
Poland,2010,21.707,,Europe
Benin,2010,0.558,,Africa
Australia,2010,33.429,,Western Pacific
Chile,2010,14.333,,Americas
Lebanon,2010,23.385,,Eastern Mediterranean
Guyana,2010,6.872,,Americas
North Macedonia,2010,26.759,,Europe
Turkey,2010,17.068,,Europe
Sri Lanka,2010,7.239,,South-East Asia
Greece,2010,58.812,,Europe
Iraq,2010,6.636,,Eastern Mediterranean
Costa Rica,2010,23.057,,Americas
United Kingdom of Great Britain and Northern Ireland,2010,26.265,,Europe
Azerbaijan,2010,36.629,,Europe
Mexico,2010,19.986,,Americas
Bangladesh,2010,3.635,,South-East Asia
Botswana,2010,4.122,,Africa
Eritrea,2010,0.407,,Africa
Singapore,2010,17.598,,Western Pacific
Ireland,2010,41.326,,Europe
Congo,2010,1.156,,Africa
Israel,2010,35.107,,Europe
Switzerland,2010,38.166,,Europe
Croatia,2010,28.428,,Europe
