IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,WPR,Western Pacific,Country,SGP,Singapore,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,1.6,,,1.45,,1.75,1.6 [1.5-1.8],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,WPR,Western Pacific,Country,JPN,Japan,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,1.77,,,1.7,,1.83,1.8 [1.7-1.8],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,WPR,Western Pacific,Country,COK,Cook Islands,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,10.04,,,6.7,,13.45,10.0 [6.7-13.4],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,WPR,Western Pacific,Country,FJI,Fiji,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,9.98,,,8.94,,11.06,10.0 [8.9-11.1],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,EUR,Europe,Country,ROU,Romania,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,10.41,,,9.08,,11.84,10.4 [9.1-11.8],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,VEN,Venezuela (Bolivarian Republic of),Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,10.8,,,10.27,,11.34,10.8 [10.3-11.3],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,ATG,Antigua and Barbuda,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,10.86,,,9.6,,12.27,10.9 [9.6-12.3],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AFR,Africa,Country,BWA,Botswana,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,11.02,,,8.28,,14.62,11.0 [8.3-14.6],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,EUR,Europe,Country,UKR,Ukraine,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,11.01,,,9.31,,12.88,11.0 [9.3-12.9],,"The State Statistics Service of Ukraine (SSSU) have suspended the compilation of impartial statistical information on births and deaths starting from 2022 and on the number of population starting from data as of January 1, 2023, onwards. Consequently, no data is available for 2022.",EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,ARG,Argentina,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,11.13,,,10.76,,11.5,11.1 [10.8-11.5],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,LCA,Saint Lucia,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,11.41,,,10.45,,12.42,11.4 [10.4-12.4],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,EMR,Eastern Mediterranean,Country,SAU,Saudi Arabia,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,11.61,,,9.38,,14.35,11.6 [9.4-14.3],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,EMR,Eastern Mediterranean,Country,LBN,Lebanon,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,11.97,,,9.91,,14.3,12.0 [9.9-14.3],,,EN,2025-04-14T22:00:00.000Z
WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,BLZ,Belize,Year,2000,false,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,12.12,,,10.83,,13.46,12.1 [10.8-13.5],,,EN,2025-04-14T22:00:00.000Z
