IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,MDG,Madagascar,Year,2019,false,,,,,,,,,,,,,26.59,,,,,,27,,,EN,2023-04-30T22:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,TCD,Chad,Year,2019,false,,,,,,,,,,,,,29.35,,,,,,29,,,EN,2023-04-30T22:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,SSD,South Sudan,Year,2019,false,,,,,,,,,,,,,29.08,,,,,,29,,,EN,2023-04-30T22:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,ETH,Ethiopia,Year,2019,false,,,,,,,,,,,,,32.1,,,,,,32,,,EN,2023-04-30T22:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,MRT,Mauritania,Year,2019,false,,,,,,,,,,,,,31.78,,,,,,32,,,EN,2023-04-30T22:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,SOM,Somalia,Year,2019,false,,,,,,,,,,,,,31.68,,,,,,32,,,EN,2023-04-30T22:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,GNB,Guinea-Bissau,Year,2019,false,,,,,,,,,,,,,32.74,,,,,,33,,,EN,2023-04-30T22:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,Year,2019,false,,,,,,,,,,,,,34.63,,,,,,35,,,EN,2023-04-30T22:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,GAB,Gabon,Year,2019,false,,,,,,,,,,,,,35.31,,,,,,35,,,EN,2023-04-30T22:00:00.000Z
UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,COG,Congo,Year,2019,false,,,,,,,,,,,,,35.89,,,,,,36,,,EN,2023-04-30T22:00:00.000Z
