Location,Period,FactValueNumeric,Comments,ParentLocation
Afghanistan,2004,62199.95,,Eastern Mediterranean
Albania,2004,116.46,,Europe
Algeria,2004,3138.58,,Africa
Andorra,2004,0.0,,Europe
Angola,2004,37920.11,,Africa
Antigua and Barbuda,2004,0.0,,Americas
Argentina,2004,103.88,,Americas
Armenia,2004,132.13,,Europe
Australia,2004,0.0,,Western Pacific
Austria,2004,0.0,,Europe
Azerbaijan,2004,1771.36,,Europe
Bahamas,2004,0.46,,Americas
Bangladesh,2004,58638.54,,South-East Asia
Barbados,2004,0.0,,Americas
Belarus,2004,3.96,,Europe
Belgium,2004,0.98,,Europe
Belize,2004,9.61,,Americas
Benin,2004,6716.05,,Africa
Bhutan,2004,236.77,,South-East Asia
Bolivia (Plurinational State of),2004,3019.13,,Americas
Bosnia and Herzegovina,2004,3.08,,Europe
Botswana,2004,729.18,,Africa
Brazil,2004,21569.81,,Americas
Bulgaria,2004,7.8100000000000005,,Europe
Burkina Faso,2004,18985.45,,Africa
Burundi,2004,11652.52,,Africa
Cambodia,2004,9453.78,,Western Pacific
Cameroon,2004,13693.47,,Africa
Canada,2004,2.36,,Americas
Cabo Verde,2004,57.45,,Africa
Central African Republic,2004,3273.05,,Africa
Chad,2004,11123.27,,Africa
Chile,2004,7.8100000000000005,,Americas
China,2004,49195.15,,Western Pacific
Colombia,2004,1477.88,,Americas
Comoros,2004,154.88,,Africa
Congo,2004,1142.15,,Africa
Cook Islands,2004,0.5700000000000001,,Western Pacific
Costa Rica,2004,15.81,,Americas
Côte d'Ivoire,2004,16532.78,,Africa
Croatia,2004,0.0,,Europe
Cuba,2004,9.1,,Americas
Cyprus,2004,6.57,,Europe
Czechia,2004,2.79,,Europe
Democratic People's Republic of Korea,2004,4171.02,,South-East Asia
Democratic Republic of the Congo,2004,86842.59,,Africa
Denmark,2004,2.59,,Europe
Djibouti,2004,484.43,,Eastern Mediterranean
Dominica,2004,0.0,,Americas
Dominican Republic,2004,777.13,,Americas
Ecuador,2004,903.55,,Americas
Egypt,2004,7727.04,,Eastern Mediterranean
El Salvador,2004,536.86,,Americas
Equatorial Guinea,2004,479.78,,Africa
Eritrea,2004,2672.76,,Africa
Estonia,2004,0.0,,Europe
Ethiopia,2004,87322.62,,Africa
Fiji,2004,10.18,,Western Pacific
Finland,2004,0.0,,Europe
Gabon,2004,183.98,,Africa
Gambia,2004,708.74,,Africa
Georgia,2004,399.92,,Europe
Germany,2004,6.79,,Europe
Ghana,2004,7077.4,,Africa
Grenada,2004,0.5,,Americas
Guatemala,2004,2531.96,,Americas
Guinea,2004,7326.88,,Africa
Guinea-Bissau,2004,2131.79,,Africa
Guyana,2004,105.49,,Americas
Haiti,2004,5286.06,,Americas
Honduras,2004,1003.72,,Americas
Hungary,2004,1.73,,Europe
Iceland,2004,0.0,,Europe
India,2004,403517.77,,South-East Asia
Indonesia,2004,27410.07,,South-East Asia
Iraq,2004,16429.17,,Eastern Mediterranean
Jamaica,2004,125.11,,Americas
Japan,2004,18.82,,Western Pacific
Jordan,2004,416.0,,Eastern Mediterranean
Kazakhstan,2004,2872.1,,Europe
Kenya,2004,20841.49,,Africa
Kiribati,2004,20.24,,Western Pacific
Kyrgyzstan,2004,1238.28,,Europe
Lao People's Democratic Republic,2004,1870.35,,Western Pacific
Latvia,2004,0.0,,Europe
Lebanon,2004,138.89,,Eastern Mediterranean
Lesotho,2004,120.85,,Africa
Liberia,2004,4831.1,,Africa
Luxembourg,2004,0.45,,Europe
Madagascar,2004,15631.13,,Africa
Malawi,2004,14963.99,,Africa
Malaysia,2004,885.78,,Western Pacific
Maldives,2004,44.95,,South-East Asia
Mali,2004,17582.21,,Africa
Marshall Islands,2004,12.18,,Western Pacific
Mauritania,2004,1737.86,,Africa
Mauritius,2004,6.46,,Africa
Mexico,2004,2438.97,,Americas
Micronesia (Federated States of),2004,11.83,,Western Pacific
Monaco,2004,0.04,,Europe
Mongolia,2004,425.58,,Western Pacific
Morocco,2004,3386.09,,Eastern Mediterranean
Mozambique,2004,13983.68,,Africa
Myanmar,2004,17337.26,,South-East Asia
Namibia,2004,55.51,,Africa
Nepal,2004,12356.03,,South-East Asia
Netherlands,2004,0.65,,Europe
Nicaragua,2004,688.8,,Americas
Niger,2004,31324.11,,Africa
Nigeria,2004,129607.92,,Africa
Niue,2004,0.0,,Western Pacific
Norway,2004,0.0,,Europe
Pakistan,2004,46136.99,,Eastern Mediterranean
Palau,2004,0.88,,Western Pacific
Panama,2004,187.63,,Americas
Papua New Guinea,2004,2615.14,,Western Pacific
Paraguay,2004,407.87,,Americas
Peru,2004,2057.08,,Americas
Philippines,2004,9901.82,,Western Pacific
Qatar,2004,3.24,,Eastern Mediterranean
Republic of Moldova,2004,30.02,,Europe
Russian Federation,2004,319.65,,Europe
Rwanda,2004,14353.66,,Africa
Saint Kitts and Nevis,2004,1.29,,Americas
Saint Lucia,2004,0.24,,Americas
Samoa,2004,15.91,,Western Pacific
Sao Tome and Principe,2004,98.16,,Africa
Senegal,2004,9835.64,,Africa
Sierra Leone,2004,12449.49,,Africa
Singapore,2004,0.58,,Western Pacific
Slovakia,2004,1.07,,Europe
Solomon Islands,2004,58.21,,Western Pacific
Somalia,2004,13245.73,,Eastern Mediterranean
South Africa,2004,5418.14,,Africa
Spain,2004,1.77,,Europe
Sri Lanka,2004,711.26,,South-East Asia
Sudan,2004,14498.72,,Eastern Mediterranean
Suriname,2004,22.74,,Americas
Eswatini,2004,398.34,,Africa
Sweden,2004,0.0,,Europe
Switzerland,2004,0.66,,Europe
Syrian Arab Republic,2004,1356.8,,Eastern Mediterranean
Tajikistan,2004,4742.15,,Europe
Thailand,2004,2839.03,,South-East Asia
Timor-Leste,2004,243.64,,South-East Asia
Togo,2004,3772.7,,Africa
Tonga,2004,7.58,,Western Pacific
Trinidad and Tobago,2004,4.61,,Americas
Tunisia,2004,494.54,,Eastern Mediterranean
Turkey,2004,5599.8,,Europe
Turkmenistan,2004,2273.46,,Europe
Tuvalu,2004,1.6800000000000002,,Western Pacific
Uganda,2004,23308.74,,Africa
Ukraine,2004,51.38,,Europe
United Arab Emirates,2004,28.9,,Eastern Mediterranean
United Republic of Tanzania,2004,21499.15,,Africa
United States of America,2004,18.1,,Americas
Uruguay,2004,7.5,,Americas
Uzbekistan,2004,8555.15,,Europe
Vanuatu,2004,12.57,,Western Pacific
Venezuela (Bolivarian Republic of),2004,857.3,,Americas
Viet Nam,2004,4904.88,,Western Pacific
Yemen,2004,12889.7,,Eastern Mediterranean
Zambia,2004,10540.9,,Africa
Zimbabwe,2004,4370.82,,Africa
