Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
Papua New Guinea,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,PNG,Year,2019,False,,,,,,,,,,,,,35,,,,,,35,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,PNG,Year,2019,False,,,,,,,,,,,,,43.97,,,,,,44,,,EN,2023-04-30T22:00:00.000Z
Central African Republic,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,CAF,Year,2019,False,,,,,,,,,,,,,38,,,,,,38,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,CAF,Year,2019,False,,,,,,,,,,,,,38.69,,,,,,39,,,EN,2023-04-30T22:00:00.000Z
Chad,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,TCD,Year,2019,False,,,,,,,,,,,,,53,,,,,,53,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,TCD,Year,2019,False,,,,,,,,,,,,,29.35,,,,,,29,,,EN,2023-04-30T22:00:00.000Z
Guinea,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,GIN,Year,2019,False,,,,,,,,,,,,,53,,,,,,53,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,GIN,Year,2019,False,,,,,,,,,,,,,48.85,,,,,,49,,,EN,2023-04-30T22:00:00.000Z
Haiti,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AMR,Americas,Country,HTI,Year,2019,False,,,,,,,,,,,,,54,,,,,,54,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AMR,Americas,Country,HTI,Year,2019,False,,,,,,,,,,,,,57.35,,,,,,57,,,EN,2023-04-30T22:00:00.000Z
Somalia,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,,,,,,,,,,,,,57,,,,,,57,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,,,,,,,,,,,,,31.68,,,,,,32,,,EN,2023-04-30T22:00:00.000Z
Yemen,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,YEM,Year,2019,False,,,,,,,,,,,,,60,,,,,,60,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,YEM,Year,2019,False,,,,,,,,,,,,,47.29,,,,,,47,,,EN,2023-04-30T22:00:00.000Z
Ethiopia,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,ETH,Year,2019,False,,,,,,,,,,,,,61,,,,,,61,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,ETH,Year,2019,False,,,,,,,,,,,,,32.1,,,,,,32,,,EN,2023-04-30T22:00:00.000Z
South Sudan,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,SSD,Year,2019,False,,,,,,,,,,,,,61,,,,,,61,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,SSD,Year,2019,False,,,,,,,,,,,,,29.08,,,,,,29,,,EN,2023-04-30T22:00:00.000Z
Equatorial Guinea,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,GNQ,Year,2019,False,,,,,,,,,,,,,62,,,,,,62,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,GNQ,Year,2019,False,,,,,,,,,,,,,42.95,,,,,,43,,,EN,2023-04-30T22:00:00.000Z
