Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
Lesotho,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,LSO,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,51.78,,,50.48,,53.18,51.8 [50.5-53.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,LSO,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,63.27,,,53.36,,74.54,63.3 [53.4-74.5],,,EN,2025-04-14T22:00:00.000Z
Central African Republic,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CAF,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,52.93,,,51.78,,54.2,52.9 [51.8-54.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,CAF,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,124.3,,,101.7,,150.8,124.3 [101.7-150.8],,,EN,2025-04-14T22:00:00.000Z
Somalia,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,55.21,,,53.93,,56.72,55.2 [53.9-56.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,75.73,,,39.73,,150.0,75.7 [39.7-150.0],,,EN,2025-04-14T22:00:00.000Z
Eswatini,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SWZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,55.75,,,54.44,,57.3,55.7 [54.4-57.3],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,SWZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,48.17,,,35.95,,66.27,48.2 [35.9-66.3],,,EN,2025-04-14T22:00:00.000Z
Mozambique,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MOZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.51,,,57.27,,59.75,58.5 [57.3-59.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,MOZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,49.7,,,43.73,,56.61,49.7 [43.7-56.6],,,EN,2025-04-14T22:00:00.000Z
Guinea-Bissau,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNB,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.98,,,57.93,,59.99,59.0 [57.9-60.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,GNB,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,48.34,,,30.88,,74.31,48.3 [30.9-74.3],,,EN,2025-04-14T22:00:00.000Z
South Sudan,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SSD,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.0,,,57.88,,60.52,59.0 [57.9-60.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,SSD,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,72.62,,,29.26,,148.7,72.6 [29.3-148.7],,,EN,2025-04-14T22:00:00.000Z
Zimbabwe,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZWE,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.07,,,58.14,,60.13,59.1 [58.1-60.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,ZWE,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,45.96,,,34.43,,60.22,46.0 [34.4-60.2],,,EN,2025-04-14T22:00:00.000Z
Chad,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,TCD,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.37,,,58.1,,60.6,59.4 [58.1-60.6],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,TCD,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,65.47,,,50.47,,84.23,65.5 [50.5-84.2],,,EN,2025-04-14T22:00:00.000Z
Sierra Leone,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SLE,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,60.4,,,59.05,,61.66,60.4 [59.0-61.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,SLE,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,64.08,,,55.44,,74.57,64.1 [55.4-74.6],,,EN,2025-04-14T22:00:00.000Z
Niger,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NER,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,60.57,,,59.34,,61.81,60.6 [59.3-61.8],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,NER,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,69.54,,,59.54,,81.36,69.5 [59.5-81.4],,,EN,2025-04-14T22:00:00.000Z
Guinea,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GIN,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.13,,,60.11,,62.21,61.1 [60.1-62.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,GIN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,67.36,,,58.07,,78.41,67.4 [58.1-78.4],,,EN,2025-04-14T22:00:00.000Z
Afghanistan,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.22,,,60.26,,62.16,61.2 [60.3-62.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,56.93,,,47.22,,67.62,56.9 [47.2-67.6],,,EN,2025-04-14T22:00:00.000Z
Equatorial Guinea,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNQ,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.39,,,59.73,,63.2,61.4 [59.7-63.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,GNQ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,56.11,,,33.55,,90.17,56.1 [33.5-90.2],,,EN,2025-04-14T22:00:00.000Z
Zambia,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZMB,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.76,,,60.56,,62.79,61.8 [60.6-62.8],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,ZMB,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,35.74,,,31.17,,41.01,35.7 [31.2-41.0],,,EN,2025-04-14T22:00:00.000Z
Democratic Republic of the Congo,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,COD,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.84,,,60.99,,62.95,61.8 [61.0-63.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,COD,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,49.81,,,32.41,,75.42,49.8 [32.4-75.4],,,EN,2025-04-14T22:00:00.000Z
Mali,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MLI,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.83,,,60.95,,62.96,61.8 [61.0-63.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,MLI,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,63.67,,,53.66,,75.91,63.7 [53.7-75.9],,,EN,2025-04-14T22:00:00.000Z
Cameroon,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CMR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,62.03,,,60.94,,63.01,62.0 [60.9-63.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,CMR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,46.81,,,39.44,,55.53,46.8 [39.4-55.5],,,EN,2025-04-14T22:00:00.000Z
