Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
Antigua and Barbuda,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,ATG,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,ATG,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
Barbados,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,BRB,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,BRB,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
Monaco,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MCO,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MCO,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
Niue,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,NIU,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,NIU,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
"occupied Palestinian territory, including east Jerusalem",MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,PSE,Year,2019,False,,,,,,,,,,,,,0.53,,,0.41,,0.67,0.53 [0.41-0.67],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,PSE,Year,2019,False,,,,,,,,,,,,,21,,,,,,21,,,EN,2025-01-08T23:00:00.000Z
United Arab Emirates,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,ARE,Year,2019,False,,,,,,,,,,,,,0.98,,,0.84,,1.1,0.98 [0.84-1.1],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,ARE,Year,2019,False,,,,,,,,,,,,,80,,,,,,80,,,EN,2025-01-08T23:00:00.000Z
Puerto Rico,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,PRI,Year,2019,False,,,,,,,,,,,,,1.3,,,1.1,,1.5,1.3 [1.1-1.5],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,PRI,Year,2019,False,,,,,,,,,,,,,36,,,,,,36,,,EN,2025-01-08T23:00:00.000Z
Costa Rica,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,CRI,Year,2019,False,,,,,,,,,,,,,10.0,,,7.7,,13.0,10 [7.7-13],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,CRI,Year,2019,False,,,,,,,,,,,,,405,,,,,,405,,,EN,2025-01-08T23:00:00.000Z
Micronesia (Federated States of),MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,FSM,Year,2019,False,,,,,,,,,,,,,103.0,,,79.0,,130.0,103 [79-130],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,FSM,Year,2019,False,,,,,,,,,,,,,91,,,,,,91,,,EN,2025-01-08T23:00:00.000Z
Bolivia (Plurinational State of),MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,BOL,Year,2019,False,,,,,,,,,,,,,106.0,,,69.0,,150.0,106 [69-150],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,BOL,Year,2019,False,,,,,,,,,,,,,7461,,,,,,7461,,,EN,2025-01-08T23:00:00.000Z
Burundi,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,BDI,Year,2019,False,,,,,,,,,,,,,107.0,,,69.0,,153.0,107 [69-153],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,BDI,Year,2019,False,,,,,,,,,,,,,6753,,,,,,6753,,,EN,2025-01-08T23:00:00.000Z
Tonga,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,TON,Year,2019,False,,,,,,,,,,,,,11.0,,,9.3,,13.0,11 [9.3-13],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,TON,Year,2019,False,,,,,,,,,,,,,10,,,,,,10,,,EN,2025-01-08T23:00:00.000Z
Saudi Arabia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,SAU,Year,2019,False,,,,,,,,,,,,,11.0,,,9.6,,12.0,11 [9.6-12],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,SAU,Year,2019,False,,,,,,,,,,,,,2936,,,,,,2936,,,EN,2025-01-08T23:00:00.000Z
Kyrgyzstan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,KGZ,Year,2019,False,,,,,,,,,,,,,110.0,,,94.0,,127.0,110 [94-127],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,KGZ,Year,2019,False,,,,,,,,,,,,,6138,,,,,,6138,,,EN,2025-01-08T23:00:00.000Z
Sao Tome and Principe,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,STP,Year,2019,False,,,,,,,,,,,,,114.0,,,45.0,,214.0,114 [45-214],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,STP,Year,2019,False,,,,,,,,,,,,,140,,,,,,140,,,EN,2025-01-08T23:00:00.000Z
Senegal,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,SEN,Year,2019,False,,,,,,,,,,,,,117.0,,,83.0,,156.0,117 [83-156],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,SEN,Year,2019,False,,,,,,,,,,,,,13357,,,,,,13 357,,,EN,2025-01-08T23:00:00.000Z
Peru,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,PER,Year,2019,False,,,,,,,,,,,,,119.0,,,91.0,,150.0,119 [91-150],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,PER,Year,2019,False,,,,,,,,,,,,,31764,,,,,,31 764,,,EN,2025-01-08T23:00:00.000Z
Egypt,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,EGY,Year,2019,False,,,,,,,,,,,,,12.0,,,10.0,,13.0,12 [10-13],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,EGY,Year,2019,False,,,,,,,,,,,,,8046,,,,,,8046,,,EN,2025-01-08T23:00:00.000Z
North Macedonia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MKD,Year,2019,False,,,,,,,,,,,,,12.0,,,9.1,,15.0,12 [9.1-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MKD,Year,2019,False,,,,,,,,,,,,,199,,,,,,199,,,EN,2025-01-08T23:00:00.000Z
Mauritius,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,MUS,Year,2019,False,,,,,,,,,,,,,12.0,,,9.0,,15.0,12 [9-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,MUS,Year,2019,False,,,,,,,,,,,,,119,,,,,,119,,,EN,2025-01-08T23:00:00.000Z
Estonia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,EST,Year,2019,False,,,,,,,,,,,,,13.0,,,11.0,,15.0,13 [11-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,EST,Year,2019,False,,,,,,,,,,,,,147,,,,,,147,,,EN,2025-01-08T23:00:00.000Z
Japan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,JPN,Year,2019,False,,,,,,,,,,,,,13.0,,,11.0,,15.0,13 [11-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,JPN,Year,2019,False,,,,,,,,,,,,,14460,,,,,,14 460,,,EN,2025-01-08T23:00:00.000Z
Iran (Islamic Republic of),MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,IRN,Year,2019,False,,,,,,,,,,,,,13.0,,,9.8,,16.0,13 [9.8-16],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,IRN,Year,2019,False,,,,,,,,,,,,,8524,,,,,,8524,,,EN,2025-01-08T23:00:00.000Z
Cote d'Ivoire,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,CIV,Year,2019,False,,,,,,,,,,,,,137.0,,,88.0,,197.0,137 [88-197],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,CIV,Year,2019,False,,,,,,,,,,,,,21208,,,,,,21 208,,,EN,2025-01-08T23:00:00.000Z
Bahrain,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,BHR,Year,2019,False,,,,,,,,,,,,,14.0,,,12.0,,16.0,14 [12-16],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,BHR,Year,2019,False,,,,,,,,,,,,,178,,,,,,178,,,EN,2025-01-08T23:00:00.000Z
Seychelles,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,SYC,Year,2019,False,,,,,,,,,,,,,14.0,,,12.0,,16.0,14 [12-16],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,SYC,Year,2019,False,,,,,,,,,,,,,14,,,,,,14,,,EN,2025-01-08T23:00:00.000Z
Serbia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,SRB,Year,2019,False,,,,,,,,,,,,,14.0,,,12.0,,17.0,14 [12-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,SRB,Year,2019,False,,,,,,,,,,,,,1106,,,,,,1106,,,EN,2025-01-08T23:00:00.000Z
Ethiopia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,ETH,Year,2019,False,,,,,,,,,,,,,140.0,,,98.0,,188.0,140 [98-188],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,ETH,Year,2019,False,,,,,,,,,,,,,111039,,,,,,111 039,,,EN,2025-01-08T23:00:00.000Z
Chad,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,TCD,Year,2019,False,,,,,,,,,,,,,142.0,,,92.0,,202.0,142 [92-202],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,TCD,Year,2019,False,,,,,,,,,,,,,13634,,,,,,13 634,,,EN,2025-01-08T23:00:00.000Z
Ghana,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,GHA,Year,2019,False,,,,,,,,,,,,,144.0,,,70.0,,244.0,144 [70-244],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,GHA,Year,2019,False,,,,,,,,,,,,,14691,,,,,,14 691,,,EN,2025-01-08T23:00:00.000Z
Malawi,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,MWI,Year,2019,False,,,,,,,,,,,,,146.0,,,78.0,,235.0,146 [78-235],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,MWI,Year,2019,False,,,,,,,,,,,,,16902,,,,,,16 902,,,EN,2025-01-08T23:00:00.000Z
Bahamas,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,BHS,Year,2019,False,,,,,,,,,,,,,15.0,,,13.0,,17.0,15 [13-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,BHS,Year,2019,False,,,,,,,,,,,,,51,,,,,,51,,,EN,2025-01-08T23:00:00.000Z
Lebanon,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EMR,Eastern Mediterranean,Country,LBN,Year,2019,False,,,,,,,,,,,,,15.0,,,13.0,,17.0,15 [13-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EMR,Eastern Mediterranean,Country,LBN,Year,2019,False,,,,,,,,,,,,,757,,,,,,757,,,EN,2025-01-08T23:00:00.000Z
Montenegro,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MNE,Year,2019,False,,,,,,,,,,,,,15.0,,,13.0,,17.0,15 [13-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MNE,Year,2019,False,,,,,,,,,,,,,80,,,,,,80,,,EN,2025-01-08T23:00:00.000Z
Poland,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,POL,Year,2019,False,,,,,,,,,,,,,15.0,,,13.0,,17.0,15 [13-17],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,POL,Year,2019,False,,,,,,,,,,,,,4983,,,,,,4983,,,EN,2025-01-08T23:00:00.000Z
Thailand,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,THA,Year,2019,False,,,,,,,,,,,,,150.0,,,114.0,,191.0,150 [114-191],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,THA,Year,2019,False,,,,,,,,,,,,,87789,,,,,,87 789,,,EN,2025-01-08T23:00:00.000Z
Lao People's Democratic Republic,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,LAO,Year,2019,False,,,,,,,,,,,,,155.0,,,100.0,,222.0,155 [100-222],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,LAO,Year,2019,False,,,,,,,,,,,,,6816,,,,,,6816,,,EN,2025-01-08T23:00:00.000Z
Gambia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,GMB,Year,2019,False,,,,,,,,,,,,,158.0,,,117.0,,204.0,158 [117-204],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,GMB,Year,2019,False,,,,,,,,,,,,,2619,,,,,,2619,,,EN,2025-01-08T23:00:00.000Z
Türkiye,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,TUR,Year,2019,False,,,,,,,,,,,,,16.0,,,13.0,,18.0,16 [13-18],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,TUR,Year,2019,False,,,,,,,,,,,,,11247,,,,,,11 247,,,EN,2025-01-08T23:00:00.000Z
Albania,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,ALB,Year,2019,False,,,,,,,,,,,,,16.0,,,14.0,,19.0,16 [14-19],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,ALB,Year,2019,False,,,,,,,,,,,,,412,,,,,,412,,,EN,2025-01-08T23:00:00.000Z
Dominica,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,DMA,Year,2019,False,,,,,,,,,,,,,16.0,,,14.0,,19.0,16 [14-19],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,DMA,Year,2019,False,,,,,,,,,,,,,10,,,,,,10,,,EN,2025-01-08T23:00:00.000Z
Bhutan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,BTN,Year,2019,False,,,,,,,,,,,,,164.0,,,126.0,,208.0,164 [126-208],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,BTN,Year,2019,False,,,,,,,,,,,,,1005,,,,,,1005,,,EN,2025-01-08T23:00:00.000Z
Nauru,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,NRU,Year,2019,False,,,,,,,,,,,,,169.0,,,144.0,,195.0,169 [144-195],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,NRU,Year,2019,False,,,,,,,,,,,,,17,,,,,,17,,,EN,2025-01-08T23:00:00.000Z
Trinidad and Tobago,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,TTO,Year,2019,False,,,,,,,,,,,,,17.0,,,14.0,,20.0,17 [14-20],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,TTO,Year,2019,False,,,,,,,,,,,,,218,,,,,,218,,,EN,2025-01-08T23:00:00.000Z
