Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Africa+Americas, 0.9998051644375688, 0.9999996464415053, 0.810361443068087, 0.8719383033541772, 0.810361443068087, 6.383011626779819, 83.71428571428571
Americas+Western Pacific, 0.14386932786558726, 0.2975108832232364, 0.14386932786558726, 0.2975108832232364, 0.14386932786558726, 9.748579491441902, 95.66666666666667
Americas+Europe, 0.011413115662733841, 0.3780819043131066, 0.02824424055595942, 0.2663412569018294, 0.02824424055595942, 11.019114664556696, 97.15625
South-East Asia+Western Pacific, 0.3578542904725658, 0.9985045174570693, 0.42978111534319785, 0.9958485611041247, 0.42978111534319785, 10.808738411293831, 81.55555555555556
Americas, 0.05309888121995221, 0.6303604746226119, 0.15773874081108508, 0.4296277339572804, 0.15773874081108508, 9.840017256637097, 96.3157894736842
Africa, 0.0034025287367205337, 0.4229129956961388, 0.000879054469153373, 0.1706711199248514, 0.000879054469153373, 14.408677728613426, 68.75
Americas+South-East Asia, 0.34449987644428126, 0.9968890827175445, 0.688311685324555, 0.7038842481573031, 0.688311685324555, 1.6623255377309363, 91.21739130434783
Eastern Mediterranean+Western Pacific, 0.9160244805904394, 0.8954586641931769, 0.9501125075292427, 0.9964034871572397, 0.9501125075292427, 5.214087875679169, 88.41666666666667
Eastern Mediterranean+Europe, 0.31812205530402815, 0.8108316969505598, 0.05446883285898385, 0.3380688586994389, 0.05446883285898385, 8.218354023559584, 93.7
Eastern Mediterranean+South-East Asia, 0.4705099328982385, 0.9876978370857091, 0.5703463299992779, 0.9876978370857091, 0.5703463299992779, 1.9166237895095293, 78.45454545454545
Americas+Eastern Mediterranean, 0.20959860767132832, 0.9472220004009936, 0.23824320505744712, 0.1867015011881039, 0.23824320505744712, 6.903429475283062, 93.26923076923077
Africa+Eastern Mediterranean, 0.012771274052799986, 0.9732728437013238, 0.018556707212803114, 0.6583284993313577, 0.018556707212803114, 2.772178957126144, 73.69565217391305
Africa+South-East Asia, 0.0009719345048120331, 0.21733189892902816, 0.00017265473474470383, 0.05907110410679517, 0.00017265473474470383, 13.57402768066764, 68.4
South-East Asia, 0.1706711199248514, 0.2916605782277424, 0.06649189265519395, 0.13213652019622169, 0.06649189265519395, 13.951228761062083, 67.0
Europe+Western Pacific, 0.24006976690961068, 0.7427796251590901, 0.1078364645914085, 0.4426099695507937, 0.1078364645914085, 12.122537194251066, 96.94444444444444
Africa+Europe, 0.5897718232871338, 0.9986683854361945, 0.5897718232871338, 0.6221292209841721, 0.5897718232871338, 0.9383036428828859, 82.03448275862068
Western Pacific, 0.7191574187795129, 0.9435897435897436, 0.8256127834705534, 0.9435897435897436, 0.8256127834705534, 10.267760211028019, 93.2
Africa+Western Pacific, 0.004870960310700778, 0.9882877593313204, 0.006764374778482685, 0.7574287730659791, 0.006764374778482685, 1.9022499174012069, 74.57142857142857
Europe+South-East Asia, 0.47227802034960153, 0.9465276998328992, 0.37025325728989056, 0.9997821025374078, 0.37025325728989056, 8.004371157268253, 91.0
Europe, 0.041319996250710145, 0.9649293638758081, 0.01603641078108653, 0.5728789209035039, 0.01603641078108653, 12.386077433628415, 98.38461538461539
Eastern Mediterranean, 0.9860634178956834, 0.7258728979536706, 0.8843950954601191, 0.9992325497154294, 0.8843950954601191, 4.24466504424764, 85.0

Proxy-Score (PCC): (0.7791316321530255, 3.409429255369167e-14)
Proxy-Score Sample: 1.0
Proxy-Score Modified Sample: 1.0
Proxy-Score Total: 1.0

Modified is Improvement (Proxy): 0.9047619047619048
Modified is Improvement (Original): 0.9523809523809523

Representativeness of Initial Sample: 0.3313451403401902

Avg. Mean (Sample): 85.64033356847644
