Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Americas+Western Pacific, 0.04368649486306431, 0.2777336014174365, 0.9999959406893422, 0.9255525915703482, 0.9999959406893422, 0.7215221225950188, 89.1639344262295
Eastern Mediterranean+South-East Asia, 0.022518243788878567, 0.7334646849473854, 0.8869285533079175, 0.6581228301542594, 0.8869285533079175, 0.6416192542437784, 88.8125
Africa+Western Pacific, 4.364631735631619e-05, 0.6073985534648852, 0.16323970869207216, 0.9213918345558639, 0.16323970869207216, 3.010842957904316, 84.37837837837837
Africa+Eastern Mediterranean, 5.775596223500656e-09, 0.3410332716044826, 0.015825036479820365, 0.9990175993238063, 0.015825036479820365, 3.7799009401885684, 82.91176470588235
Africa, 1.5131017550018555e-09, 0.5305928736170069, 0.0071653172709346125, 0.5055251094779558, 0.0071653172709346125, 6.980482581854517, 81.36170212765957
Americas, 0.0025972084185414968, 0.3662567038296476, 0.8584092883011717, 0.2303442791343192, 0.8584092883011717, 0.438912234582574, 88.79411764705883
Europe+South-East Asia, 0.001011813343943846, 0.1737194915036644, 0.008480648963517967, 0.4415100431941532, 0.008480648963517967, 5.510188701576908, 94.09375
Eastern Mediterranean, 0.12342800371302143, 0.7278569652959694, 0.6229648820965625, 0.6311007699951167, 0.6229648820965625, 1.9027596841843888, 86.38095238095238
Americas+South-East Asia, 0.12294747383340177, 0.5884720055461836, 0.8910707001947435, 0.4404006156304733, 0.8910707001947435, 2.5446856380249727, 89.93333333333334
Americas+Europe, 2.9457409478350627e-07, 0.003921594912898563, 0.18293121170091275, 0.8436178362764731, 0.18293121170091275, 2.8263719055088927, 92.10344827586206
Eastern Mediterranean+Western Pacific, 0.7852384067591951, 0.9612256952714457, 0.5299334272342631, 0.5914292314385491, 0.5299334272342631, 1.3811618202676073, 88.20833333333333
Europe+Western Pacific, 0.00030802917777073, 0.1578723741009418, 0.030321240697427365, 0.6602157201318533, 0.030321240697427365, 5.317873370889899, 92.675
Africa+South-East Asia, 2.953496780477849e-09, 0.05780647705367459, 0.043327010916022646, 0.6538788135768823, 0.043327010916022646, 1.307777820992186, 83.65517241379311
Africa+Europe, 0.5661255959060794, 0.8158589187448582, 0.9963842406956117, 0.9509918570628624, 0.9963842406956117, 0.4990188018448265, 88.18
Europe, 1.233302832748251e-06, 0.004766151854376233, 0.006622041285541003, 0.13447391204580295, 0.006622041285541003, 5.731090832437118, 94.22641509433963
South-East Asia+Western Pacific, 0.4076342180851984, 0.8743461819996499, 0.15683982840902133, 0.060663360868088545, 0.15683982840902133, 4.734209375401392, 90.73684210526316
Africa+Americas, 0.02597515823897567, 0.09159907217726826, 0.038591053635561146, 0.2387902082821901, 0.038591053635561146, 1.3837016576585057, 84.48148148148148
South-East Asia, 0.04380482167475663, 0.9662965900079302, 0.5105851690817729, 0.06120830568547797, 0.5105851690817729, 4.97346325953788, 93.45454545454545
Western Pacific, 0.889116644172879, 0.9102273544590155, 0.4056023399825254, 0.5774469267860923, 0.4056023399825254, 2.0410316517946114, 89.62962962962963
Americas+Eastern Mediterranean, 0.2067324404567219, 0.25583055609678773, 0.824579854556114, 0.3728796565050524, 0.824579854556114, 0.8250099920716991, 87.87272727272727
Eastern Mediterranean+Europe, 0.002569835304871093, 0.3656486995134173, 0.11813207974966966, 0.8239212456272933, 0.11813207974966966, 1.670640983570479, 92.0

Proxy-Score (PCC): (0.5689379874573496, 6.027069092704042e-18)
Proxy-Score Sample: 0.6666666666666666
Proxy-Score Modified Sample: 0.9047619047619048
Proxy-Score Total: 0.7857142857142857

Modified is Improvement (Proxy): 1.0
Modified is Improvement (Original): 0.6190476190476191

Representativeness of Initial Sample: 0.3951395035209774

Avg. Mean (Sample): 88.71685847906998
