Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Europe, 0.006751123647806612, 0.624006615123319, 5.683047549476239e-05, 0.00025700300460895775, 5.683047549476239e-05, 8.669763351639133, 3.859183673469389
Eastern Mediterranean, 0.025389606063351278, 0.5464409096012571, 0.0028033080166035562, 0.04164649996074454, 0.0028033080166035562, 8.09241910252646, 4.4350000000000005
Africa, 0.006946318915622252, 0.11686088122712646, 1.633667534584049e-09, 0.0037872468137329918, 1.633667534584049e-09, 12.473457846906392, 24.984782608695657
Europe+Western Pacific, 0.25595160427342, 0.6671682754547613, 1.0458476937591499e-05, 8.702685422345979e-05, 1.0458476937591499e-05, 8.480603749420528, 4.257534246575343
Western Pacific, 0.006057425038958342, 0.1644757712301277, 0.0028823842575209646, 0.8077401178739876, 0.0028823842575209646, 7.209375850714837, 5.070833333333334
Americas+Europe, 0.00010387243341569707, 0.626853936293857, 0.20284765422931494, 0.09667330030306853, 0.20284765422931494, 0.7549529466184861, 9.957142857142852
South-East Asia+Western Pacific, 0.03743812092862564, 0.31235474243368044, 0.19049951002974086, 0.13550133067442738, 0.19049951002974086, 2.7040775570490982, 6.777142857142858
Americas+Western Pacific, 0.6842444010227895, 0.27985048729876516, 0.9241495813530317, 0.7581492180584469, 0.9241495813530317, 3.4763073529456356, 13.033898305084744
Africa+Americas, 0.1568779274580896, 0.33015975266614417, 1.0804034733524759e-07, 7.995630319945768e-06, 1.0804034733524759e-07, 7.460028366856818, 22.18024691358025
Africa+Eastern Mediterranean, 0.006216462930147104, 0.004299086173191191, 0.0022690732869538044, 0.31103814435535493, 0.0022690732869538044, 1.0618855737897572, 18.75757575757576
Africa+Western Pacific, 0.0004630056859443732, 0.0031322545899504783, 0.0015586797974643796, 0.49928477164470453, 0.0015586797974643796, 3.441646630938836, 18.157142857142862
Africa+Europe, 0.7964312856747431, 0.3277470502268687, 0.7760391823844861, 0.2541829402415191, 0.7760391823844861, 0.6359620248946474, 14.088421052631578
Eastern Mediterranean+Western Pacific, 0.0023627445304829076, 0.21081131404767806, 8.421320782159292e-05, 0.023424405349303568, 8.421320782159292e-05, 7.84062543523828, 4.781818181818181
Europe+South-East Asia, 0.04683006004054768, 0.7579196728830679, 0.00041303469638154233, 0.0011831628206721012, 0.00041303469638154233, 7.444324276469523, 5.07666666666667
Eastern Mediterranean+Europe, 0.25134854801939854, 0.47727049234887076, 2.2382157023326243e-06, 6.7525287256176014e-06, 2.2382157023326243e-06, 8.243886919208352, 4.02608695652174
Americas+Eastern Mediterranean, 0.22105301142658662, 0.3195413045945792, 0.34840387646589854, 0.6203497391493312, 0.34840387646589854, 2.0704301534010963, 13.381818181818181
Americas+South-East Asia, 0.0005961897248575321, 0.1054272145791123, 0.00024229616752247107, 0.003084402797975283, 0.00024229616752247107, 2.3510245472224796, 16.58260869565217
South-East Asia, 0.1479732016944153, 0.415882659574371, 0.10721577196912069, 0.7535858169311276, 0.10721577196912069, 2.1763070718940654, 10.499999999999998
Eastern Mediterranean+South-East Asia, 0.5185748499715026, 0.41355343565137614, 0.028092205548722382, 0.10617979520882637, 0.028092205548722382, 7.000563443528608, 6.587096774193548
Africa+South-East Asia, 0.01839995011755491, 0.5083526467558419, 3.9767607862284393e-07, 0.00854088988887225, 3.9767607862284393e-07, 5.827426723641949, 22.189473684210526
Americas, 0.0025432931943103476, 0.6207870594971574, 0.0010911461616361917, 0.03575690469935544, 0.0010911461616361917, 5.918242194057452, 18.494285714285713

Proxy-Score (PCC): (0.13765001174416103, 0.06169841478623811)
Proxy-Score Sample: 0.7142857142857143
Proxy-Score Modified Sample: 0.38095238095238093
Proxy-Score Total: 0.5476190476190477

Modified is Improvement (Proxy): 0.8095238095238095
Modified is Improvement (Original): 0.8095238095238095

Representativeness of Initial Sample: 0.12326961676621184

Avg. Mean (Sample): 11.770417110359114
