Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Americas+Europe, 2.237273783600724e-05, 0.037307114156743815, 4.465373451556509e-06, 0.005024295502597642, 4.465373451556509e-06, 4.0603457411832835, 77.11867469879516
Eastern Mediterranean+South-East Asia, 0.137053841751117, 0.22033217514870695, 0.4707634512983975, 0.7906909852588421, 0.4707634512983975, 0.4285509622826851, 72.97878787878788
Eastern Mediterranean+Western Pacific, 0.6781154144079803, 0.9884541152655361, 0.5875231789180682, 0.8247725749073366, 0.5875231789180682, 0.5919001260411392, 73.08883720930233
South-East Asia, 0.314544359195143, 0.6507986718028558, 0.314544359195143, 0.5809456024134388, 0.314544359195143, 0.32315808116813116, 72.80181818181819
Europe+Western Pacific, 2.0380613949821935e-06, 0.2940878042297055, 0.00236013208817909, 0.4358178006066713, 0.00236013208817909, 5.319442027686833, 76.83394366197182
Americas+Eastern Mediterranean, 0.07084357369209104, 0.20511625425248092, 0.07245634339628715, 0.30800054065835536, 0.07245634339628715, 1.5393190305317148, 74.33563636363635
Africa+Europe, 0.21120719828900447, 0.04194347713988478, 0.1617024850064287, 0.4732949300052862, 0.1617024850064287, 0.300072018039117, 71.43876288659791
Western Pacific, 0.48934565210441316, 0.8511864865645529, 0.6600638483660194, 0.7460718845524904, 0.6600638483660194, 0.5721251026713929, 73.11142857142859
Europe, 1.92176197177929e-09, 0.5739326204018523, 3.1127569078970296e-06, 0.31350057731496506, 3.1127569078970296e-06, 5.9031622143029665, 78.39739999999999
Africa+Western Pacific, 6.59300101679694e-06, 0.2652990676411716, 2.8037638211131366e-08, 0.062470801644408214, 2.8037638211131366e-08, 4.34447132237139, 66.83867647058823
Africa+South-East Asia, 5.928002533295285e-10, 0.06949988755377923, 3.827092576180746e-08, 0.07365231187249421, 3.827092576180746e-08, 4.600307715612104, 65.69844827586206
Eastern Mediterranean, 0.29391832797371753, 0.4640210629427153, 0.9545705846725538, 0.7574048456637309, 0.9545705846725538, 0.42425112637438644, 73.06727272727272
Europe+South-East Asia, 2.0293208281563224e-06, 0.4480123817220011, 0.00014483988502711487, 0.06477147001001682, 0.00014483988502711487, 4.928401868704114, 77.3883606557377
Americas+Western Pacific, 0.03240529246977941, 0.17029524949332375, 0.18579104614611197, 0.08487209821537622, 0.18579104614611197, 2.3293738228094014, 74.37629629629627
Americas, 0.04003820895598342, 0.17592149152776515, 0.012627576403547058, 0.033871794189487825, 0.012627576403547058, 2.6677319510140336, 75.18121212121213
Americas+South-East Asia, 0.06450698848176684, 0.35275238652287133, 0.013157218320814401, 0.12466576188256084, 0.013157218320814401, 1.5113336997609395, 74.58636363636363
Africa+Americas, 0.00022889197676834172, 0.052338814705852665, 0.004347743299134343, 0.37036027100596314, 0.004347743299134343, 0.12270179955423544, 68.633375
South-East Asia+Western Pacific, 0.46020709930341963, 0.5840176587696513, 0.3687753265099124, 0.557389711622436, 0.3687753265099124, 0.3439071211389404, 73.00500000000001
Africa, 5.700329097635404e-12, 0.041729438705233046, 1.5798806707323365e-11, 0.05893536536241062, 1.5798806707323365e-11, 8.478506073105777, 64.03595744680851
Eastern Mediterranean+Europe, 5.0564884500725604e-05, 0.7035427024629961, 0.00017317048628417986, 0.38671450685509057, 0.00017317048628417986, 3.0565031004541225, 76.76874999999997
Africa+Eastern Mediterranean, 7.407843741757958e-07, 0.12908901616360802, 2.0083221565769804e-06, 0.7947041311709675, 2.0083221565769804e-06, 3.33042114657556, 66.91550724637682

Proxy-Score (PCC): (-0.8931263953387837, 4.681170524620584e-65)
Proxy-Score Sample: 0.9047619047619048
Proxy-Score Modified Sample: 0.8571428571428571
Proxy-Score Total: 0.8809523809523809

Modified is Improvement (Proxy): 0.9523809523809523
Modified is Improvement (Original): 0.9047619047619048

Representativeness of Initial Sample: 0.181381474131847

Avg. Mean (Sample): 72.69526234899315
