Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Eastern Mediterranean+Europe, 0.39687129069069405, 0.8402636995256951, 0.2759377870806943, 0.6568258503604221, 0.2759377870806943, 11.00701366152532, 511.73074637681157
Americas+Western Pacific, 0.00047433951258746276, 0.16759563119165277, 0.14406164227034546, 0.26040406195731436, 0.14406164227034546, 46.05291735025071, 549.8419592592593
South-East Asia, 0.23549881219368174, 0.8333418077336988, 0.5671232704579614, 0.8017925022804071, 0.5671232704579614, 15.632102033291176, 537.5879727272727
Europe+South-East Asia, 0.12440789043387257, 0.8514243775370361, 0.04425394135372385, 0.24096932272471738, 0.04425394135372385, 71.87549736339906, 483.03731694915245
Africa, 0.00011085213157291385, 0.006377846072451621, 0.001160246806042764, 0.029976337996141744, 0.001160246806042764, 78.45950450743453, 633.1458260869564
Europe+Western Pacific, 0.0864890938207179, 0.6451021345462173, 0.04064700055428272, 0.8700601342804909, 0.04064700055428272, 62.50683835415339, 530.0973086956523
Americas, 4.465898355010545e-06, 0.03989524127642885, 0.0008697492977630672, 0.8741481176972611, 0.0008697492977630672, 79.57537965391339, 475.77228787878784
Eastern Mediterranean, 0.0022642051448215073, 0.17418175542080394, 0.2822342264481512, 0.8755851074855416, 0.2822342264481512, 50.23902297490679, 605.8898809523811
Africa+South-East Asia, 0.00023019154311709755, 0.016228600993227427, 0.003707098153368782, 0.056158559404112296, 0.003707098153368782, 37.125786420692066, 614.7048368421052
Americas+Eastern Mediterranean, 0.2544391538168208, 0.6870028650460214, 0.14406164227034546, 0.6306188477603003, 0.14406164227034546, 8.97348633223362, 526.3735740740741
Western Pacific, 0.6407380044493085, 0.6585764586187637, 0.02783625980465776, 0.11755347409806371, 0.02783625980465776, 106.80315049206513, 666.2371571428571
Eastern Mediterranean+South-East Asia, 0.0018328381996165488, 0.2044609663667003, 0.47006189715360425, 0.36244496998620523, 0.47006189715360425, 30.55366540980583, 582.4111
Americas+Europe, 3.9042715208159606e-05, 0.6254821591002374, 0.0027257813661674124, 0.7304084335542247, 0.0027257813661674124, 84.0947279452862, 472.66937654321003
Europe, 0.014358534656024768, 0.8763557853155166, 0.006488263337990241, 0.6889604715846972, 0.006488263337990241, 86.10696167892672, 470.53612499999986
Africa+Europe, 0.7100994338459474, 0.9175808016313561, 0.870173458330353, 0.8916209048950472, 0.870173458330353, 13.364831805368567, 550.111085106383
Americas+South-East Asia, 0.001222681148881799, 0.48673227427627375, 0.00845125898823329, 0.48673227427627375, 0.00845125898823329, 53.04271503266477, 491.22620909090915
Africa+Americas, 0.743821409835971, 0.8583689110456595, 0.44477479959391464, 0.586958303390456, 0.44477479959391464, 39.59441019250289, 567.4075126582277
South-East Asia+Western Pacific, 0.9722487441863368, 0.6460541326188829, 0.31138591723855547, 0.22084785348988378, 0.31138591723855547, 0.4801099393595223, 622.014
Africa+Eastern Mediterranean, 3.0829728300263426e-06, 0.004895081472982898, 0.002241842663661897, 0.07979127621666082, 0.002241842663661897, 61.49873268037152, 624.6029179104478
Eastern Mediterranean+Western Pacific, 0.1033097896171693, 0.9249657385221108, 0.028808029953938274, 0.058058681801147816, 0.028808029953938274, 56.679297115846, 636.0635190476189
Africa+Western Pacific, 0.010069822268765849, 0.18771410573149505, 0.0026381248784814737, 0.0031260518636492263, 0.0026381248784814737, 94.98253989905015, 643.5177358208955

Proxy-Score (PCC): (0.6705090343986768, 7.386315026486783e-25)
Proxy-Score Sample: 0.6666666666666666
Proxy-Score Modified Sample: 0.8095238095238095
Proxy-Score Total: 0.7380952380952381

Modified is Improvement (Proxy): 0.9523809523809523
Modified is Improvement (Original): 0.9047619047619048

Representativeness of Initial Sample: 0.17522105895248746

Avg. Mean (Sample): 561.6656403887143
