Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Europe+Western Pacific, 0.0014370902351101833, 0.3131099247885486, 0.8082977445780122, 0.38064994086330706, 0.8082977445780122, 5.456746522292207, 86.70175438596492
Americas+South-East Asia, 0.1344160972905759, 0.6388483514972177, 0.8981109750086788, 0.8411118054697798, 0.8981109750086788, 11.836838192155355, 78.48275862068965
Eastern Mediterranean+Europe, 0.005225582672150453, 0.4055152071523387, 0.3920434130133611, 0.8186654957715342, 0.3920434130133611, 3.513343209996677, 87.94545454545455
Americas+Western Pacific, 0.11194587357324481, 0.6807194683257456, 0.9999994592624715, 0.6619244524672132, 0.9999994592624715, 1.5937708206975856, 82.925
Africa+Eastern Mediterranean, 5.892192353806891e-06, 0.26835729145353215, 0.8691949135727518, 0.5795335832924818, 0.8691949135727518, 0.19985613611234498, 82.4
Western Pacific, 0.9690261536251421, 0.8129208540807875, 0.516588168498002, 0.4213453005917973, 0.516588168498002, 2.6748795518209363, 79.82352941176471
Africa+Americas, 0.04165790462409458, 0.14837105491365765, 0.46352157219053713, 0.5508809665417518, 0.46352157219053713, 1.529181449729407, 83.17460317460318
Europe, 6.20194980346378e-05, 0.02428375692872231, 0.21124246391699786, 0.5645804636181813, 0.21124246391699786, 6.497138095237901, 89.625
Eastern Mediterranean+Western Pacific, 0.981151863705811, 0.9598045139815665, 0.5014775983768269, 0.22730325705224486, 0.5014775983768269, 1.1075811373701754, 81.53125
Eastern Mediterranean+South-East Asia, 0.32916573495120804, 0.5325454552723679, 0.39798743898507083, 0.5645804636181813, 0.39798743898507083, 4.367928316410115, 74.66666666666667
Africa+South-East Asia, 3.8693510306941903e-07, 0.07921754338538634, 0.4830356150340037, 0.8114069302287354, 0.4830356150340037, 13.551476089187105, 78.17391304347827
South-East Asia, 0.14711158941206204, 0.7020585048754062, 0.09907852084958169, 0.4757214616369546, 0.09907852084958169, 31.3313690476189, 52.666666666666664
Americas+Europe, 1.0505116391223979e-05, 0.034024001768854895, 0.2547862831169956, 0.7364772498868033, 0.2547862831169956, 4.335684096655868, 88.01587301587301
Eastern Mediterranean, 0.5034530180243333, 0.7431150399520374, 0.6784094852270932, 0.20969242212312345, 0.6784094852270932, 0.68903809523826, 83.46666666666667
South-East Asia+Western Pacific, 0.5861707040568223, 0.9165024761684727, 0.16630731876841265, 0.28085845314250046, 0.16630731876841265, 28.512392620078323, 72.73913043478261
Africa+Western Pacific, 0.00011320783533919077, 0.4998838011583777, 0.44731274639397967, 0.9784190899445989, 0.44731274639397967, 1.9107624185587468, 81.35087719298245
Africa+Europe, 0.8480100811484403, 0.8881457920195386, 0.9499199155458343, 0.9842435431729071, 0.9499199155458343, 3.1740212848125964, 85.8125
Americas, 0.023330231498691956, 0.28967281676669343, 0.8695691699503167, 0.7876774577958101, 0.8695691699503167, 2.56374741200851, 85.21739130434783
Europe+South-East Asia, 0.0018211954717484158, 0.23224694131419987, 0.535304667110893, 0.7871324446023998, 0.535304667110893, 0.4494235486533711, 84.80434782608695
Americas+Eastern Mediterranean, 0.3701455181727563, 0.3966358219718712, 0.9985422257260715, 0.9999782739304031, 0.9985422257260715, 1.897256261819905, 84.52631578947368
Africa, 3.109434670856004e-07, 0.18599649562809928, 0.4767512409391599, 0.5389250063517004, 0.4767512409391599, 0.9857529761906534, 82.0

Proxy-Score (PCC): (0.40970872380614975, 4.5357706124082343e-07)
Proxy-Score Sample: 0.47619047619047616
Proxy-Score Modified Sample: 0.9047619047619048
Proxy-Score Total: 0.6904761904761905

Modified is Improvement (Proxy): 0.9047619047619048
Modified is Improvement (Original): 0.6190476190476191

Representativeness of Initial Sample: 0.5722609969554787

Avg. Mean (Sample): 81.24046184502387
