Region, p-Value Sample, p-Value Modified, p-Value Sample (Orig.), p-Value Modified (Orig.), Rep.Score, Imputation Delta, Mean (Sample))
Africa+Eastern Mediterranean, 0.003987217771635465, 0.3479750550083305, 0.00440129325795291, 0.5237546704208089, 0.00440129325795291, 0.5893549221021954, 0.9814074074074076
Eastern Mediterranean+Europe, 0.002128062629199401, 0.21215904648006723, 0.0029962392061392285, 0.21215904648006723, 0.0029962392061392285, 0.6401874468287132, 2.807491228070175
Eastern Mediterranean+Western Pacific, 0.07963386752258583, 0.3242946304235569, 0.08817588593555914, 0.3242946304235569, 0.08817588593555914, 0.3416578298974664, 1.5152500000000002
Eastern Mediterranean, 0.2235706225934585, 0.683159749884426, 0.3818959834983072, 0.8193523257649524, 0.3818959834983072, 0.26431458430458643, 1.7480000000000002
Western Pacific, 0.1394260705773399, 0.481058468091047, 0.1394260705773399, 0.5244334963334023, 0.1394260705773399, 0.7101920538720541, 1.3135333333333332
Eastern Mediterranean+South-East Asia, 0.06136740657758655, 0.3479750550083305, 0.13793279638432931, 0.5365946585310143, 0.13793279638432931, 0.4888133156473182, 1.3909473684210527
South-East Asia+Western Pacific, 0.0170985053005549, 0.3723219839760401, 0.021015558526569666, 0.41500628449809196, 0.021015558526569666, 1.2964231312912662, 1.1146190476190476
Europe+South-East Asia, 0.0028951625156594663, 0.42348619310938374, 0.004404547713841467, 0.27047862429658975, 0.004404547713841467, 0.5843294533335208, 2.8201399999999994
Americas+Western Pacific, 0.036100117526638, 0.2731337503298502, 0.0422524870719454, 0.3109439665312871, 0.0422524870719454, 0.30592625986138633, 1.503434782608696
Africa, 6.499185694841536e-06, 0.08074593867153701, 6.499185694841536e-06, 0.08074593867153701, 6.499185694841536e-06, 1.7482718903318906, 0.2695714285714285
Europe+Western Pacific, 0.01964113394770195, 0.4017568030909525, 0.01964113394770195, 0.47868119839189405, 0.01964113394770195, 0.8418085565104327, 2.6611186440677956
South-East Asia, 0.015755297042827965, 0.318384779654436, 0.028153078366545792, 0.38439138031450204, 0.028153078366545792, 1.3963651178451175, 0.6173333333333334
Africa+South-East Asia, 1.5915884395978352e-06, 0.07172052266510309, 1.5915884395978352e-06, 0.11055590908122126, 1.5915884395978352e-06, 1.5352056866204773, 0.3739
Americas+Eastern Mediterranean, 0.11667337280698098, 0.18136013103616433, 0.24633886329630317, 0.323998987703237, 0.24633886329630317, 0.22369415986301577, 1.7904761904761906
Africa+Europe, 0.09058240022935571, 0.6253744460331407, 0.10909083253352692, 0.6253744460331407, 0.10909083253352692, 0.493059367365142, 2.4323620689655168
Africa+Americas, 0.0005773209749909691, 0.22941476592855437, 0.0005773209749909691, 0.20990072912312552, 0.0005773209749909691, 0.36983552886003057, 0.8477272727272727
Americas+Europe, 0.0010802545639638783, 0.1305869587038384, 0.001650890282077988, 0.15732033538907164, 0.001650890282077988, 0.6813175646430425, 2.9265192307692303
Americas+South-East Asia, 0.018179406267892828, 0.22941476592855437, 0.014441205170835025, 0.20990072912312552, 0.014441205170835025, 0.9618844557370234, 1.3271428571428572
Africa+Western Pacific, 0.0007071876758502071, 0.3723219839760401, 0.0002067680772230851, 0.41500628449809196, 0.0002067680772230851, 1.0559499517535127, 0.8095517241379312
Europe, 2.3836206941241223e-05, 0.035820030337750275, 4.5315749181096265e-05, 0.035820030337750275, 4.5315749181096265e-05, 1.11189144168962, 3.120522727272727
Americas, 0.21883774139868428, 0.37520850885773904, 0.19420882882350754, 0.3514314309786203, 0.19420882882350754, 0.18292434343434483, 1.8595000000000002

Proxy-Score (PCC): (0.9949741868800551, 9.191799987622284e-100)
Proxy-Score Sample: 1.0
Proxy-Score Modified Sample: 1.0
Proxy-Score Total: 1.0

Modified is Improvement (Proxy): 1.0
Modified is Improvement (Original): 1.0

Representativeness of Initial Sample: 0.06842205667466726

Avg. Mean (Sample): 1.6300261259487616
