Query,Region,Mean (Baseline),Mean (MissForest),Mean (ProxyRep),Mean (Hybrid)
BaSP-ANC-2014, Africa,0.2054893463344167,0.1665141521544346,0.16735283495846873,0.15022083816719
BaSP-ANC-2014, Africa+Eastern Mediterranean,0.1483348250035328,0.0320367376771529,0.05814373420007215,0.0446506637517477
BaSP-ANC-2014, Africa+South-East Asia,0.2095341278439869,0.1568685033518831,0.13480197423859394,0.1352396398409114
BaSP-ANC-2014, Africa+Western Pacific,0.138213898777279,0.0219833865499597,0.06087808904710306,0.077637661446211
BaSP-ANC-2014, Americas+Europe,0.1227880101119537,0.127342603562952,0.11462621885157093,0.11073939149275612
BaSP-ANC-2014, Europe,0.1369836375253493,0.1431399342275584,0.11722643553629465,0.1361846207305537
DTP3-UHCID-2019, Africa,0.0816534001615126,0.080598076066408,0.05638926252997251,0.023076463972468205
DTP3-UHCID-2019, Africa+Americas,0.0464397961327607,0.0156594256009,0.02028900325555104,0.0095034772386057
DTP3-UHCID-2019, Africa+Eastern Mediterranean,0.0641575186715426,0.0477528998416838,0.026591028715129573,0.0021849566728858
DTP3-UHCID-2019, Africa+South-East Asia,0.0557665199215118,0.013625339770344292,0.02523565971428421,0.0127744038763967
DTP3-UHCID-2019, Africa+Western Pacific,0.047603542486284296,0.0336311305037571,0.015405941310964982,0.027593580341285104
DTP3-UHCID-2019, Americas,0.002237832965808,0.0062709528972843,0.04828299368915781,0.0208984698289997
DTP3-UHCID-2019, Americas+Europe,0.0395909419990278,0.0344453230007957,0.028829171296566976,0.0245379978300883
DTP3-UHCID-2019, Americas+Western Pacific,0.006412032531861,0.008752891532407,0.004891124237284782,0.0037929640266701997
DTP3-UHCID-2019, Eastern Mediterranean+Europe,0.0384232996081641,0.0176860123748618,0.01754196151821733,0.0035291708270629
DTP3-UHCID-2019, Eastern Mediterranean+South-East Asia,0.0024453184396747,0.005252921380241,0.014434655934158725,0.0227351009213412
DTP3-UHCID-2019, Europe,0.0635533138316595,0.0644752801020786,0.047145234436888776,0.0525580447454361
DTP3-UHCID-2019, Europe+South-East Asia,0.0620558950815836,0.0625260518634548,0.05461238334739694,0.061557227445070285
DTP3-UHCID-2019, Europe+Western Pacific,0.0460421662085501,0.059215987671558,0.026520423841904537,0.0469527471910648
DTP3-UHCID-2019, South-East Asia,0.0548410592857635,0.055426476406559504,0.06476012242431319,0.0502768294604655
IPV-AUD-2004, Africa,0.9995608161484237,0.9874457324687914,0.6466716360296563,0.4132723045498024
IPV-AUD-2004, Africa+Eastern Mediterranean,0.5011903076447117,0.0680393528940147,0.30945134925062256,0.09070568590118783
IPV-AUD-2004, Africa+South-East Asia,0.7758490359832787,0.48688721949411523,0.44798576262713646,0.1465573447362476
IPV-AUD-2004, Africa+Western Pacific,0.453136973772032,0.2796377538287486,0.12615828863125103,0.1033604605761154
IPV-AUD-2004, Americas,0.480118903418782,0.4725420415425738,0.41767174251600636,0.38472130986818703
IPV-AUD-2004, Americas+Europe,0.2031184337379185,0.0446803745265178,0.29638215954317365,0.0291805314275751
IPV-AUD-2004, Americas+South-East Asia,0.3271251984321037,0.1950355415576001,0.2595611753344978,0.1983105327067416
IPV-AUD-2004, Eastern Mediterranean,0.6450618619138259,0.648862036552887,0.5949808324570394,0.5897073419444536
IPV-AUD-2004, Eastern Mediterranean+Western Pacific,0.6173056049332223,0.6190684533474041,0.4709941166291747,0.5515206140252558
IPV-AUD-2004, Europe,0.6911451031355612,0.6935975926667761,0.7315084092012794,0.7022580070281557
IPV-AUD-2004, Europe+South-East Asia,0.5937085424237178,0.5936749350031092,0.5951399938380765,0.6240793564381073
IPV-AUD-2004, South-East Asia+Western Pacific,0.457617482016167,0.20396375342490944,0.47775674857241746,0.2583513045844329
IPV-AUD-2004, Western Pacific,0.5941753907827191,0.5988347947520827,0.36186593083331275,0.3510252831990205
LEaB-IMR-2019, Africa,0.1176832894110484,0.1162534743304875,0.06506621896664556,0.0649086187625413
LEaB-IMR-2019, Africa+Americas,0.0543379675876767,0.0016030043519320999,0.017018154615259008,0.0047918136065899
LEaB-IMR-2019, Africa+Eastern Mediterranean,0.0780075352186855,0.0461607060160401,0.01668904197698659,0.0169811957587567
LEaB-IMR-2019, Africa+South-East Asia,0.094776730375162,0.0627312373377706,0.03318568690579574,0.029203676336266596
LEaB-IMR-2019, Africa+Western Pacific,0.0790661447885057,0.0610249718890703,0.031357316079552854,0.0361145713105559
LEaB-IMR-2019, Americas,0.0358811271304588,0.0368557977287562,0.04505551666226534,0.04676479404431504
LEaB-IMR-2019, Americas+Europe,0.0625763726846806,0.0564782861150844,0.05338706802881404,0.0417114566403558
LEaB-IMR-2019, Americas+Western Pacific,0.024790628740852198,0.0325744973581076,0.037359388595930285,0.0447043464395502
LEaB-IMR-2019, Eastern Mediterranean+Europe,0.0577549501354627,0.0390429625656017,0.025759143226623673,0.014239093809672589
LEaB-IMR-2019, Europe,0.0801952347504674,0.0807223831703017,0.03267241667652603,0.0325261826540365
LEaB-IMR-2019, Europe+South-East Asia,0.0662922291489058,0.06816250997993,0.03200705696643283,0.051469540646084694
LEaB-IMR-2019, Europe+Western Pacific,0.0586532182285107,0.0739298488387781,0.013379883999642173,0.0389495428774569
MCV2_0-MCV1-2019, Africa,0.2132955893642263,0.2081733954781784,0.08374799357945419,0.060975001179665006
MMR-BaSP-2000, Africa,2.17696540552082,2.0975211108302285,0.8328640073936886,0.3637244540198046
MMR-BaSP-2000, Africa+Americas,0.766343093196554,0.0376405897408482,0.3459667933846703,0.1783122002730426
MMR-BaSP-2000, Africa+Eastern Mediterranean,1.5178995593086428,0.6882998542161445,0.5997214256031931,0.0694149554761396
MMR-BaSP-2000, Africa+South-East Asia,1.786985643267932,1.179015913196764,0.7043334772255719,0.1392021997057744
MMR-BaSP-2000, Africa+Western Pacific,1.0958819068397996,0.840865985038045,0.528269486954544,0.7143776409416681
MMR-BaSP-2000, Americas+Europe,0.7435980250807567,0.7323415596769781,0.6116163972168457,0.6588976858651197
MMR-BaSP-2000, Eastern Mediterranean+Europe,0.7784847623847319,0.7030687746335703,0.4255599419479914,0.3047827756629069
MMR-BaSP-2000, Europe,0.9003766413845369,0.9032449941524902,0.8554517984208988,0.8767729528294104
MMR-BaSP-2000, Europe+South-East Asia,0.7210106720780275,0.6862926543484753,0.37731336170950164,0.5721912208253348
MMR-BaSP-2000, Europe+Western Pacific,0.7636163832917903,0.8591560773541184,0.6104008837768463,0.8129393633449506
NCD-AAP-2019, Eastern Mediterranean+South-East Asia,0.656691993489049,0.0725803943567535,0.7773956679790236,0.7934888071049464
NCD-AAP-2019, South-East Asia,2.7734525759303663,2.5747676023231487,0.664159077648332,0.6816859237452293
NCDR-AAPR-2019, Africa,0.1392174744344837,0.1437041399638765,0.09690765211770001,0.1223879797789884
NCDR-AAPR-2019, Africa+Eastern Mediterranean,0.12384624418044242,0.1082158845150111,0.07324554559252566,0.0178785910803257
NCDR-AAPR-2019, Africa+South-East Asia,0.1060366552171625,0.0688846432823027,0.06781131402769221,0.0386463433324237
NCDR-AAPR-2019, Africa+Western Pacific,0.1578796219608859,0.1669686928135561,0.12236274394133478,0.146466572596262
NCDR-AAPR-2019, Americas,0.1439442828629666,0.1426550900323269,0.024514363954008755,0.0661911766836659
NCDR-AAPR-2019, Americas+Europe,0.1495273423564767,0.1510052062941217,0.05902552495674646,0.0603294301599161
NCDR-AAPR-2019, Americas+South-East Asia,0.11613808661558839,0.0953719336703427,0.053203105191018715,0.023873754751103496
NCDR-AAPR-2019, Americas+Western Pacific,0.0106709349460147,0.08145582878785,0.11024633681827677,0.017549285033236
NCDR-AAPR-2019, Eastern Mediterranean,0.090175930290637,0.0930947607565714,0.025883568851499335,0.0471368058551141
NCDR-AAPR-2019, Eastern Mediterranean+South-East Asia,0.0479306268592306,0.0722066929893372,0.06346519059259831,0.05240531852636419
NCDR-AAPR-2019, Europe,0.1533656957582657,0.1557088011305074,0.06964530898236337,0.0677929212080057
NMR-BaSP-2000, Africa,0.8882012827714092,0.8974827567769961,0.34264818902470806,0.3366288751983157
NMR-BaSP-2000, Africa+Americas,0.2918169771470409,0.0144196460956672,0.05990201210972938,0.1031719055423744
NMR-BaSP-2000, Africa+Eastern Mediterranean,0.6217484492410104,0.3523454446142195,0.23618140987798616,0.1533558870764894
NMR-BaSP-2000, Africa+South-East Asia,0.8493796101971001,0.8028600255968736,0.386961847976019,0.3476034913056143
NMR-BaSP-2000, Africa+Western Pacific,0.39343196459909735,0.3591846854164106,0.09250510130849539,0.1940553513712449
NMR-BaSP-2000, Americas+Europe,0.3534839376108314,0.3437641346499225,0.2263311976741801,0.2196808075641117
NMR-BaSP-2000, Eastern Mediterranean+Europe,0.360860194405759,0.2484338024971529,0.17789100656769236,0.21445821252875594
NMR-BaSP-2000, Europe,0.4441456783985405,0.4378363546543428,0.18016960396001197,0.19612335501987047
NMR-BaSP-2000, Europe+South-East Asia,0.2639445757732107,0.20175944977684657,0.09182003168510881,0.10239847527586811
NMR-BaSP-2000, Europe+Western Pacific,0.3622127523660633,0.4019095179910577,0.19498338486366124,0.2369368274225067
PCV3_0-UHCID-2019, Africa,0.0159999999999999,0.013220671428570398,0.020092307692307663,0.0431004835164827
PCV3_0-UHCID-2019, Africa+Americas,0.0019047619047618,0.01609676066415,0.024373333333333316,0.0198047769657463
PCV3_0-UHCID-2019, Africa+Eastern Mediterranean,0.0111999999999998,0.0032132119199151,0.03664999999999997,0.023441979977097297
PCV3_0-UHCID-2019, Africa+South-East Asia,0.061913043478260696,0.1669256782629656,0.055299999999999905,0.1747424962454196
PCV3_0-UHCID-2019, Africa+Western Pacific,0.023789473684210503,0.0260541948385832,0.013883870967741891,0.030419198515033205
PCV3_0-UHCID-2019, Americas,0.0226086956521739,0.0356110310559011,0.03653333333333322,0.0174994285714307
PCV3_0-UHCID-2019, Americas+Europe,0.05619047619047621,0.0509263559095596,0.029443478260869557,0.01702892288369
PCV3_0-UHCID-2019, Eastern Mediterranean+Europe,0.055345454545454593,0.0407993838862414,0.03280000000000001,0.0097333299316574
PCV3_0-UHCID-2019, Europe,0.0755,0.0785608357142828,0.06148571428571428,0.0728252244897926
PCV3_0-UHCID-2019, Europe+South-East Asia,0.0176521739130435,0.0080331279762964,0.05003636363636355,0.007690630354731099
PCV3_0-UHCID-2019, Europe+Western Pacific,0.040421052631579,0.0655654013790845,0.011257142857142773,0.0578464823240602
PHD-MDD-2010, Africa,0.8666042692289203,0.8651213803823612,0.6074569650904244,0.6264688278108437
PHD-MDD-2010, Africa+Americas,0.5805074757391615,0.1830107919776086,0.5220922982522119,0.3824341522947065
PHD-MDD-2010, Africa+Eastern Mediterranean,0.514356699487635,0.2916385869748201,0.21334242646172336,0.1312704004136088
PHD-MDD-2010, Africa+South-East Asia,0.8149779299697157,0.7596869057522998,0.4917212644246946,0.3865168713053754
PHD-MDD-2010, Africa+Western Pacific,0.5993984065349403,0.5225302110773307,0.35432790324815416,0.4009649733963222
PHD-MDD-2010, Americas+Europe,0.4481696872435377,0.3371457238787052,0.18102408616501783,0.0510575894593871
PHD-MDD-2010, Americas+South-East Asia,0.3432716805175781,0.4759824903193838,0.44962243423526843,0.4414359112059076
PHD-MDD-2010, Americas+Western Pacific,0.2560347268419587,0.1513856910301589,0.3245053212195587,0.3969384817985872
PHD-MDD-2010, Eastern Mediterranean+Europe,0.3892694266098134,0.3167927430319636,0.17690694216266523,0.1135062914193072
PHD-MDD-2010, Europe,0.5441711007663781,0.5502125065268008,0.2775102185229906,0.2619706696625221
PHD-MDD-2010, Europe+South-East Asia,0.39552859207062396,0.2891517652726197,0.1297370683195391,0.1569717666319808
PHD-MDD-2010, Europe+Western Pacific,0.3168378714137665,0.4165636846610484,0.11720066100422791,0.2814538561299593
PHD-MDD-2010, South-East Asia,0.6945164716982377,0.6909825210531847,0.49209239722095754,0.4254715860731164
PHD-MDD-2010, South-East Asia+Western Pacific,0.44843775478561,0.6415268558081126,0.30922784584628166,0.6779835678686319
TBI-TBNRC-2019, Africa,1.0209252316166255,1.0188778404421022,0.7410867021543344,0.7640164569183661
TBI-TBNRC-2019, Africa+Eastern Mediterranean,0.5660136062299501,0.20503570469438606,0.25469903792871124,0.05962922313226529
TBI-TBNRC-2019, Africa+South-East Asia,1.0726461090421586,1.1459296039675746,0.6977398637290709,0.7051243212578542
TBI-TBNRC-2019, Americas+Europe,0.7437765880015372,0.7306435978129641,0.7256955518352245,0.7089261496288131
TBI-TBNRC-2019, Europe,0.7782190895194436,0.778039534870556,0.756468258043476,0.7542054949872395
TBI-TBNRC-2019, Europe+Western Pacific,0.351483696501138,0.6091308533126195,0.41014054136243294,0.607065885391376
TBI-TBNRC-2019, South-East Asia,1.293635312587619,1.2763582364858532,0.7679543369011772,1.1741704697588744
U5MR-WSH-2004, Africa,1.1133680381507438,1.1165861538783466,0.767999843697002,0.7714698693354273
U5MR-WSH-2004, Africa+Eastern Mediterranean,0.8586854232725867,0.615207030008456,0.49786741364527853,0.3372674428890865
U5MR-WSH-2004, Africa+South-East Asia,0.8973622267540133,0.6527328795681446,0.6293738175181713,0.3446413144314583
U5MR-WSH-2004, Americas,0.5247341676188004,0.5260739760504779,0.4990163512794584,0.4996535239421965
U5MR-WSH-2004, Americas+Europe,0.6117328238650279,0.597131776578359,0.5450654438732907,0.4964561540525294
U5MR-WSH-2004, Americas+Western Pacific,0.4677292213732077,0.4917493522928917,0.4425682888761267,0.4635680090068479
U5MR-WSH-2004, Eastern Mediterranean+Europe,0.4538871370639569,0.22804147991738863,0.4762621560012823,0.2734751399652713
U5MR-WSH-2004, Eastern Mediterranean+South-East Asia,0.0784990418187639,0.0829046480151304,0.22079071701117903,0.3034903495978271
U5MR-WSH-2004, Europe,0.6962458042185062,0.6907122630370888,0.5818607468777505,0.5354069998173
U5MR-WSH-2004, Europe+South-East Asia,0.5217798772784723,0.5388841160377787,0.5367719754254883,0.5412888096547825
U5MR-WSH-2004, Europe+Western Pacific,0.5722104666703679,0.6530975831721938,0.49004407552381507,0.5626793531518657
