Query, Region, Mean (Baseline), Mean (MissForest), Mean (ProxyRep), Mean (Hybrid)
U5MR-WSH-2004, Europe+Western Pacific, 0.5722104666703679, 0.6530975831721938, 0.48936867361211406, 0.5626793531518657
U5MR-WSH-2004, Europe, 0.6962458042185062, 0.6907122630370888, 0.5608152904576397, 0.5354069998173
U5MR-WSH-2004, Eastern Mediterranean+Europe, 0.45388713706395695, 0.22804147991738868, 0.45388713706395695, 0.22804147991738868
U5MR-WSH-2004, Africa+Eastern Mediterranean, 0.8586854232725867, 0.615207030008456, 0.5119154376662004, 0.33726744288908656
U5MR-WSH-2004, Africa, 1.1133680381507438, 1.1165861538783466, 0.8203854342260652, 0.7714698693354273
U5MR-WSH-2004, Africa+South-East Asia, 0.8973622267540133, 0.6527328795681446, 0.6635880579251935, 0.3446413144314583
U5MR-WSH-2004, Americas, 0.5247341676188004, 0.5260739760504779, 0.46131465555207135, 0.4996535239421965
U5MR-WSH-2004, Americas+Europe, 0.6117328238650279, 0.597131776578359, 0.5578210273014574, 0.4964561540525294
U5MR-WSH-2004, Eastern Mediterranean+South-East Asia, 0.07849904181876399, 0.08290464801513045, 0.27613086660724145, 0.3034903495978271
U5MR-WSH-2004, Europe+South-East Asia, 0.5217798772784723, 0.5388841160377787, 0.5574073532717936, 0.5468997614277915
U5MR-WSH-2004, Americas+Western Pacific, 0.46772922137320777, 0.4917493522928917, 0.44705828468349096, 0.4635680090068479
IPV-AUD-2004, Europe, 0.6911451031355612, 0.6935975926667761, 0.7193746546171065, 0.7022580070281557
IPV-AUD-2004, Eastern Mediterranean, 0.6450618619138259, 0.648862036552887, 0.6201598626326087, 0.5897073419444536
IPV-AUD-2004, Africa, 0.9995608161484236, 0.9874457324687914, 0.7391383923223339, 0.41327230454980246
IPV-AUD-2004, Western Pacific, 0.5941753907827191, 0.5988347947520827, 0.35860751983783656, 0.3510252831990205
IPV-AUD-2004, Americas+Europe, 0.20311843373791857, 0.044680374526517894, 0.2880429139989619, 0.029180531427575103
IPV-AUD-2004, South-East Asia+Western Pacific, 0.4576174820161669, 0.20396375342490944, 0.42257527253850163, 0.2583513045844329
IPV-AUD-2004, Africa+Eastern Mediterranean, 0.5011903076447117, 0.06803935289401478, 0.45882416885185523, 0.09637226915298115
IPV-AUD-2004, Africa+Western Pacific, 0.453136973772032, 0.27963775382874867, 0.11203279114033571, 0.1033604605761154
IPV-AUD-2004, Eastern Mediterranean+Western Pacific, 0.6173056049332223, 0.6190684533474041, 0.4741657213538163, 0.5515206140252558
IPV-AUD-2004, Europe+South-East Asia, 0.5937085424237178, 0.5936749350031092, 0.6228776182899397, 0.6240793564381073
IPV-AUD-2004, Americas+South-East Asia, 0.32712519843210375, 0.19503554155760014, 0.21414995339075277, 0.19831053270674162
IPV-AUD-2004, Africa+South-East Asia, 0.7758490359832787, 0.48688721949411523, 0.6370815788967717, 0.1465573447362476
IPV-AUD-2004, Americas, 0.48011890341878205, 0.4725420415425738, 0.39534305243121654, 0.38472130986818714
MCV2_0-MCV1-2019, Africa, 0.21329558936422638, 0.2081733954781784, 0.09749022960429896, 0.06097500117966502
LEaB-IMR-2019, Americas+Europe, 0.06257637268468066, 0.05647828611508448, 0.05845220674894125, 0.041711456640355825
LEaB-IMR-2019, Europe+Western Pacific, 0.05865321822851073, 0.07392984883877811, 0.013377033284321977, 0.03894954287745694
LEaB-IMR-2019, Europe, 0.08019523475046746, 0.0807223831703017, 0.03800774156273313, 0.03252618265403651
LEaB-IMR-2019, Africa+Western Pacific, 0.0790661447885057, 0.061024971889070384, 0.03534785524993829, 0.03611457131055594
LEaB-IMR-2019, Africa+South-East Asia, 0.094776730375162, 0.0627312373377706, 0.033967301215458795, 0.029203676336266648
LEaB-IMR-2019, Europe+South-East Asia, 0.06629222914890588, 0.06816250997993005, 0.030215258443423605, 0.051469540646084735
LEaB-IMR-2019, Americas+Western Pacific, 0.02479062874085222, 0.03257449735810765, 0.036699238387839506, 0.04470434643955023
LEaB-IMR-2019, Americas, 0.03588112713045883, 0.03685579772875622, 0.04903501023209037, 0.0478657936349327
LEaB-IMR-2019, Africa+Americas, 0.0543379675876767, 0.0016030043519321502, 0.02346331510683031, 0.004791813606589924
LEaB-IMR-2019, Africa, 0.11768328941104843, 0.11625347433048755, 0.06998857286632351, 0.06490861876254132
LEaB-IMR-2019, Eastern Mediterranean+Europe, 0.057754950135462724, 0.03904296256560171, 0.03377739492538669, 0.01423909380967268
LEaB-IMR-2019, Africa+Eastern Mediterranean, 0.07800753521868552, 0.04616070601604015, 0.01598309866053835, 0.016981195758756777
PCV3_0-UHCID-2019, Europe+Western Pacific, 0.04042105263157907, 0.06556540137908456, 0.01514285714285711, 0.057846482324060276
PCV3_0-UHCID-2019, Eastern Mediterranean+Europe, 0.05534545454545469, 0.0407993838862414, 0.02727272727272737, 0.00973332993165741
PCV3_0-UHCID-2019, Africa+Eastern Mediterranean, 0.011199999999999875, 0.003213211919915125, 0.0585, 0.02344197997709739
PCV3_0-UHCID-2019, Africa+Americas, 0.0019047619047618128, 0.016096760664150056, 0.012800000000000126, 0.019804776965746385
PCV3_0-UHCID-2019, Europe, 0.07550000000000007, 0.07856083571428281, 0.06371428571428572, 0.07282522448979262
PCV3_0-UHCID-2019, Africa+South-East Asia, 0.061913043478260765, 0.16692567826296562, 0.10674999999999996, 0.17474249624541968
PCV3_0-UHCID-2019, Americas+Europe, 0.05619047619047621, 0.05092635590955968, 0.06226086956521744, 0.01702892288369003
PCV3_0-UHCID-2019, Africa+Western Pacific, 0.02378947368421052, 0.026054194838583216, 0.026580645161290363, 0.030419198515033205
PCV3_0-UHCID-2019, Americas, 0.022608695652173993, 0.03561103105590115, 0.0253333333333332, 0.017499428571430713
PCV3_0-UHCID-2019, Europe+South-East Asia, 0.0176521739130435, 0.008033127976296442, 0.03618181818181819, 0.007690630354731184
PCV3_0-UHCID-2019, Africa, 0.015999999999999945, 0.013220671428570427, 0.01723076923076934, 0.04310048351648277
NCD-AAP-2019, Eastern Mediterranean+South-East Asia, 0.656691993489049, 0.07258039435675356, 0.7626569348596545, 0.7934888071049464
NCD-AAP-2019, South-East Asia, 2.7734525759303663, 2.5747676023231487, 0.6747185356419533, 0.6816859237452293
TBI-TBNRC-2019, Europe+Western Pacific, 0.35148369650113803, 0.6091308533126195, 0.377865713804281, 0.607065885391376
TBI-TBNRC-2019, Africa, 1.0209252316166255, 1.0188778404421022, 0.6875433443374122, 0.7640164569183661
TBI-TBNRC-2019, Americas+Europe, 0.7437765880015372, 0.7306435978129641, 0.7156004645494911, 0.7089261496288131
TBI-TBNRC-2019, Europe, 0.7782190895194436, 0.7780395348705559, 0.7622578601698268, 0.7542054949872395
TBI-TBNRC-2019, South-East Asia, 1.293635312587619, 1.2763582364858532, 1.170521064191372, 1.1741704697588744
TBI-TBNRC-2019, Africa+Eastern Mediterranean, 0.5660136062299501, 0.20503570469438612, 0.3244670855425716, 0.059629223132265395
TBI-TBNRC-2019, Africa+South-East Asia, 1.0726461090421586, 1.1459296039675746, 0.48777104283410155, 0.7051243212578542
DTP3-UHCID-2019, Americas+Western Pacific, 0.0064120325318610975, 0.008752891532407082, 0.006994282595194932, 0.003792964026670259
DTP3-UHCID-2019, Eastern Mediterranean+South-East Asia, 0.0024453184396747707, 0.0052529213802410355, 0.004561670273115322, 0.022735100921341216
DTP3-UHCID-2019, Africa+Western Pacific, 0.0476035424862843, 0.03363113050375711, 0.007263025685155736, 0.027593580341285128
DTP3-UHCID-2019, Africa+Eastern Mediterranean, 0.06415751867154265, 0.0477528998416838, 0.03697526171121132, 0.002184956672885854
DTP3-UHCID-2019, Africa, 0.08165340016151261, 0.08059807606640805, 0.061280386767257354, 0.02307646397246824
DTP3-UHCID-2019, Americas, 0.002237832965808078, 0.00627095289728435, 0.09394488779248135, 0.02089846982899972
DTP3-UHCID-2019, Europe+South-East Asia, 0.06205589508158365, 0.06252605186345483, 0.04874303426265519, 0.061557227445070334
DTP3-UHCID-2019, Americas+Europe, 0.03959094199902785, 0.03444532300079575, 0.027136089829814542, 0.02453799783008839
DTP3-UHCID-2019, Europe+Western Pacific, 0.04604216620855011, 0.05921598767155805, 0.019183737485977334, 0.0469527471910648
DTP3-UHCID-2019, Africa+South-East Asia, 0.055766519921511826, 0.013625339770344315, 0.009290814454859271, 0.012774403876396776
DTP3-UHCID-2019, Europe, 0.06355331383165959, 0.06447528010207867, 0.046119124457038946, 0.0525580447454361
DTP3-UHCID-2019, Africa+Americas, 0.046439796132760704, 0.015659425600900057, 0.018388989609528863, 0.009503477238605739
DTP3-UHCID-2019, South-East Asia, 0.05484105928576357, 0.05542647640655957, 0.05723531590541356, 0.050276829460465515
DTP3-UHCID-2019, Eastern Mediterranean+Europe, 0.03842329960816415, 0.017686012374861816, 0.022395461722907687, 0.0035291708270629896
PHD-MDD-2010, Africa+Eastern Mediterranean, 0.514356699487635, 0.29163858697482015, 0.1950691971475408, 0.13127040041360888
PHD-MDD-2010, Eastern Mediterranean+Europe, 0.3892694266098134, 0.3167927430319636, 0.1840373310108669, 0.11350629141930728
PHD-MDD-2010, South-East Asia+Western Pacific, 0.44843775478561004, 0.6415268558081126, 0.32933829496644956, 0.6779835678686319
PHD-MDD-2010, Europe+South-East Asia, 0.39552859207062396, 0.28915176527261977, 0.15989602626347757, 0.15697176663198087
PHD-MDD-2010, Americas+Western Pacific, 0.2560347268419587, 0.15138569103015892, 0.33315683907022153, 0.3969384817985872
PHD-MDD-2010, Africa, 0.8666042692289203, 0.8651213803823612, 0.59538277811867, 0.6264688278108437
PHD-MDD-2010, Europe+Western Pacific, 0.3168378714137665, 0.4165636846610483, 0.07850521886269432, 0.2814538561299593
PHD-MDD-2010, South-East Asia, 0.6945164716982377, 0.6909825210531847, 0.5217335365491578, 0.42547158607311647
PHD-MDD-2010, Africa+South-East Asia, 0.8149779299697156, 0.7596869057522998, 0.449486352209972, 0.38651687130537543
PHD-MDD-2010, Africa+Americas, 0.5805074757391615, 0.18301079197760864, 0.47274400744244965, 0.3824341522947065
PHD-MDD-2010, Americas+Europe, 0.4481696872435377, 0.3371457238787052, 0.1659048429648777, 0.051057589459387195
PHD-MDD-2010, Americas+South-East Asia, 0.34327168051757817, 0.4759824903193838, 0.5212386928208071, 0.4414359112059076
PHD-MDD-2010, Africa+Western Pacific, 0.5993984065349403, 0.5225302110773307, 0.3801587458680548, 0.40096497339632226
PHD-MDD-2010, Europe, 0.5441711007663781, 0.5502125065268008, 0.25677935907840327, 0.2619706696625221
BaSP-ANC-2014, Americas+Europe, 0.12278801011195377, 0.12734260356295207, 0.10612392302533141, 0.11073939149275616
BaSP-ANC-2014, Africa, 0.20548934633441676, 0.16651415215443469, 0.12459371614301191, 0.15022083816719
BaSP-ANC-2014, Africa+Eastern Mediterranean, 0.14833482500353287, 0.03203673767715298, 0.015384615384615353, 0.04465066375174773
BaSP-ANC-2014, Africa+South-East Asia, 0.20953412784398692, 0.15686850335188318, 0.18333935235343682, 0.13523963984091145
BaSP-ANC-2014, Africa+Western Pacific, 0.13821389877727908, 0.021983386549959776, 0.011092194190785764, 0.07763766144621101
BaSP-ANC-2014, Europe, 0.13698363752534937, 0.14313993422755844, 0.12098230408089564, 0.1361846207305537
MMR-BaSP-2000, Eastern Mediterranean+Europe, 0.7784847623847319, 0.7030687746335703, 0.4342501435054316, 0.3047827756629069
MMR-BaSP-2000, Americas+Europe, 0.7435980250807567, 0.7323415596769781, 0.653861417849136, 0.6588976858651197
MMR-BaSP-2000, Africa+Western Pacific, 1.0958819068397996, 0.8408659850380451, 0.36041899420396356, 0.7143776409416681
MMR-BaSP-2000, Africa+Eastern Mediterranean, 1.517899559308643, 0.6882998542161445, 0.8286947019561771, 0.06941495547613961
MMR-BaSP-2000, Africa, 2.17696540552082, 2.0975211108302285, 0.5611621954345416, 0.36372445401980463
MMR-BaSP-2000, Africa+South-East Asia, 1.786985643267932, 1.1790159131967641, 1.1285166566870435, 0.1392021997057744
MMR-BaSP-2000, Europe, 0.9003766413845369, 0.9032449941524902, 0.7871787373688144, 0.8767729528294103
MMR-BaSP-2000, Africa+Americas, 0.766343093196554, 0.03764058974084829, 0.48666293011014705, 0.1783122002730426
MMR-BaSP-2000, Europe+Western Pacific, 0.7636163832917903, 0.8591560773541185, 0.6302017740520519, 0.8129393633449506
MMR-BaSP-2000, Europe+South-East Asia, 0.7210106720780275, 0.6862926543484753, 0.39899275432953185, 0.5721912208253348
NMR-BaSP-2000, Africa+South-East Asia, 0.8493796101971001, 0.8028600255968736, 0.4400024051796707, 0.3476034913056143
NMR-BaSP-2000, Europe+South-East Asia, 0.2639445757732107, 0.2017594497768466, 0.17415500159499817, 0.10239847527586818
NMR-BaSP-2000, Eastern Mediterranean+Europe, 0.36086019440575906, 0.24843380249715297, 0.20998033183720824, 0.2144582125287559
NMR-BaSP-2000, Europe, 0.4441456783985405, 0.4378363546543428, 0.0801886902244965, 0.19612335501987055
NMR-BaSP-2000, Africa+Eastern Mediterranean, 0.6217484492410104, 0.35234544461421957, 0.11603873754081555, 0.15335588707648948
NMR-BaSP-2000, Africa+Western Pacific, 0.3934319645990974, 0.3591846854164106, 0.07364905034196224, 0.19405535137124494
NMR-BaSP-2000, Africa, 0.8882012827714092, 0.8974827567769961, 0.40144776298893997, 0.33662887519831575
NMR-BaSP-2000, Europe+Western Pacific, 0.3622127523660633, 0.40190951799105773, 0.17714148275447386, 0.2369368274225067
NMR-BaSP-2000, Americas+Europe, 0.35348393761083147, 0.34376413464992256, 0.24585425165383823, 0.2196808075641117
NMR-BaSP-2000, Africa+Americas, 0.29181697714704097, 0.014419646095667269, 0.06962663985329731, 0.10317190554237447
NCDR-AAPR-2019, Americas+Western Pacific, 0.010670934946014798, 0.08145582878785006, 0.11135522441213665, 0.017549285033236016
NCDR-AAPR-2019, Africa, 0.13921747443448376, 0.1437041399638765, 0.07137701876439144, 0.12238797977898841
NCDR-AAPR-2019, Americas, 0.14394428286296668, 0.14265509003232693, 0.011323506698578923, 0.06619117668366592
NCDR-AAPR-2019, Eastern Mediterranean, 0.09017593029063709, 0.09309476075657142, 0.026671583779227834, 0.047136805855114164
NCDR-AAPR-2019, Africa+South-East Asia, 0.10603665521716255, 0.06888464328230277, 0.07057114795376566, 0.038646343332423755
NCDR-AAPR-2019, Eastern Mediterranean+South-East Asia, 0.0479306268592306, 0.07220669298933724, 0.054694598934532046, 0.05240531852636427
NCDR-AAPR-2019, Americas+Europe, 0.14952734235647677, 0.15100520629412176, 0.03570195496484359, 0.06032943015991613
NCDR-AAPR-2019, Europe, 0.15336569575826575, 0.1557088011305074, 0.07643788695057294, 0.06779292120800577
NCDR-AAPR-2019, Americas+South-East Asia, 0.1161380866155884, 0.09537193367034277, 0.03422914546890511, 0.023873754751103583
NCDR-AAPR-2019, Africa+Eastern Mediterranean, 0.1238462441804424, 0.10821588451501118, 0.08410515600291116, 0.01787859108032579
NCDR-AAPR-2019, Africa+Western Pacific, 0.15787962196088592, 0.16696869281355614, 0.12680966559033102, 0.146466572596262
