Query,Region,Mean (Baseline),Mean (MissForest),Mean (ProxyRep),Mean (Hybrid)
BaSP-ANC-2014, Africa,0.2210526315789473,0.2443584795321636,0.2084210526315789,0.2280600000000001
BaSP-ANC-2014, Africa+Eastern Mediterranean,0.1789473684210526,0.0404823498005895,0.06315789473684205,0.013712770183033202
BaSP-ANC-2014, Africa+South-East Asia,0.2210526315789473,0.23377847083122832,0.16368421052631574,0.20745852130325831
BaSP-ANC-2014, Africa+Western Pacific,0.1578947368421052,0.0126315789473684,0.058947368421052596,0.131578947368421
BaSP-ANC-2014, Americas+Europe,0.0421052631578947,0.041374678632675,0.03526315789473679,0.0282247994987468
BaSP-ANC-2014, Europe,0.0526315789473684,0.0412961218836568,0.03789473684210522,0.0348440191387562
DTP3-UHCID-2019, Africa,0.075268817204301,0.1270075497597801,0.03978494623655911,0.1198118279569893
DTP3-UHCID-2019, Africa+Americas,0.05376344086021499,0.0460764092796939,0.03817204301075265,0.0393630494478257
DTP3-UHCID-2019, Africa+Eastern Mediterranean,0.05913978494623649,0.0695961714992086,0.021505376344085995,0.0089050946856928
DTP3-UHCID-2019, Africa+South-East Asia,0.05376344086021499,0.0025595235243006,0.027956989247311798,0.0053763440860215
DTP3-UHCID-2019, Africa+Western Pacific,0.032258064516129,0.0378003014517423,0.015053763440860199,0.0698924731182795
DTP3-UHCID-2019, Americas,0.0161290322580645,0.0443896268184689,0.0354838709677419,0.0423558162267844
DTP3-UHCID-2019, Americas+Europe,0.010752688172043,0.010752688172043,0.012903225806451599,0.05376344086021499
DTP3-UHCID-2019, Americas+Western Pacific,0.010752688172043,0.0468958184868093,0.009139784946236549,0.0669305063206456
DTP3-UHCID-2019, Eastern Mediterranean+Europe,0.021505376344086,0.0483870967741935,0.0118279569892473,0.075268817204301
DTP3-UHCID-2019, Eastern Mediterranean+South-East Asia,0.0,0.0740854073715862,0.0086021505376344,0.056107437529938
DTP3-UHCID-2019, Europe,0.032258064516129,0.013625481842159098,0.01666666666666665,0.005234604105571
DTP3-UHCID-2019, Europe+South-East Asia,0.032258064516129,0.012106885345911,0.022580645161290297,0.0015604392425057
DTP3-UHCID-2019, Europe+Western Pacific,0.032258064516129,0.0127953508457445,0.020967741935483848,0.0067367905033964
DTP3-UHCID-2019, South-East Asia,0.043010752688172,0.0038709677419356,0.043010752688172,0.0124014336917559
IPV-AUD-2004, Africa,2.3823529411764706,2.666406649616369,1.4602941176470587,1.784830316742081
IPV-AUD-2004, Africa+Eastern Mediterranean,1.5588235294117645,0.3398530732662996,1.1426470588235293,0.5096663114703325
IPV-AUD-2004, Africa+South-East Asia,1.9852941176470587,1.397058823529412,1.388235294117647,2.513679626949848
IPV-AUD-2004, Africa+Western Pacific,1.5588235294117645,1.4191176470588234,1.0941176470588236,2.1808823529411763
IPV-AUD-2004, Americas,0.8970588235294119,1.6191848739495796,0.822058823529412,1.610941176470589
IPV-AUD-2004, Americas+Europe,0.2647058823529412,0.4485294117647062,0.39264705882352935,0.3823529411764707
IPV-AUD-2004, Americas+South-East Asia,0.8529411764705885,0.5374093509335728,0.6117647058823531,1.2647058823529411
IPV-AUD-2004, Eastern Mediterranean,0.5735294117647058,0.3337941176470587,0.6,0.2564819004524883
IPV-AUD-2004, Eastern Mediterranean+Western Pacific,0.7058823529411765,0.3381494786340205,0.5661764705882353,0.1976816345179234
IPV-AUD-2004, Europe,0.7352941176470589,0.4431722689075629,0.7352941176470589,0.5666129032258066
IPV-AUD-2004, Europe+South-East Asia,0.625,0.4396418017481739,0.5735294117647058,0.5277836917512015
IPV-AUD-2004, South-East Asia+Western Pacific,0.5147058823529412,0.5673063109516393,0.6088235294117647,0.7007379573041336
IPV-AUD-2004, Western Pacific,0.7720588235294118,0.23799632352941166,0.44117647058823534,0.2157773109243697
LEaB-IMR-2019, Africa,0.1394686907020872,0.1325510574854514,0.09426673895364593,0.0858049832836356
LEaB-IMR-2019, Africa+Americas,0.0727161832474926,0.0190697582526638,0.01099213879100021,0.0231665611494904
LEaB-IMR-2019, Africa+Eastern Mediterranean,0.1130387638926538,0.0099350370048442,0.0104364326375711,0.0203794035061259
LEaB-IMR-2019, Africa+South-East Asia,0.1242206560043373,0.081593927893738,0.0304960693955001,0.0888308062104333
