,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,Languager,DateModifiedr
7,Benin,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,BEN,Year,2014,False,,,,,,,,,,,,,77,,,,,,77,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,BEN,Year,2012-2018,False,,,,,,,,,,,,,52.1,,,,,,52.1,,EN,2025-09-25T22:00:00.000Z
12,Cameroon,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,CMR,Year,2014,False,,,,,,,,,,,,,65,,,,,,65,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,CMR,Year,2013-2019,False,,,,,,,,,,,,,64.9,,,,,,64.9,,EN,2025-09-25T22:00:00.000Z
15,Croatia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,HRV,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,HRV,Year,2014,False,,,,,,,,,,,,,92.4,,,,,,92.4,,EN,2025-09-25T22:00:00.000Z
17,Czechia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,CZE,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,CZE,Year,2014,False,,,,,,,,,,,,,96.4,,,,,,96.4,,EN,2025-09-25T22:00:00.000Z
18,Democratic Republic of the Congo,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,COD,Year,2014,False,,,,,,,,,,,,,80,,,,,,80,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,COD,Year,2008-2014,False,,,,,,,,,,,,,48.0,,,,,,48.0,,EN,2025-09-25T22:00:00.000Z
21,Estonia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,EST,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,EST,Year,2014,False,,,,,,,,,,,,,96.8,,,,,,96.8,,EN,2025-09-25T22:00:00.000Z
22,Eswatini,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,SWZ,Year,2014,False,,,,,,,,,,,,,88,,,,,,88,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,SWZ,Year,2012-2014,False,,,,,,,,,,,,,76.1,,,,,,76.1,,EN,2025-09-25T22:00:00.000Z
23,Ethiopia,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,ETH,Year,2014,False,,,,,,,,,,,,,16,,,,,,16,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,ETH,Year,2011-2016,False,,,,,,,,,,,,,31.8,,,,,,31.8,,EN,2025-09-25T22:00:00.000Z
24,Finland,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,FIN,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,FIN,Year,2014,False,,,,,,,,,,,,,98.0,,,,,,98.0,,EN,2025-09-25T22:00:00.000Z
25,Georgia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,GEO,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,GEO,Year,2014,False,,,,,,,,,,,,,86.9,,,,,,86.9,,EN,2025-09-25T22:00:00.000Z
