,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,Languager,DateModifiedr
5,Bangladesh,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BGD,Year,2014,False,,,,,,,,,,,,,42,,,,,,42,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,BGD,Year,2014-2018,False,,,,,,,,,,,,,47.0,,,,,,47.0,,EN,2025-09-25T22:00:00.000Z
7,Benin,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,BEN,Year,2014,False,,,,,,,,,,,,,77,,,,,,77,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,BEN,Year,2012-2018,False,,,,,,,,,,,,,52.1,,,,,,52.1,,EN,2025-09-25T22:00:00.000Z
8,Bhutan,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BTN,Year,2014,False,,,,,,,,,,,,,89,,,,,,89,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,BTN,Year,2013-2015,False,,,,,,,,,,,,,84.9,,,,,,84.9,,EN,2025-09-25T22:00:00.000Z
12,Cameroon,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,CMR,Year,2014,False,,,,,,,,,,,,,65,,,,,,65,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,CMR,Year,2013-2019,False,,,,,,,,,,,,,64.9,,,,,,64.9,,EN,2025-09-25T22:00:00.000Z
18,Democratic Republic of the Congo,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,COD,Year,2014,False,,,,,,,,,,,,,80,,,,,,80,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,COD,Year,2008-2014,False,,,,,,,,,,,,,48.0,,,,,,48.0,,EN,2025-09-25T22:00:00.000Z
22,Eswatini,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,SWZ,Year,2014,False,,,,,,,,,,,,,88,,,,,,88,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,SWZ,Year,2012-2014,False,,,,,,,,,,,,,76.1,,,,,,76.1,,EN,2025-09-25T22:00:00.000Z
23,Ethiopia,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,ETH,Year,2014,False,,,,,,,,,,,,,16,,,,,,16,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,ETH,Year,2011-2016,False,,,,,,,,,,,,,31.8,,,,,,31.8,,EN,2025-09-25T22:00:00.000Z
26,Ghana,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,GHA,Year,2014,False,,,,,,,,,,,,,71,,,,,,71,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,GHA,Year,2012-2017,False,,,,,,,,,,,,,89.3,,,,,,89.3,,EN,2025-09-25T22:00:00.000Z
27,Guinea-Bissau,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,GNB,Year,2014,False,,,,,,,,,,,,,45,,,,,,45,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,GNB,Year,2012-2014,False,,,,,,,,,,,,,64.9,,,,,,64.9,,EN,2025-09-25T22:00:00.000Z
30,India,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,IND,Year,2013-2014,False,,,,,,,,,,,,,81,,,,,,81,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,IND,Year,2010-2016,False,,,,,,,,,,,,,51.2,,,,,,51.2,,EN,2025-09-25T22:00:00.000Z
32,Kenya,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,KEN,Year,2014,False,,,,,,,,,,,,,62,,,,,,62,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,KEN,Year,2010-2015,False,,,,,,,,,,,,,62.5,,,,,,62.5,,EN,2025-09-25T22:00:00.000Z
34,Lesotho,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,LSO,Year,2014,False,,,,,,,,,,,,,78,,,,,,78,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,LSO,Year,2009-2014,False,,,,,,,,,,,,,74.4,,,,,,74.4,,EN,2025-09-25T22:00:00.000Z
35,Malawi,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,MWI,Year,2013-2014,False,,,,,,,,,,,,,87,,,,,,87,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AFR,Africa,Country,MWI,Year,2010-2016,False,,,,,,,,,,,,,50.6,,,,,,50.6,,EN,2025-09-25T22:00:00.000Z
