,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,Languager,DateModifiedr
1,Antigua and Barbuda,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,ATG,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,ATG,Year,2014,False,,,,,,,,,,,,,100.0,,,,,,100.0,,EN,2025-09-25T22:00:00.000Z
3,Bahamas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BHS,Year,2014,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,BHS,Year,2014,False,,,,,,,,,,,,,83.1,,,,,,83.1,,EN,2025-09-25T22:00:00.000Z
6,Barbados,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BRB,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,BRB,Year,2014,False,,,,,,,,,,,,,96.9,,,,,,96.9,,EN,2025-09-25T22:00:00.000Z
9,Bolivia (Plurinational State of),MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BOL,Year,2014,False,,,,,,,,,,,,,84,,,,,,84,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,BOL,Year,2011-2016,False,,,,,,,,,,,,,85.6,,,,,,85.6,,EN,2025-09-25T22:00:00.000Z
10,Brazil,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BRA,Year,2014,False,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,BRA,Year,2014,False,,,,,,,,,,,,,90.09,,,,,,90.08576776,,EN,2025-09-25T22:00:00.000Z
13,Colombia,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,COL,Year,2014,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,COL,Year,2014,False,,,,,,,,,,,,,87.9,,,,,,87.9,,EN,2025-09-25T22:00:00.000Z
14,Costa Rica,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CRI,Year,2014,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,CRI,Year,2010-2015,False,,,,,,,,,,,,,97.6,,,,,,97.6,,EN,2025-09-25T22:00:00.000Z
15,Croatia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,HRV,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,HRV,Year,2014,False,,,,,,,,,,,,,92.4,,,,,,92.4,,EN,2025-09-25T22:00:00.000Z
16,Cuba,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CUB,Year,2014,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,CUB,Year,2012-2014,False,,,,,,,,,,,,,97.8,,,,,,97.8,,EN,2025-09-25T22:00:00.000Z
17,Czechia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,CZE,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,CZE,Year,2014,False,,,,,,,,,,,,,96.4,,,,,,96.4,,EN,2025-09-25T22:00:00.000Z
20,El Salvador,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,SLV,Year,2014,False,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,SLV,Year,2012-2014,False,,,,,,,,,,,,,90.0,,,,,,90.0,,EN,2025-09-25T22:00:00.000Z
21,Estonia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,EST,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,EST,Year,2014,False,,,,,,,,,,,,,96.8,,,,,,96.8,,EN,2025-09-25T22:00:00.000Z
24,Finland,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,FIN,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,FIN,Year,2014,False,,,,,,,,,,,,,98.0,,,,,,98.0,,EN,2025-09-25T22:00:00.000Z
25,Georgia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,GEO,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,GEO,Year,2014,False,,,,,,,,,,,,,86.9,,,,,,86.9,,EN,2025-09-25T22:00:00.000Z
28,Guyana,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,GUY,Year,2014,False,,,,,,,,,,,,,86,,,,,,86,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,AMR,Americas,Country,GUY,Year,2014,False,,,,,,,,,,,,,94.0,,,,,,94.0,,EN,2025-09-25T22:00:00.000Z
