,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,Languager,DateModifiedr
0,Afghanistan,MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,AFG,Year,2013-2014,False,,,,,,,,,,,,,45,,,,,,45,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EMR,Eastern Mediterranean,Country,AFG,Year,2014-2020,False,,,,,,,,,,,,,27.6,,,,,,27.6,,EN,2025-09-25T22:00:00.000Z
4,Bahrain,MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,BHR,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EMR,Eastern Mediterranean,Country,BHR,Year,2014,False,,,,,,,,,,,,,100.0,,,,,,100.0,,EN,2025-09-25T22:00:00.000Z
5,Bangladesh,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BGD,Year,2014,False,,,,,,,,,,,,,42,,,,,,42,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,BGD,Year,2014-2018,False,,,,,,,,,,,,,47.0,,,,,,47.0,,EN,2025-09-25T22:00:00.000Z
8,Bhutan,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BTN,Year,2014,False,,,,,,,,,,,,,89,,,,,,89,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,BTN,Year,2013-2015,False,,,,,,,,,,,,,84.9,,,,,,84.9,,EN,2025-09-25T22:00:00.000Z
19,Egypt,MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,EGY,Year,2014,False,,,,,,,,,,,,,92,,,,,,92,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EMR,Eastern Mediterranean,Country,EGY,Year,2009-2014,False,,,,,,,,,,,,,82.8,,,,,,82.8,,EN,2025-09-25T22:00:00.000Z
30,India,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,IND,Year,2013-2014,False,,,,,,,,,,,,,81,,,,,,81,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,IND,Year,2010-2016,False,,,,,,,,,,,,,51.2,,,,,,51.2,,EN,2025-09-25T22:00:00.000Z
37,Nepal,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,NPL,Year,2014,False,,,,,,,,,,,,,56,,,,,,56,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,NPL,Year,2011-2016,False,,,,,,,,,,,,,69.4,,,,,,69.4,,EN,2025-09-25T22:00:00.000Z
39,Oman,MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,OMN,Year,2014,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EMR,Eastern Mediterranean,Country,OMN,Year,2014,False,,,,,,,,,,,,,71.3,,,,,,71.3,,EN,2025-09-25T22:00:00.000Z
40,Pakistan,MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,PAK,Year,2014-2015,False,,,,,,,,,,,,,59,,,,,,59,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EMR,Eastern Mediterranean,Country,PAK,Year,2013-2018,False,,,,,,,,,,,,,51.4,,,,,,51.4,,EN,2025-09-25T22:00:00.000Z
56,United Arab Emirates,MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,ARE,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EMR,Eastern Mediterranean,Country,ARE,Year,2013-2018,False,,,,,,,,,,,,,97.3,,,,,,97.3,,EN,2025-09-25T22:00:00.000Z
