,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,Languager,DateModifiedr
5,Bangladesh,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BGD,Year,2014,False,,,,,,,,,,,,,42,,,,,,42,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,BGD,Year,2014-2018,False,,,,,,,,,,,,,47.0,,,,,,47.0,,EN,2025-09-25T22:00:00.000Z
8,Bhutan,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BTN,Year,2014,False,,,,,,,,,,,,,89,,,,,,89,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,BTN,Year,2013-2015,False,,,,,,,,,,,,,84.9,,,,,,84.9,,EN,2025-09-25T22:00:00.000Z
15,Croatia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,HRV,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,HRV,Year,2014,False,,,,,,,,,,,,,92.4,,,,,,92.4,,EN,2025-09-25T22:00:00.000Z
17,Czechia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,CZE,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,CZE,Year,2014,False,,,,,,,,,,,,,96.4,,,,,,96.4,,EN,2025-09-25T22:00:00.000Z
21,Estonia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,EST,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,EST,Year,2014,False,,,,,,,,,,,,,96.8,,,,,,96.8,,EN,2025-09-25T22:00:00.000Z
24,Finland,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,FIN,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,FIN,Year,2014,False,,,,,,,,,,,,,98.0,,,,,,98.0,,EN,2025-09-25T22:00:00.000Z
25,Georgia,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,GEO,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,GEO,Year,2014,False,,,,,,,,,,,,,86.9,,,,,,86.9,,EN,2025-09-25T22:00:00.000Z
29,Iceland,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,ISL,Year,2014,False,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,ISL,Year,2014,False,,,,,,,,,,,,,98.3,,,,,,98.3,,EN,2025-09-25T22:00:00.000Z
30,India,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,IND,Year,2013-2014,False,,,,,,,,,,,,,81,,,,,,81,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,IND,Year,2010-2016,False,,,,,,,,,,,,,51.2,,,,,,51.2,,EN,2025-09-25T22:00:00.000Z
31,Italy,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,ITA,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,ITA,Year,2014,False,,,,,,,,,,,,,87.3,,,,,,87.3,,EN,2025-09-25T22:00:00.000Z
33,Kyrgyzstan,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,KGZ,Year,2014,False,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,KGZ,Year,2014,False,,,,,,,,,,,,,94.6,,,,,,94.6,,EN,2025-09-25T22:00:00.000Z
37,Nepal,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,NPL,Year,2014,False,,,,,,,,,,,,,56,,,,,,56,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,SEAR,South-East Asia,Country,NPL,Year,2011-2016,False,,,,,,,,,,,,,69.4,,,,,,69.4,,EN,2025-09-25T22:00:00.000Z
44,Poland,MDG_0000000025,Births attended by skilled health personnel (%),text,EUR,Europe,Country,POL,Year,2014,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z,WHS4_154,Antenatal care coverage - at least four visits (%),text,EUR,Europe,Country,POL,Year,2014,False,,,,,,,,,,,,,87.27,,,,,,87.3,,EN,2025-09-25T22:00:00.000Z
