,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
0,Papua New Guinea,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,PNG,Year,2019,False,,,,,,,,,,,,,35,,,,,,35,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,PNG,Year,2019,False,,,,,,,,,,,,,43.97,,,,,,44,,,EN,2023-04-30T22:00:00.000Z
1,Central African Republic,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,CAF,Year,2019,False,,,,,,,,,,,,,38,,,,,,38,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,CAF,Year,2019,False,,,,,,,,,,,,,38.69,,,,,,39,,,EN,2023-04-30T22:00:00.000Z
2,Chad,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,TCD,Year,2019,False,,,,,,,,,,,,,53,,,,,,53,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,TCD,Year,2019,False,,,,,,,,,,,,,29.35,,,,,,29,,,EN,2023-04-30T22:00:00.000Z
3,Guinea,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,GIN,Year,2019,False,,,,,,,,,,,,,53,,,,,,53,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,GIN,Year,2019,False,,,,,,,,,,,,,48.85,,,,,,49,,,EN,2023-04-30T22:00:00.000Z
7,Ethiopia,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,ETH,Year,2019,False,,,,,,,,,,,,,61,,,,,,61,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,ETH,Year,2019,False,,,,,,,,,,,,,32.1,,,,,,32,,,EN,2023-04-30T22:00:00.000Z
8,South Sudan,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,SSD,Year,2019,False,,,,,,,,,,,,,61,,,,,,61,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,SSD,Year,2019,False,,,,,,,,,,,,,29.08,,,,,,29,,,EN,2023-04-30T22:00:00.000Z
9,Equatorial Guinea,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,GNQ,Year,2019,False,,,,,,,,,,,,,62,,,,,,62,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,GNQ,Year,2019,False,,,,,,,,,,,,,42.95,,,,,,43,,,EN,2023-04-30T22:00:00.000Z
10,Angola,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,AGO,Year,2019,False,,,,,,,,,,,,,64,,,,,,64,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,AGO,Year,2019,False,,,,,,,,,,,,,39.29,,,,,,39,,,EN,2023-04-30T22:00:00.000Z
13,Lao People's Democratic Republic,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,LAO,Year,2019,False,,,,,,,,,,,,,66,,,,,,66,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,LAO,Year,2019,False,,,,,,,,,,,,,62.62,,,,,,63,,,EN,2023-04-30T22:00:00.000Z
14,Nigeria,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,NGA,Year,2019,False,,,,,,,,,,,,,66,,,,,,66,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,NGA,Year,2019,False,,,,,,,,,,,,,40.89,,,,,,41,,,EN,2023-04-30T22:00:00.000Z
15,Cameroon,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,CMR,Year,2019,False,,,,,,,,,,,,,67,,,,,,67,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,CMR,Year,2019,False,,,,,,,,,,,,,53.74,,,,,,54,,,EN,2023-04-30T22:00:00.000Z
17,Samoa,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,WSM,Year,2019,False,,,,,,,,,,,,,68,,,,,,68,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,WSM,Year,2019,False,,,,,,,,,,,,,75.95,,,,,,76,,,EN,2023-04-30T22:00:00.000Z
