,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
5,Somalia,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,,,,,,,,,,,,,57,,,,,,57,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,,,,,,,,,,,,,31.68,,,,,,32,,,EN,2023-04-30T22:00:00.000Z
6,Yemen,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,YEM,Year,2019,False,,,,,,,,,,,,,60,,,,,,60,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,YEM,Year,2019,False,,,,,,,,,,,,,47.29,,,,,,47,,,EN,2023-04-30T22:00:00.000Z
12,Afghanistan,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,,,,,,,,,,,,,65,,,,,,65,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,,,,,,,,,,,,,34.63,,,,,,35,,,EN,2023-04-30T22:00:00.000Z
16,Syrian Arab Republic,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,SYR,Year,2019,False,,,,,,,,,,,,,67,,,,,,67,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,SYR,Year,2019,False,,,,,,,,,,,,,62.58,,,,,,63,,,EN,2023-04-30T22:00:00.000Z
24,Libya,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,LBY,Year,2019,False,,,,,,,,,,,,,73,,,,,,73,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,LBY,Year,2019,False,,,,,,,,,,,,,61.36,,,,,,61,,,EN,2023-04-30T22:00:00.000Z
41,Lebanon,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,LBN,Year,2019,False,,,,,,,,,,,,,83,,,,,,83,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,LBN,Year,2019,False,,,,,,,,,,,,,80.71,,,,,,81,,,EN,2023-04-30T22:00:00.000Z
43,Iraq,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,IRQ,Year,2019,False,,,,,,,,,,,,,84,,,,,,84,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,IRQ,Year,2019,False,,,,,,,,,,,,,49.56,,,,,,50,,,EN,2023-04-30T22:00:00.000Z
44,Pakistan,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,PAK,Year,2019,False,,,,,,,,,,,,,84,,,,,,84,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,PAK,Year,2019,False,,,,,,,,,,,,,36.24,,,,,,36,,,EN,2023-04-30T22:00:00.000Z
46,Djibouti,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,DJI,Year,2019,False,,,,,,,,,,,,,85,,,,,,85,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,DJI,Year,2019,False,,,,,,,,,,,,,39.77,,,,,,40,,,EN,2023-04-30T22:00:00.000Z
68,Jordan,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,JOR,Year,2019,False,,,,,,,,,,,,,89,,,,,,89,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,JOR,Year,2019,False,,,,,,,,,,,,,71.48,,,,,,71,,,EN,2023-04-30T22:00:00.000Z
85,Kuwait,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,KWT,Year,2019,False,,,,,,,,,,,,,92,,,,,,92,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,KWT,Year,2019,False,,,,,,,,,,,,,80.51,,,,,,81,,,EN,2023-04-30T22:00:00.000Z
97,Sudan,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,SDN,Year,2019,False,,,,,,,,,,,,,93,,,,,,93,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,SDN,Year,2019,False,,,,,,,,,,,,,42.91,,,,,,43,,,EN,2023-04-30T22:00:00.000Z
113,Egypt,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,EGY,Year,2019,False,,,,,,,,,,,,,95,,,,,,95,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,EGY,Year,2019,False,,,,,,,,,,,,,60.78,,,,,,61,,,EN,2023-04-30T22:00:00.000Z
131,Saudi Arabia,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,SAU,Year,2019,False,,,,,,,,,,,,,96,,,,,,96,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,SAU,Year,2019,False,,,,,,,,,,,,,84.16,,,,,,84,,,EN,2023-04-30T22:00:00.000Z
163,Qatar,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,QAT,Year,2019,False,,,,,,,,,,,,,98,,,,,,98,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,QAT,Year,2019,False,,,,,,,,,,,,,74.73,,,,,,75,,,EN,2023-04-30T22:00:00.000Z
167,Tunisia,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,TUN,Year,2019,False,,,,,,,,,,,,,98,,,,,,98,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,TUN,Year,2019,False,,,,,,,,,,,,,58.03,,,,,,58,,,EN,2023-04-30T22:00:00.000Z
171,Bahrain,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,BHR,Year,2019,False,,,,,,,,,,,,,99,,,,,,99,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,BHR,Year,2019,False,,,,,,,,,,,,,83.12,,,,,,83,,,EN,2023-04-30T22:00:00.000Z
179,Iran (Islamic Republic of),WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,IRN,Year,2019,False,,,,,,,,,,,,,99,,,,,,99,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,IRN,Year,2019,False,,,,,,,,,,,,,57.24,,,,,,57,,,EN,2023-04-30T22:00:00.000Z
183,Morocco,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,MAR,Year,2019,False,,,,,,,,,,,,,99,,,,,,99,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,MAR,Year,2019,False,,,,,,,,,,,,,79.93,,,,,,80,,,EN,2023-04-30T22:00:00.000Z
185,Oman,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,OMN,Year,2019,False,,,,,,,,,,,,,99,,,,,,99,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,OMN,Year,2019,False,,,,,,,,,,,,,82.51,,,,,,83,,,EN,2023-04-30T22:00:00.000Z
192,United Arab Emirates,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,EMR,Eastern Mediterranean,Country,ARE,Year,2019,False,,,,,,,,,,,,,99,,,,,,99,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EMR,Eastern Mediterranean,Country,ARE,Year,2019,False,,,,,,,,,,,,,62.83,,,,,,63,,,EN,2023-04-30T22:00:00.000Z
