,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
0,Papua New Guinea,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,PNG,Year,2019,False,,,,,,,,,,,,,35,,,,,,35,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,PNG,Year,2019,False,,,,,,,,,,,,,43.97,,,,,,44,,,EN,2023-04-30T22:00:00.000Z
13,Lao People's Democratic Republic,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,LAO,Year,2019,False,,,,,,,,,,,,,66,,,,,,66,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,LAO,Year,2019,False,,,,,,,,,,,,,62.62,,,,,,63,,,EN,2023-04-30T22:00:00.000Z
17,Samoa,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,WSM,Year,2019,False,,,,,,,,,,,,,68,,,,,,68,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,WSM,Year,2019,False,,,,,,,,,,,,,75.95,,,,,,76,,,EN,2023-04-30T22:00:00.000Z
31,Micronesia (Federated States of),WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,FSM,Year,2019,False,,,,,,,,,,,,,78,,,,,,78,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,FSM,Year,2019,False,,,,,,,,,,,,,72.19,,,,,,72,,,EN,2023-04-30T22:00:00.000Z
34,Marshall Islands,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,MHL,Year,2019,False,,,,,,,,,,,,,79,,,,,,79,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,MHL,Year,2019,False,,,,,,,,,,,,,75.06,,,,,,75,,,EN,2023-04-30T22:00:00.000Z
45,Philippines,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,PHL,Year,2019,False,,,,,,,,,,,,,84,,,,,,84,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,PHL,Year,2019,False,,,,,,,,,,,,,60.66,,,,,,61,,,EN,2023-04-30T22:00:00.000Z
57,Cambodia,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,KHM,Year,2019,False,,,,,,,,,,,,,88,,,,,,88,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,KHM,Year,2019,False,,,,,,,,,,,,,69.7,,,,,,70,,,EN,2023-04-30T22:00:00.000Z
69,Viet Nam,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,VNM,Year,2019,False,,,,,,,,,,,,,89,,,,,,89,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,VNM,Year,2019,False,,,,,,,,,,,,,70.41,,,,,,70,,,EN,2023-04-30T22:00:00.000Z
73,Vanuatu,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,VUT,Year,2019,False,,,,,,,,,,,,,90,,,,,,90,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,VUT,Year,2019,False,,,,,,,,,,,,,49.88,,,,,,50,,,EN,2023-04-30T22:00:00.000Z
88,New Zealand,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,NZL,Year,2019,False,,,,,,,,,,,,,92,,,,,,92,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,NZL,Year,2019,False,,,,,,,,,,,,,88.25,,,,,,88,,,EN,2023-04-30T22:00:00.000Z
91,Tuvalu,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,TUV,Year,2019,False,,,,,,,,,,,,,92,,,,,,92,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,TUV,Year,2019,False,,,,,,,,,,,,,73.91,,,,,,74,,,EN,2023-04-30T22:00:00.000Z
107,Solomon Islands,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,SLB,Year,2019,False,,,,,,,,,,,,,94,,,,,,94,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,SLB,Year,2019,False,,,,,,,,,,,,,52.35,,,,,,52,,,EN,2023-04-30T22:00:00.000Z
110,Australia,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,AUS,Year,2019,False,,,,,,,,,,,,,95,,,,,,95,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,WPR,Western Pacific,Country,AUS,Year,2019,False,,,,,,,,,,,,,89.72,,,,,,90,,,EN,2023-04-30T22:00:00.000Z
