,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
2,Algeria,2004,Both sexes,,9.8,,Africa,2004,Both sexes,,0.5,,Africa
4,Angola,2004,Both sexes,,48.2,,Africa,2004,Both sexes,,1.3,,Africa
5,Antigua and Barbuda,2004,Both sexes,,7.5,,Americas,2004,Both sexes,,5.5,,Americas
6,Argentina,2004,Both sexes,,6.8,,Americas,2004,Both sexes,,1.7000000000000002,,Americas
11,Bahamas,2004,Both sexes,,22.4,,Americas,2004,Both sexes,,4.9,,Americas
14,Barbados,2004,Both sexes,,14.5,,Americas,2004,Both sexes,,0.7000000000000001,,Americas
17,Belize,2004,Both sexes,,28.0,,Americas,2004,Both sexes,,2.0,,Americas
18,Benin,2004,Both sexes,,15.8,,Africa,2004,Both sexes,,0.8,,Africa
20,Bolivia (Plurinational State of),2004,Both sexes,,4.4,,Americas,2004,Both sexes,,1.5,,Americas
22,Botswana,2004,Both sexes,,24.2,,Africa,2004,Both sexes,,0.6000000000000001,,Africa
23,Brazil,2004,Both sexes,,29.9,,Americas,2004,Both sexes,,4.8,,Americas
25,Burkina Faso,2004,Both sexes,,22.5,,Africa,2004,Both sexes,,0.9,,Africa
26,Burundi,2004,Both sexes,,44.8,,Africa,2004,Both sexes,,0.9,,Africa
28,Cameroon,2004,Both sexes,,19.0,,Africa,2004,Both sexes,,0.8,,Africa
29,Canada,2004,Both sexes,,1.4,,Americas,2004,Both sexes,,1.6,,Americas
30,Cabo Verde,2004,Both sexes,,12.1,,Africa,2004,Both sexes,,0.5,,Africa
31,Central African Republic,2004,Both sexes,,36.0,,Africa,2004,Both sexes,,0.9,,Africa
32,Chad,2004,Both sexes,,23.8,,Africa,2004,Both sexes,,1.0,,Africa
33,Chile,2004,Both sexes,,5.3,,Americas,2004,Both sexes,,3.0,,Americas
35,Colombia,2004,Both sexes,,81.7,,Americas,2004,Both sexes,,0.0,,Americas
36,Comoros,2004,Both sexes,,11.3,,Africa,2004,Both sexes,,0.6000000000000001,,Africa
37,Congo,2004,Both sexes,,23.5,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
39,Costa Rica,2004,Both sexes,,6.7,,Americas,2004,Both sexes,,1.3,,Americas
41,Cuba,2004,Both sexes,,5.6,,Americas,2004,Both sexes,,2.1,,Americas
45,Democratic Republic of the Congo,2004,Both sexes,,45.1,,Africa,2004,Both sexes,,0.9,,Africa
48,Dominica,2004,Both sexes,,9.8,,Americas,2004,Both sexes,,1.9,,Americas
49,Dominican Republic,2004,Both sexes,,18.6,,Americas,2004,Both sexes,,1.8,,Americas
50,Ecuador,2004,Both sexes,,25.1,,Americas,2004,Both sexes,,3.7,,Americas
52,El Salvador,2004,Both sexes,,41.2,,Americas,2004,Both sexes,,22.8,,Americas
53,Equatorial Guinea,2004,Both sexes,,28.3,,Africa,2004,Both sexes,,1.0,,Africa
54,Eritrea,2004,Both sexes,,20.3,,Africa,2004,Both sexes,,0.6000000000000001,,Africa
56,Ethiopia,2004,Both sexes,,25.7,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
60,Gabon,2004,Both sexes,,18.7,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
61,Gambia,2004,Both sexes,,16.1,,Africa,2004,Both sexes,,0.8,,Africa
64,Ghana,2004,Both sexes,,14.1,,Africa,2004,Both sexes,,1.8,,Africa
66,Grenada,2004,Both sexes,,4.7,,Americas,2004,Both sexes,,3.7,,Americas
67,Guatemala,2004,Both sexes,,51.3,,Americas,2004,Both sexes,,14.7,,Americas
68,Guinea,2004,Both sexes,,20.5,,Africa,2004,Both sexes,,0.9,,Africa
69,Guinea-Bissau,2004,Both sexes,,21.2,,Africa,2004,Both sexes,,0.9,,Africa
70,Guyana,2004,Both sexes,,23.8,,Americas,2004,Both sexes,,1.1,,Americas
71,Haiti,2004,Both sexes,,6.8,,Americas,2004,Both sexes,,9.2,,Americas
72,Honduras,2004,Both sexes,,26.4,,Americas,2004,Both sexes,,13.7,,Americas
82,Jamaica,2004,Both sexes,,37.7,,Americas,2004,Both sexes,,0.1,,Americas
86,Kenya,2004,Both sexes,,26.3,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
92,Lesotho,2004,Both sexes,,16.2,,Africa,2004,Both sexes,,0.5,,Africa
93,Liberia,2004,Both sexes,,21.5,,Africa,2004,Both sexes,,0.9,,Africa
97,Madagascar,2004,Both sexes,,14.6,,Africa,2004,Both sexes,,0.8,,Africa
98,Malawi,2004,Both sexes,,25.1,,Africa,2004,Both sexes,,0.8,,Africa
101,Mali,2004,Both sexes,,23.5,,Africa,2004,Both sexes,,0.9,,Africa
104,Mauritania,2004,Both sexes,,17.6,,Africa,2004,Both sexes,,0.8,,Africa
105,Mauritius,2004,Both sexes,,2.6,,Africa,2004,Both sexes,,4.1,,Africa
106,Mexico,2004,Both sexes,,9.9,,Americas,2004,Both sexes,,1.1,,Americas
111,Mozambique,2004,Both sexes,,25.6,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
113,Namibia,2004,Both sexes,,15.8,,Africa,2004,Both sexes,,0.5,,Africa
118,Nicaragua,2004,Both sexes,,17.6,,Americas,2004,Both sexes,,10.5,,Americas
119,Niger,2004,Both sexes,,26.9,,Africa,2004,Both sexes,,1.1,,Africa
120,Nigeria,2004,Both sexes,,21.4,,Africa,2004,Both sexes,,0.9,,Africa
126,Panama,2004,Both sexes,,12.3,,Americas,2004,Both sexes,,0.3,,Americas
128,Paraguay,2004,Both sexes,,19.1,,Americas,2004,Both sexes,,3.2,,Americas
129,Peru,2004,Both sexes,,3.4,,Americas,2004,Both sexes,,1.0,,Americas
137,Rwanda,2004,Both sexes,,34.4,,Africa,2004,Both sexes,,0.9,,Africa
138,Saint Kitts and Nevis,2004,Both sexes,,11.3,,Americas,2004,Both sexes,,4.4,,Americas
139,Saint Lucia,2004,Both sexes,,22.4,,Americas,2004,Both sexes,,1.9,,Americas
140,Saint Vincent and the Grenadines,2004,Both sexes,,16.6,,Americas,2004,Both sexes,,4.1,,Americas
142,Sao Tome and Principe,2004,Both sexes,,6.3,,Africa,2004,Both sexes,,1.8,,Africa
144,Senegal,2004,Both sexes,,17.2,,Africa,2004,Both sexes,,0.8,,Africa
145,Seychelles,2004,Both sexes,,3.2,,Africa,2004,Both sexes,,4.5,,Africa
146,Sierra Leone,2004,Both sexes,,39.8,,Africa,2004,Both sexes,,1.2,,Africa
151,South Africa,2004,Both sexes,,70.8,,Africa,2004,Both sexes,,0.9,,Africa
155,Suriname,2004,Both sexes,,12.9,,Americas,2004,Both sexes,,0.7000000000000001,,Americas
156,Eswatini,2004,Both sexes,,25.8,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
164,Togo,2004,Both sexes,,16.7,,Africa,2004,Both sexes,,0.8,,Africa
166,Trinidad and Tobago,2004,Both sexes,,12.9,,Americas,2004,Both sexes,,0.8,,Americas
170,Uganda,2004,Both sexes,,33.1,,Africa,2004,Both sexes,,0.8,,Africa
174,United Republic of Tanzania,2004,Both sexes,,33.3,,Africa,2004,Both sexes,,0.8,,Africa
175,United States of America,2004,Both sexes,,6.2,,Americas,2004,Both sexes,,2.1,,Americas
176,Uruguay,2004,Both sexes,,4.9,,Americas,2004,Both sexes,,1.2,,Americas
179,Venezuela (Bolivarian Republic of),2004,Both sexes,,38.2,,Americas,2004,Both sexes,,0.6000000000000001,,Americas
182,Zambia,2004,Both sexes,,30.5,,Africa,2004,Both sexes,,0.8,,Africa
183,Zimbabwe,2004,Both sexes,,37.7,,Africa,2004,Both sexes,,0.8,,Africa
184,Côte d'Ivoire,2004,Both sexes,,62.4,,Africa,2004,Both sexes,,1.1,,Africa
