,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
1,Albania,2004,Both sexes,,6.7,,Europe,2004,Both sexes,,0.1,,Europe
2,Algeria,2004,Both sexes,,9.8,,Africa,2004,Both sexes,,0.5,,Africa
3,Andorra,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,0.4,,Europe
4,Angola,2004,Both sexes,,48.2,,Africa,2004,Both sexes,,1.3,,Africa
7,Armenia,2004,Both sexes,,3.2,,Europe,2004,Both sexes,,1.3,,Europe
9,Austria,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,3.2,,Europe
10,Azerbaijan,2004,Both sexes,,2.9,,Europe,2004,Both sexes,,1.7000000000000002,,Europe
15,Belarus,2004,Both sexes,,8.9,,Europe,2004,Both sexes,,3.1,,Europe
16,Belgium,2004,Both sexes,,1.6,,Europe,2004,Both sexes,,1.7000000000000002,,Europe
18,Benin,2004,Both sexes,,15.8,,Africa,2004,Both sexes,,0.8,,Africa
21,Bosnia and Herzegovina,2004,Both sexes,,1.8,,Europe,2004,Both sexes,,0.2,,Europe
22,Botswana,2004,Both sexes,,24.2,,Africa,2004,Both sexes,,0.6000000000000001,,Africa
24,Bulgaria,2004,Both sexes,,2.7,,Europe,2004,Both sexes,,0.8,,Europe
25,Burkina Faso,2004,Both sexes,,22.5,,Africa,2004,Both sexes,,0.9,,Africa
26,Burundi,2004,Both sexes,,44.8,,Africa,2004,Both sexes,,0.9,,Africa
28,Cameroon,2004,Both sexes,,19.0,,Africa,2004,Both sexes,,0.8,,Africa
30,Cabo Verde,2004,Both sexes,,12.1,,Africa,2004,Both sexes,,0.5,,Africa
31,Central African Republic,2004,Both sexes,,36.0,,Africa,2004,Both sexes,,0.9,,Africa
32,Chad,2004,Both sexes,,23.8,,Africa,2004,Both sexes,,1.0,,Africa
36,Comoros,2004,Both sexes,,11.3,,Africa,2004,Both sexes,,0.6000000000000001,,Africa
37,Congo,2004,Both sexes,,23.5,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
40,Croatia,2004,Both sexes,,1.6,,Europe,2004,Both sexes,,2.9,,Europe
42,Cyprus,2004,Both sexes,,0.2,,Europe,2004,Both sexes,,0.0,,Europe
43,Czechia,2004,Both sexes,,1.2,,Europe,2004,Both sexes,,1.3,,Europe
45,Democratic Republic of the Congo,2004,Both sexes,,45.1,,Africa,2004,Both sexes,,0.9,,Africa
46,Denmark,2004,Both sexes,,0.9,,Europe,2004,Both sexes,,6.9,,Europe
53,Equatorial Guinea,2004,Both sexes,,28.3,,Africa,2004,Both sexes,,1.0,,Africa
54,Eritrea,2004,Both sexes,,20.3,,Africa,2004,Both sexes,,0.6000000000000001,,Africa
55,Estonia,2004,Both sexes,,7.7,,Europe,2004,Both sexes,,8.8,,Europe
56,Ethiopia,2004,Both sexes,,25.7,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
