,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
2,Algeria,2004,Both sexes,,9.8,,Africa,2004,Both sexes,,0.5,,Africa
4,Angola,2004,Both sexes,,48.2,,Africa,2004,Both sexes,,1.3,,Africa
8,Australia,2004,Both sexes,,1.3,,Western Pacific,2004,Both sexes,,1.0,,Western Pacific
18,Benin,2004,Both sexes,,15.8,,Africa,2004,Both sexes,,0.8,,Africa
22,Botswana,2004,Both sexes,,24.2,,Africa,2004,Both sexes,,0.6000000000000001,,Africa
25,Burkina Faso,2004,Both sexes,,22.5,,Africa,2004,Both sexes,,0.9,,Africa
26,Burundi,2004,Both sexes,,44.8,,Africa,2004,Both sexes,,0.9,,Africa
27,Cambodia,2004,Both sexes,,21.6,,Western Pacific,2004,Both sexes,,1.2,,Western Pacific
28,Cameroon,2004,Both sexes,,19.0,,Africa,2004,Both sexes,,0.8,,Africa
30,Cabo Verde,2004,Both sexes,,12.1,,Africa,2004,Both sexes,,0.5,,Africa
31,Central African Republic,2004,Both sexes,,36.0,,Africa,2004,Both sexes,,0.9,,Africa
32,Chad,2004,Both sexes,,23.8,,Africa,2004,Both sexes,,1.0,,Africa
34,China,2004,Both sexes,,2.1,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
36,Comoros,2004,Both sexes,,11.3,,Africa,2004,Both sexes,,0.6000000000000001,,Africa
37,Congo,2004,Both sexes,,23.5,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
38,Cook Islands,2004,Both sexes,,0.8,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
45,Democratic Republic of the Congo,2004,Both sexes,,45.1,,Africa,2004,Both sexes,,0.9,,Africa
53,Equatorial Guinea,2004,Both sexes,,28.3,,Africa,2004,Both sexes,,1.0,,Africa
54,Eritrea,2004,Both sexes,,20.3,,Africa,2004,Both sexes,,0.6000000000000001,,Africa
56,Ethiopia,2004,Both sexes,,25.7,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
57,Fiji,2004,Both sexes,,0.7000000000000001,,Western Pacific,2004,Both sexes,,0.2,,Western Pacific
60,Gabon,2004,Both sexes,,18.7,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
61,Gambia,2004,Both sexes,,16.1,,Africa,2004,Both sexes,,0.8,,Africa
64,Ghana,2004,Both sexes,,14.1,,Africa,2004,Both sexes,,1.8,,Africa
68,Guinea,2004,Both sexes,,20.5,,Africa,2004,Both sexes,,0.9,,Africa
69,Guinea-Bissau,2004,Both sexes,,21.2,,Africa,2004,Both sexes,,0.9,,Africa
83,Japan,2004,Both sexes,,0.5,,Western Pacific,2004,Both sexes,,0.3,,Western Pacific
86,Kenya,2004,Both sexes,,26.3,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
89,Lao People's Democratic Republic,2004,Both sexes,,7.1,,Western Pacific,2004,Both sexes,,1.2,,Western Pacific
92,Lesotho,2004,Both sexes,,16.2,,Africa,2004,Both sexes,,0.5,,Africa
93,Liberia,2004,Both sexes,,21.5,,Africa,2004,Both sexes,,0.9,,Africa
97,Madagascar,2004,Both sexes,,14.6,,Africa,2004,Both sexes,,0.8,,Africa
98,Malawi,2004,Both sexes,,25.1,,Africa,2004,Both sexes,,0.8,,Africa
99,Malaysia,2004,Both sexes,,10.2,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
101,Mali,2004,Both sexes,,23.5,,Africa,2004,Both sexes,,0.9,,Africa
103,Marshall Islands,2004,Both sexes,,1.7000000000000002,,Western Pacific,2004,Both sexes,,0.2,,Western Pacific
104,Mauritania,2004,Both sexes,,17.6,,Africa,2004,Both sexes,,0.8,,Africa
105,Mauritius,2004,Both sexes,,2.6,,Africa,2004,Both sexes,,4.1,,Africa
107,Micronesia (Federated States of),2004,Both sexes,,0.8,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
109,Mongolia,2004,Both sexes,,3.3,,Western Pacific,2004,Both sexes,,0.8,,Western Pacific
111,Mozambique,2004,Both sexes,,25.6,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
113,Namibia,2004,Both sexes,,15.8,,Africa,2004,Both sexes,,0.5,,Africa
114,Nauru,2004,Both sexes,,12.6,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
117,New Zealand,2004,Both sexes,,1.4,,Western Pacific,2004,Both sexes,,0.4,,Western Pacific
119,Niger,2004,Both sexes,,26.9,,Africa,2004,Both sexes,,1.1,,Africa
120,Nigeria,2004,Both sexes,,21.4,,Africa,2004,Both sexes,,0.9,,Africa
121,Niue,2004,Both sexes,,1.0,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
125,Palau,2004,Both sexes,,0.8,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
127,Papua New Guinea,2004,Both sexes,,19.1,,Western Pacific,2004,Both sexes,,1.1,,Western Pacific
130,Philippines,2004,Both sexes,,24.7,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
133,Republic of Korea,2004,Both sexes,,2.0,,Western Pacific,2004,Both sexes,,2.2,,Western Pacific
137,Rwanda,2004,Both sexes,,34.4,,Africa,2004,Both sexes,,0.9,,Africa
141,Samoa,2004,Both sexes,,1.0,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
142,Sao Tome and Principe,2004,Both sexes,,6.3,,Africa,2004,Both sexes,,1.8,,Africa
144,Senegal,2004,Both sexes,,17.2,,Africa,2004,Both sexes,,0.8,,Africa
145,Seychelles,2004,Both sexes,,3.2,,Africa,2004,Both sexes,,4.5,,Africa
146,Sierra Leone,2004,Both sexes,,39.8,,Africa,2004,Both sexes,,1.2,,Africa
149,Solomon Islands,2004,Both sexes,,1.2,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
151,South Africa,2004,Both sexes,,70.8,,Africa,2004,Both sexes,,0.9,,Africa
156,Eswatini,2004,Both sexes,,25.8,,Africa,2004,Both sexes,,0.7000000000000001,,Africa
164,Togo,2004,Both sexes,,16.7,,Africa,2004,Both sexes,,0.8,,Africa
165,Tonga,2004,Both sexes,,0.6000000000000001,,Western Pacific,2004,Both sexes,,0.0,,Western Pacific
169,Tuvalu,2004,Both sexes,,1.9,,Western Pacific,2004,Both sexes,,0.2,,Western Pacific
170,Uganda,2004,Both sexes,,33.1,,Africa,2004,Both sexes,,0.8,,Africa
174,United Republic of Tanzania,2004,Both sexes,,33.3,,Africa,2004,Both sexes,,0.8,,Africa
178,Vanuatu,2004,Both sexes,,1.0,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
180,Viet Nam,2004,Both sexes,,4.3,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
182,Zambia,2004,Both sexes,,30.5,,Africa,2004,Both sexes,,0.8,,Africa
183,Zimbabwe,2004,Both sexes,,37.7,,Africa,2004,Both sexes,,0.8,,Africa
184,Côte d'Ivoire,2004,Both sexes,,62.4,,Africa,2004,Both sexes,,1.1,,Africa
