,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
1,Albania,2004,Both sexes,,6.7,,Europe,2004,Both sexes,,0.1,,Europe
3,Andorra,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,0.4,,Europe
5,Antigua and Barbuda,2004,Both sexes,,7.5,,Americas,2004,Both sexes,,5.5,,Americas
6,Argentina,2004,Both sexes,,6.8,,Americas,2004,Both sexes,,1.7000000000000002,,Americas
7,Armenia,2004,Both sexes,,3.2,,Europe,2004,Both sexes,,1.3,,Europe
9,Austria,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,3.2,,Europe
10,Azerbaijan,2004,Both sexes,,2.9,,Europe,2004,Both sexes,,1.7000000000000002,,Europe
11,Bahamas,2004,Both sexes,,22.4,,Americas,2004,Both sexes,,4.9,,Americas
14,Barbados,2004,Both sexes,,14.5,,Americas,2004,Both sexes,,0.7000000000000001,,Americas
15,Belarus,2004,Both sexes,,8.9,,Europe,2004,Both sexes,,3.1,,Europe
16,Belgium,2004,Both sexes,,1.6,,Europe,2004,Both sexes,,1.7000000000000002,,Europe
17,Belize,2004,Both sexes,,28.0,,Americas,2004,Both sexes,,2.0,,Americas
20,Bolivia (Plurinational State of),2004,Both sexes,,4.4,,Americas,2004,Both sexes,,1.5,,Americas
21,Bosnia and Herzegovina,2004,Both sexes,,1.8,,Europe,2004,Both sexes,,0.2,,Europe
23,Brazil,2004,Both sexes,,29.9,,Americas,2004,Both sexes,,4.8,,Americas
24,Bulgaria,2004,Both sexes,,2.7,,Europe,2004,Both sexes,,0.8,,Europe
29,Canada,2004,Both sexes,,1.4,,Americas,2004,Both sexes,,1.6,,Americas
33,Chile,2004,Both sexes,,5.3,,Americas,2004,Both sexes,,3.0,,Americas
35,Colombia,2004,Both sexes,,81.7,,Americas,2004,Both sexes,,0.0,,Americas
39,Costa Rica,2004,Both sexes,,6.7,,Americas,2004,Both sexes,,1.3,,Americas
40,Croatia,2004,Both sexes,,1.6,,Europe,2004,Both sexes,,2.9,,Europe
41,Cuba,2004,Both sexes,,5.6,,Americas,2004,Both sexes,,2.1,,Americas
42,Cyprus,2004,Both sexes,,0.2,,Europe,2004,Both sexes,,0.0,,Europe
43,Czechia,2004,Both sexes,,1.2,,Europe,2004,Both sexes,,1.3,,Europe
46,Denmark,2004,Both sexes,,0.9,,Europe,2004,Both sexes,,6.9,,Europe
