,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
5,Antigua and Barbuda,2004,Both sexes,,7.5,,Americas,2004,Both sexes,,5.5,,Americas
6,Argentina,2004,Both sexes,,6.8,,Americas,2004,Both sexes,,1.7000000000000002,,Americas
11,Bahamas,2004,Both sexes,,22.4,,Americas,2004,Both sexes,,4.9,,Americas
14,Barbados,2004,Both sexes,,14.5,,Americas,2004,Both sexes,,0.7000000000000001,,Americas
17,Belize,2004,Both sexes,,28.0,,Americas,2004,Both sexes,,2.0,,Americas
20,Bolivia (Plurinational State of),2004,Both sexes,,4.4,,Americas,2004,Both sexes,,1.5,,Americas
23,Brazil,2004,Both sexes,,29.9,,Americas,2004,Both sexes,,4.8,,Americas
29,Canada,2004,Both sexes,,1.4,,Americas,2004,Both sexes,,1.6,,Americas
33,Chile,2004,Both sexes,,5.3,,Americas,2004,Both sexes,,3.0,,Americas
35,Colombia,2004,Both sexes,,81.7,,Americas,2004,Both sexes,,0.0,,Americas
39,Costa Rica,2004,Both sexes,,6.7,,Americas,2004,Both sexes,,1.3,,Americas
41,Cuba,2004,Both sexes,,5.6,,Americas,2004,Both sexes,,2.1,,Americas
48,Dominica,2004,Both sexes,,9.8,,Americas,2004,Both sexes,,1.9,,Americas
49,Dominican Republic,2004,Both sexes,,18.6,,Americas,2004,Both sexes,,1.8,,Americas
50,Ecuador,2004,Both sexes,,25.1,,Americas,2004,Both sexes,,3.7,,Americas
52,El Salvador,2004,Both sexes,,41.2,,Americas,2004,Both sexes,,22.8,,Americas
66,Grenada,2004,Both sexes,,4.7,,Americas,2004,Both sexes,,3.7,,Americas
67,Guatemala,2004,Both sexes,,51.3,,Americas,2004,Both sexes,,14.7,,Americas
70,Guyana,2004,Both sexes,,23.8,,Americas,2004,Both sexes,,1.1,,Americas
71,Haiti,2004,Both sexes,,6.8,,Americas,2004,Both sexes,,9.2,,Americas
72,Honduras,2004,Both sexes,,26.4,,Americas,2004,Both sexes,,13.7,,Americas
82,Jamaica,2004,Both sexes,,37.7,,Americas,2004,Both sexes,,0.1,,Americas
106,Mexico,2004,Both sexes,,9.9,,Americas,2004,Both sexes,,1.1,,Americas
118,Nicaragua,2004,Both sexes,,17.6,,Americas,2004,Both sexes,,10.5,,Americas
126,Panama,2004,Both sexes,,12.3,,Americas,2004,Both sexes,,0.3,,Americas
128,Paraguay,2004,Both sexes,,19.1,,Americas,2004,Both sexes,,3.2,,Americas
129,Peru,2004,Both sexes,,3.4,,Americas,2004,Both sexes,,1.0,,Americas
138,Saint Kitts and Nevis,2004,Both sexes,,11.3,,Americas,2004,Both sexes,,4.4,,Americas
139,Saint Lucia,2004,Both sexes,,22.4,,Americas,2004,Both sexes,,1.9,,Americas
140,Saint Vincent and the Grenadines,2004,Both sexes,,16.6,,Americas,2004,Both sexes,,4.1,,Americas
155,Suriname,2004,Both sexes,,12.9,,Americas,2004,Both sexes,,0.7000000000000001,,Americas
166,Trinidad and Tobago,2004,Both sexes,,12.9,,Americas,2004,Both sexes,,0.8,,Americas
175,United States of America,2004,Both sexes,,6.2,,Americas,2004,Both sexes,,2.1,,Americas
176,Uruguay,2004,Both sexes,,4.9,,Americas,2004,Both sexes,,1.2,,Americas
179,Venezuela (Bolivarian Republic of),2004,Both sexes,,38.2,,Americas,2004,Both sexes,,0.6000000000000001,,Americas
