,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
0,Afghanistan,2004,Both sexes,,3.8,,Eastern Mediterranean,2004,Both sexes,,0.7000000000000001,,Eastern Mediterranean
1,Albania,2004,Both sexes,,6.7,,Europe,2004,Both sexes,,0.1,,Europe
3,Andorra,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,0.4,,Europe
7,Armenia,2004,Both sexes,,3.2,,Europe,2004,Both sexes,,1.3,,Europe
9,Austria,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,3.2,,Europe
10,Azerbaijan,2004,Both sexes,,2.9,,Europe,2004,Both sexes,,1.7000000000000002,,Europe
12,Bahrain,2004,Both sexes,,1.1,,Eastern Mediterranean,2004,Both sexes,,0.5,,Eastern Mediterranean
15,Belarus,2004,Both sexes,,8.9,,Europe,2004,Both sexes,,3.1,,Europe
16,Belgium,2004,Both sexes,,1.6,,Europe,2004,Both sexes,,1.7000000000000002,,Europe
21,Bosnia and Herzegovina,2004,Both sexes,,1.8,,Europe,2004,Both sexes,,0.2,,Europe
24,Bulgaria,2004,Both sexes,,2.7,,Europe,2004,Both sexes,,0.8,,Europe
40,Croatia,2004,Both sexes,,1.6,,Europe,2004,Both sexes,,2.9,,Europe
42,Cyprus,2004,Both sexes,,0.2,,Europe,2004,Both sexes,,0.0,,Europe
43,Czechia,2004,Both sexes,,1.2,,Europe,2004,Both sexes,,1.3,,Europe
46,Denmark,2004,Both sexes,,0.9,,Europe,2004,Both sexes,,6.9,,Europe
47,Djibouti,2004,Both sexes,,3.8,,Eastern Mediterranean,2004,Both sexes,,0.1,,Eastern Mediterranean
51,Egypt,2004,Both sexes,,1.5,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
55,Estonia,2004,Both sexes,,7.7,,Europe,2004,Both sexes,,8.8,,Europe
58,Finland,2004,Both sexes,,2.4,,Europe,2004,Both sexes,,3.5,,Europe
59,France,2004,Both sexes,,0.8,,Europe,2004,Both sexes,,4.2,,Europe
62,Georgia,2004,Both sexes,,3.4,,Europe,2004,Both sexes,,0.2,,Europe
63,Germany,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,4.3,,Europe
65,Greece,2004,Both sexes,,0.8,,Europe,2004,Both sexes,,0.1,,Europe
73,Hungary,2004,Both sexes,,1.9,,Europe,2004,Both sexes,,3.3,,Europe
74,Iceland,2004,Both sexes,,1.0,,Europe,2004,Both sexes,,0.9,,Europe
77,Iran (Islamic Republic of),2004,Both sexes,,2.8,,Eastern Mediterranean,2004,Both sexes,,1.2,,Eastern Mediterranean
78,Iraq,2004,Both sexes,,8.5,,Eastern Mediterranean,2004,Both sexes,,0.3,,Eastern Mediterranean
79,Ireland,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,1.6,,Europe
80,Israel,2004,Both sexes,,4.9,,Europe,2004,Both sexes,,0.8,,Europe
81,Italy,2004,Both sexes,,0.9,,Europe,2004,Both sexes,,0.2,,Europe
84,Jordan,2004,Both sexes,,7.4,,Eastern Mediterranean,2004,Both sexes,,0.7000000000000001,,Eastern Mediterranean
85,Kazakhstan,2004,Both sexes,,16.2,,Europe,2004,Both sexes,,3.1,,Europe
87,Kuwait,2004,Both sexes,,1.2,,Eastern Mediterranean,2004,Both sexes,,0.1,,Eastern Mediterranean
88,Kyrgyzstan,2004,Both sexes,,9.8,,Europe,2004,Both sexes,,1.7000000000000002,,Europe
90,Latvia,2004,Both sexes,,9.2,,Europe,2004,Both sexes,,1.9,,Europe
91,Lebanon,2004,Both sexes,,2.7,,Eastern Mediterranean,2004,Both sexes,,2.0,,Eastern Mediterranean
94,Libya,2004,Both sexes,,3.2,,Eastern Mediterranean,2004,Both sexes,,0.0,,Eastern Mediterranean
95,Lithuania,2004,Both sexes,,8.2,,Europe,2004,Both sexes,,0.7000000000000001,,Europe
96,Luxembourg,2004,Both sexes,,1.2,,Europe,2004,Both sexes,,3.7,,Europe
102,Malta,2004,Both sexes,,0.8,,Europe,2004,Both sexes,,0.2,,Europe
108,Monaco,2004,Both sexes,,0.9,,Europe,2004,Both sexes,,2.0,,Europe
110,Morocco,2004,Both sexes,,1.2,,Eastern Mediterranean,2004,Both sexes,,0.8,,Eastern Mediterranean
116,Netherlands,2004,Both sexes,,1.2,,Europe,2004,Both sexes,,0.9,,Europe
122,Norway,2004,Both sexes,,0.8,,Europe,2004,Both sexes,,2.9,,Europe
123,Oman,2004,Both sexes,,2.0,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
124,Pakistan,2004,Both sexes,,5.1,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
131,Poland,2004,Both sexes,,1.4,,Europe,2004,Both sexes,,3.7,,Europe
132,Portugal,2004,Both sexes,,1.6,,Europe,2004,Both sexes,,0.9,,Europe
134,Republic of Moldova,2004,Both sexes,,7.8,,Europe,2004,Both sexes,,2.8,,Europe
135,Romania,2004,Both sexes,,2.9,,Europe,2004,Both sexes,,2.9,,Europe
136,Russian Federation,2004,Both sexes,,26.7,,Europe,2004,Both sexes,,3.5,,Europe
143,Saudi Arabia,2004,Both sexes,,3.1,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
147,Slovakia,2004,Both sexes,,1.8,,Europe,2004,Both sexes,,0.0,,Europe
148,Slovenia,2004,Both sexes,,1.9,,Europe,2004,Both sexes,,4.1,,Europe
150,Somalia,2004,Both sexes,,1.9,,Eastern Mediterranean,2004,Both sexes,,2.1,,Eastern Mediterranean
152,Spain,2004,Both sexes,,1.3,,Europe,2004,Both sexes,,0.6000000000000001,,Europe
154,Sudan,2004,Both sexes,,31.0,,Eastern Mediterranean,2004,Both sexes,,1.3,,Eastern Mediterranean
157,Sweden,2004,Both sexes,,1.3,,Europe,2004,Both sexes,,2.8,,Europe
158,Switzerland,2004,Both sexes,,0.9,,Europe,2004,Both sexes,,2.3,,Europe
159,Syrian Arab Republic,2004,Both sexes,,3.0,,Eastern Mediterranean,2004,Both sexes,,0.6000000000000001,,Eastern Mediterranean
160,Tajikistan,2004,Both sexes,,3.3,,Europe,2004,Both sexes,,0.5,,Europe
162,North Macedonia,2004,Both sexes,,5.1,,Europe,2004,Both sexes,,1.8,,Europe
167,Tunisia,2004,Both sexes,,1.7000000000000002,,Eastern Mediterranean,2004,Both sexes,,1.6,,Eastern Mediterranean
168,Turkmenistan,2004,Both sexes,,9.9,,Europe,2004,Both sexes,,5.9,,Europe
171,Ukraine,2004,Both sexes,,10.6,,Europe,2004,Both sexes,,3.6,,Europe
172,United Arab Emirates,2004,Both sexes,,0.5,,Eastern Mediterranean,2004,Both sexes,,1.1,,Eastern Mediterranean
173,United Kingdom of Great Britain and Northern Ireland,2004,Both sexes,,2.0,,Europe,2004,Both sexes,,1.4,,Europe
177,Uzbekistan,2004,Both sexes,,4.0,,Europe,2004,Both sexes,,0.3,,Europe
181,Yemen,2004,Both sexes,,3.2,,Eastern Mediterranean,2004,Both sexes,,0.5,,Eastern Mediterranean
