,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
0,Afghanistan,2004,Both sexes,,3.8,,Eastern Mediterranean,2004,Both sexes,,0.7000000000000001,,Eastern Mediterranean
8,Australia,2004,Both sexes,,1.3,,Western Pacific,2004,Both sexes,,1.0,,Western Pacific
12,Bahrain,2004,Both sexes,,1.1,,Eastern Mediterranean,2004,Both sexes,,0.5,,Eastern Mediterranean
27,Cambodia,2004,Both sexes,,21.6,,Western Pacific,2004,Both sexes,,1.2,,Western Pacific
34,China,2004,Both sexes,,2.1,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
38,Cook Islands,2004,Both sexes,,0.8,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
47,Djibouti,2004,Both sexes,,3.8,,Eastern Mediterranean,2004,Both sexes,,0.1,,Eastern Mediterranean
51,Egypt,2004,Both sexes,,1.5,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
57,Fiji,2004,Both sexes,,0.7000000000000001,,Western Pacific,2004,Both sexes,,0.2,,Western Pacific
77,Iran (Islamic Republic of),2004,Both sexes,,2.8,,Eastern Mediterranean,2004,Both sexes,,1.2,,Eastern Mediterranean
78,Iraq,2004,Both sexes,,8.5,,Eastern Mediterranean,2004,Both sexes,,0.3,,Eastern Mediterranean
83,Japan,2004,Both sexes,,0.5,,Western Pacific,2004,Both sexes,,0.3,,Western Pacific
84,Jordan,2004,Both sexes,,7.4,,Eastern Mediterranean,2004,Both sexes,,0.7000000000000001,,Eastern Mediterranean
87,Kuwait,2004,Both sexes,,1.2,,Eastern Mediterranean,2004,Both sexes,,0.1,,Eastern Mediterranean
89,Lao People's Democratic Republic,2004,Both sexes,,7.1,,Western Pacific,2004,Both sexes,,1.2,,Western Pacific
91,Lebanon,2004,Both sexes,,2.7,,Eastern Mediterranean,2004,Both sexes,,2.0,,Eastern Mediterranean
94,Libya,2004,Both sexes,,3.2,,Eastern Mediterranean,2004,Both sexes,,0.0,,Eastern Mediterranean
99,Malaysia,2004,Both sexes,,10.2,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
103,Marshall Islands,2004,Both sexes,,1.7000000000000002,,Western Pacific,2004,Both sexes,,0.2,,Western Pacific
107,Micronesia (Federated States of),2004,Both sexes,,0.8,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
109,Mongolia,2004,Both sexes,,3.3,,Western Pacific,2004,Both sexes,,0.8,,Western Pacific
110,Morocco,2004,Both sexes,,1.2,,Eastern Mediterranean,2004,Both sexes,,0.8,,Eastern Mediterranean
114,Nauru,2004,Both sexes,,12.6,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
117,New Zealand,2004,Both sexes,,1.4,,Western Pacific,2004,Both sexes,,0.4,,Western Pacific
121,Niue,2004,Both sexes,,1.0,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
123,Oman,2004,Both sexes,,2.0,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
124,Pakistan,2004,Both sexes,,5.1,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
125,Palau,2004,Both sexes,,0.8,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
127,Papua New Guinea,2004,Both sexes,,19.1,,Western Pacific,2004,Both sexes,,1.1,,Western Pacific
130,Philippines,2004,Both sexes,,24.7,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
133,Republic of Korea,2004,Both sexes,,2.0,,Western Pacific,2004,Both sexes,,2.2,,Western Pacific
141,Samoa,2004,Both sexes,,1.0,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
143,Saudi Arabia,2004,Both sexes,,3.1,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
149,Solomon Islands,2004,Both sexes,,1.2,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
150,Somalia,2004,Both sexes,,1.9,,Eastern Mediterranean,2004,Both sexes,,2.1,,Eastern Mediterranean
154,Sudan,2004,Both sexes,,31.0,,Eastern Mediterranean,2004,Both sexes,,1.3,,Eastern Mediterranean
159,Syrian Arab Republic,2004,Both sexes,,3.0,,Eastern Mediterranean,2004,Both sexes,,0.6000000000000001,,Eastern Mediterranean
165,Tonga,2004,Both sexes,,0.6000000000000001,,Western Pacific,2004,Both sexes,,0.0,,Western Pacific
167,Tunisia,2004,Both sexes,,1.7000000000000002,,Eastern Mediterranean,2004,Both sexes,,1.6,,Eastern Mediterranean
169,Tuvalu,2004,Both sexes,,1.9,,Western Pacific,2004,Both sexes,,0.2,,Western Pacific
172,United Arab Emirates,2004,Both sexes,,0.5,,Eastern Mediterranean,2004,Both sexes,,1.1,,Eastern Mediterranean
178,Vanuatu,2004,Both sexes,,1.0,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
180,Viet Nam,2004,Both sexes,,4.3,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
181,Yemen,2004,Both sexes,,3.2,,Eastern Mediterranean,2004,Both sexes,,0.5,,Eastern Mediterranean
