,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
0,Afghanistan,2004,Both sexes,,3.8,,Eastern Mediterranean,2004,Both sexes,,0.7000000000000001,,Eastern Mediterranean
12,Bahrain,2004,Both sexes,,1.1,,Eastern Mediterranean,2004,Both sexes,,0.5,,Eastern Mediterranean
47,Djibouti,2004,Both sexes,,3.8,,Eastern Mediterranean,2004,Both sexes,,0.1,,Eastern Mediterranean
51,Egypt,2004,Both sexes,,1.5,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
77,Iran (Islamic Republic of),2004,Both sexes,,2.8,,Eastern Mediterranean,2004,Both sexes,,1.2,,Eastern Mediterranean
78,Iraq,2004,Both sexes,,8.5,,Eastern Mediterranean,2004,Both sexes,,0.3,,Eastern Mediterranean
84,Jordan,2004,Both sexes,,7.4,,Eastern Mediterranean,2004,Both sexes,,0.7000000000000001,,Eastern Mediterranean
87,Kuwait,2004,Both sexes,,1.2,,Eastern Mediterranean,2004,Both sexes,,0.1,,Eastern Mediterranean
91,Lebanon,2004,Both sexes,,2.7,,Eastern Mediterranean,2004,Both sexes,,2.0,,Eastern Mediterranean
94,Libya,2004,Both sexes,,3.2,,Eastern Mediterranean,2004,Both sexes,,0.0,,Eastern Mediterranean
110,Morocco,2004,Both sexes,,1.2,,Eastern Mediterranean,2004,Both sexes,,0.8,,Eastern Mediterranean
123,Oman,2004,Both sexes,,2.0,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
124,Pakistan,2004,Both sexes,,5.1,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
143,Saudi Arabia,2004,Both sexes,,3.1,,Eastern Mediterranean,2004,Both sexes,,0.4,,Eastern Mediterranean
150,Somalia,2004,Both sexes,,1.9,,Eastern Mediterranean,2004,Both sexes,,2.1,,Eastern Mediterranean
154,Sudan,2004,Both sexes,,31.0,,Eastern Mediterranean,2004,Both sexes,,1.3,,Eastern Mediterranean
159,Syrian Arab Republic,2004,Both sexes,,3.0,,Eastern Mediterranean,2004,Both sexes,,0.6000000000000001,,Eastern Mediterranean
167,Tunisia,2004,Both sexes,,1.7000000000000002,,Eastern Mediterranean,2004,Both sexes,,1.6,,Eastern Mediterranean
172,United Arab Emirates,2004,Both sexes,,0.5,,Eastern Mediterranean,2004,Both sexes,,1.1,,Eastern Mediterranean
181,Yemen,2004,Both sexes,,3.2,,Eastern Mediterranean,2004,Both sexes,,0.5,,Eastern Mediterranean
