,Location,Period,Sex,Data Source,FactValueNumeric,Comments,ParentLocation,Periodr,Sexr,Data Sourcer,FactValueNumericr,Commentsr,ParentLocationr
1,Albania,2004,Both sexes,,6.7,,Europe,2004,Both sexes,,0.1,,Europe
3,Andorra,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,0.4,,Europe
7,Armenia,2004,Both sexes,,3.2,,Europe,2004,Both sexes,,1.3,,Europe
8,Australia,2004,Both sexes,,1.3,,Western Pacific,2004,Both sexes,,1.0,,Western Pacific
9,Austria,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,3.2,,Europe
10,Azerbaijan,2004,Both sexes,,2.9,,Europe,2004,Both sexes,,1.7000000000000002,,Europe
15,Belarus,2004,Both sexes,,8.9,,Europe,2004,Both sexes,,3.1,,Europe
16,Belgium,2004,Both sexes,,1.6,,Europe,2004,Both sexes,,1.7000000000000002,,Europe
21,Bosnia and Herzegovina,2004,Both sexes,,1.8,,Europe,2004,Both sexes,,0.2,,Europe
24,Bulgaria,2004,Both sexes,,2.7,,Europe,2004,Both sexes,,0.8,,Europe
27,Cambodia,2004,Both sexes,,21.6,,Western Pacific,2004,Both sexes,,1.2,,Western Pacific
34,China,2004,Both sexes,,2.1,,Western Pacific,2004,Both sexes,,0.9,,Western Pacific
38,Cook Islands,2004,Both sexes,,0.8,,Western Pacific,2004,Both sexes,,0.1,,Western Pacific
40,Croatia,2004,Both sexes,,1.6,,Europe,2004,Both sexes,,2.9,,Europe
42,Cyprus,2004,Both sexes,,0.2,,Europe,2004,Both sexes,,0.0,,Europe
43,Czechia,2004,Both sexes,,1.2,,Europe,2004,Both sexes,,1.3,,Europe
46,Denmark,2004,Both sexes,,0.9,,Europe,2004,Both sexes,,6.9,,Europe
55,Estonia,2004,Both sexes,,7.7,,Europe,2004,Both sexes,,8.8,,Europe
57,Fiji,2004,Both sexes,,0.7000000000000001,,Western Pacific,2004,Both sexes,,0.2,,Western Pacific
58,Finland,2004,Both sexes,,2.4,,Europe,2004,Both sexes,,3.5,,Europe
59,France,2004,Both sexes,,0.8,,Europe,2004,Both sexes,,4.2,,Europe
62,Georgia,2004,Both sexes,,3.4,,Europe,2004,Both sexes,,0.2,,Europe
63,Germany,2004,Both sexes,,0.7000000000000001,,Europe,2004,Both sexes,,4.3,,Europe
65,Greece,2004,Both sexes,,0.8,,Europe,2004,Both sexes,,0.1,,Europe
73,Hungary,2004,Both sexes,,1.9,,Europe,2004,Both sexes,,3.3,,Europe
