,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
0,Lesotho,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,LSO,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,51.78,,,50.48,,53.18,51.8 [50.5-53.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,LSO,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,63.27,,,53.36,,74.54,63.3 [53.4-74.5],,,EN,2025-04-14T22:00:00.000Z
1,Central African Republic,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,CAF,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,52.93,,,51.78,,54.2,52.9 [51.8-54.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,CAF,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,124.3,,,101.7,,150.8,124.3 [101.7-150.8],,,EN,2025-04-14T22:00:00.000Z
3,Eswatini,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SWZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,55.75,,,54.44,,57.3,55.7 [54.4-57.3],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,SWZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,48.17,,,35.95,,66.27,48.2 [35.9-66.3],,,EN,2025-04-14T22:00:00.000Z
4,Mozambique,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,MOZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.51,,,57.27,,59.75,58.5 [57.3-59.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,MOZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,49.7,,,43.73,,56.61,49.7 [43.7-56.6],,,EN,2025-04-14T22:00:00.000Z
5,Guinea-Bissau,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,GNB,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,58.98,,,57.93,,59.99,59.0 [57.9-60.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,GNB,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,48.34,,,30.88,,74.31,48.3 [30.9-74.3],,,EN,2025-04-14T22:00:00.000Z
6,South Sudan,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SSD,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.0,,,57.88,,60.52,59.0 [57.9-60.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,SSD,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,72.62,,,29.26,,148.7,72.6 [29.3-148.7],,,EN,2025-04-14T22:00:00.000Z
7,Zimbabwe,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,ZWE,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.07,,,58.14,,60.13,59.1 [58.1-60.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,ZWE,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,45.96,,,34.43,,60.22,46.0 [34.4-60.2],,,EN,2025-04-14T22:00:00.000Z
8,Chad,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,TCD,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,59.37,,,58.1,,60.6,59.4 [58.1-60.6],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,TCD,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,65.47,,,50.47,,84.23,65.5 [50.5-84.2],,,EN,2025-04-14T22:00:00.000Z
9,Sierra Leone,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,SLE,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,60.4,,,59.05,,61.66,60.4 [59.0-61.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,SLE,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,64.08,,,55.44,,74.57,64.1 [55.4-74.6],,,EN,2025-04-14T22:00:00.000Z
10,Niger,WHOSIS_000001,Life expectancy at birth (years),text,AFR,Africa,Country,NER,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,60.57,,,59.34,,61.81,60.6 [59.3-61.8],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AFR,Africa,Country,NER,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,69.54,,,59.54,,81.36,69.5 [59.5-81.4],,,EN,2025-04-14T22:00:00.000Z
