,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
28,Haiti,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,HTI,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.66,,,62.52,,65.01,63.7 [62.5-65.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,HTI,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,45.05,,,34.22,,60.15,45.0 [34.2-60.2],,,EN,2025-04-14T22:00:00.000Z
53,Guyana,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,GUY,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,68.73,,,67.97,,69.49,68.7 [68.0-69.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,GUY,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,26.97,,,16.89,,43.54,27.0 [16.9-43.5],,,EN,2025-04-14T22:00:00.000Z
57,Turkmenistan,WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,TKM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,69.14,,,68.43,,70.08,69.1 [68.4-70.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,Country,TKM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,33.77,,,23.8,,47.16,33.8 [23.8-47.2],,,EN,2025-04-14T22:00:00.000Z
64,Bahamas,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,BHS,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,70.74,,,70.23,,71.34,70.7 [70.2-71.3],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,BHS,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,15.71,,,14.14,,17.45,15.7 [14.1-17.5],,,EN,2025-04-14T22:00:00.000Z
68,Honduras,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,HND,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,71.44,,,70.7,,72.21,71.4 [70.7-72.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,HND,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,15.08,,,12.11,,19.27,15.1 [12.1-19.3],,,EN,2025-04-14T22:00:00.000Z
72,Jamaica,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,JAM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.24,,,71.65,,72.9,72.2 [71.6-72.9],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,JAM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,17.83,,,17.29,,18.36,17.8 [17.3-18.4],,,EN,2025-04-14T22:00:00.000Z
74,Uzbekistan,WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,UZB,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.27,,,71.98,,72.59,72.3 [72.0-72.6],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,Country,UZB,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,14.81,,,13.69,,15.79,14.8 [13.7-15.8],,"The most recent official national estimates of neonatal, infant and under-five mortality rates in Uzbekistan are from the vital registration system, with a rate of 4.5, 8.7 and 11.4 deaths per 1,000 live births for both sexes, respectively, in 2022. The most recent official sex-specific estimates from the vital registration system for infant and under-five mortality for males are 9.6 and 12.4 deaths per 1,000 live births and 7.7 and 10.2 deaths per 1,000 live births for females, respectively, in 2022.",EN,2025-04-14T22:00:00.000Z
75,Venezuela (Bolivarian Republic of),WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,VEN,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.71,,,71.94,,73.46,72.7 [71.9-73.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,VEN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,21.48,,,17.5,,26.27,21.5 [17.5-26.3],,,EN,2025-04-14T22:00:00.000Z
76,Guatemala,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,GTM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.71,,,72.44,,73.03,72.7 [72.4-73.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,GTM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,20.35,,,15.82,,26.09,20.4 [15.8-26.1],,,EN,2025-04-14T22:00:00.000Z
77,Grenada,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,GRD,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.73,,,72.4,,73.1,72.7 [72.4-73.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,GRD,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,16.79,,,14.73,,19.07,16.8 [14.7-19.1],,,EN,2025-04-14T22:00:00.000Z
78,Bolivia (Plurinational State of),WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,BOL,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.92,,,72.13,,73.59,72.9 [72.1-73.6],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,BOL,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,23.0,,,17.42,,30.23,23.0 [17.4-30.2],,,EN,2025-04-14T22:00:00.000Z
81,Ukraine,WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,UKR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.0,,,72.33,,73.73,73.0 [72.3-73.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,Country,UKR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,8.28,,,8.02,,8.53,8.3 [8.0-8.5],,"The State Statistics Service of Ukraine (SSSU) have suspended the compilation of impartial statistical information on births and deaths starting from 2022 and on the number of population starting from data as of January 1, 2023, onwards. Consequently, no data is available for 2022.",EN,2025-04-14T22:00:00.000Z
82,Suriname,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,SUR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.02,,,72.63,,73.42,73.0 [72.6-73.4],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,SUR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,17.12,,,11.36,,26.48,17.1 [11.4-26.5],,,EN,2025-04-14T22:00:00.000Z
83,Saint Vincent and the Grenadines,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,VCT,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.11,,,72.8,,73.45,73.1 [72.8-73.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,VCT,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,12.03,,,10.32,,14.02,12.0 [10.3-14.0],,,EN,2025-04-14T22:00:00.000Z
85,Kazakhstan,WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,KAZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.2,,,73.01,,73.46,73.2 [73.0-73.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,Country,KAZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,8.09,,,7.91,,8.27,8.1 [7.9-8.3],,,EN,2025-04-14T22:00:00.000Z
86,Russian Federation,WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,RUS,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.22,,,73.16,,73.27,73.2 [73.2-73.3],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,Country,RUS,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,4.72,,,4.62,,4.83,4.7 [4.6-4.8],,,EN,2025-04-14T22:00:00.000Z
87,Republic of Moldova,WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,MDA,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.32,,,73.01,,73.65,73.3 [73.0-73.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,Country,MDA,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,13.73,,,10.91,,16.73,13.7 [10.9-16.7],,,EN,2025-04-14T22:00:00.000Z
89,Kyrgyzstan,WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,KGZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.59,,,73.29,,73.96,73.6 [73.3-74.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,Country,KGZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,16.08,,,15.58,,16.58,16.1 [15.6-16.6],,,EN,2025-04-14T22:00:00.000Z
92,Tajikistan,WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,TJK,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.81,,,73.28,,74.39,73.8 [73.3-74.4],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,Country,TJK,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,23.29,,,19.54,,27.71,23.3 [19.5-27.7],,,EN,2025-04-14T22:00:00.000Z
93,Dominican Republic,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,DOM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.91,,,73.22,,74.69,73.9 [73.2-74.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,DOM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,30.88,,,24.34,,39.35,30.9 [24.3-39.3],,,EN,2025-04-14T22:00:00.000Z
96,Georgia,WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,GEO,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.85,,,73.73,,74.04,73.9 [73.7-74.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,Country,GEO,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,8.3,,,7.74,,8.91,8.3 [7.7-8.9],,,EN,2025-04-14T22:00:00.000Z
98,Trinidad and Tobago,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,TTO,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.09,,,73.59,,74.73,74.1 [73.6-74.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,TTO,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,18.98,,,13.26,,27.33,19.0 [13.3-27.3],,,EN,2025-04-14T22:00:00.000Z
100,El Salvador,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,SLV,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.28,,,74.09,,74.55,74.3 [74.1-74.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,SLV,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,10.61,,,7.22,,16.01,10.6 [7.2-16.0],,,EN,2025-04-14T22:00:00.000Z
102,Belarus,WHOSIS_000001,Life expectancy at birth (years),text,EUR,Europe,Country,BLR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.82,,,74.79,,74.92,74.8 [74.8-74.9],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EUR,Europe,Country,BLR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,2.4,,,2.23,,2.58,2.4 [2.2-2.6],,,EN,2025-04-14T22:00:00.000Z
103,Belize,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,BLZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.87,,,74.59,,75.23,74.9 [74.6-75.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,BLZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,11.38,,,10.73,,12.1,11.4 [10.7-12.1],,,EN,2025-04-14T22:00:00.000Z
