,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
28,Haiti,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,HTI,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,63.66,,,62.52,,65.01,63.7 [62.5-65.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,HTI,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,45.05,,,34.22,,60.15,45.0 [34.2-60.2],,,EN,2025-04-14T22:00:00.000Z
53,Guyana,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,GUY,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,68.73,,,67.97,,69.49,68.7 [68.0-69.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,GUY,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,26.97,,,16.89,,43.54,27.0 [16.9-43.5],,,EN,2025-04-14T22:00:00.000Z
64,Bahamas,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,BHS,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,70.74,,,70.23,,71.34,70.7 [70.2-71.3],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,BHS,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,15.71,,,14.14,,17.45,15.7 [14.1-17.5],,,EN,2025-04-14T22:00:00.000Z
68,Honduras,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,HND,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,71.44,,,70.7,,72.21,71.4 [70.7-72.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,HND,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,15.08,,,12.11,,19.27,15.1 [12.1-19.3],,,EN,2025-04-14T22:00:00.000Z
72,Jamaica,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,JAM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.24,,,71.65,,72.9,72.2 [71.6-72.9],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,JAM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,17.83,,,17.29,,18.36,17.8 [17.3-18.4],,,EN,2025-04-14T22:00:00.000Z
75,Venezuela (Bolivarian Republic of),WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,VEN,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.71,,,71.94,,73.46,72.7 [71.9-73.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,VEN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,21.48,,,17.5,,26.27,21.5 [17.5-26.3],,,EN,2025-04-14T22:00:00.000Z
76,Guatemala,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,GTM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.71,,,72.44,,73.03,72.7 [72.4-73.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,GTM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,20.35,,,15.82,,26.09,20.4 [15.8-26.1],,,EN,2025-04-14T22:00:00.000Z
77,Grenada,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,GRD,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.73,,,72.4,,73.1,72.7 [72.4-73.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,GRD,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,16.79,,,14.73,,19.07,16.8 [14.7-19.1],,,EN,2025-04-14T22:00:00.000Z
78,Bolivia (Plurinational State of),WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,BOL,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.92,,,72.13,,73.59,72.9 [72.1-73.6],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,BOL,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,23.0,,,17.42,,30.23,23.0 [17.4-30.2],,,EN,2025-04-14T22:00:00.000Z
82,Suriname,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,SUR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.02,,,72.63,,73.42,73.0 [72.6-73.4],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,SUR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,17.12,,,11.36,,26.48,17.1 [11.4-26.5],,,EN,2025-04-14T22:00:00.000Z
83,Saint Vincent and the Grenadines,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,VCT,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.11,,,72.8,,73.45,73.1 [72.8-73.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,VCT,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,12.03,,,10.32,,14.02,12.0 [10.3-14.0],,,EN,2025-04-14T22:00:00.000Z
93,Dominican Republic,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,DOM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.91,,,73.22,,74.69,73.9 [73.2-74.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,DOM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,30.88,,,24.34,,39.35,30.9 [24.3-39.3],,,EN,2025-04-14T22:00:00.000Z
98,Trinidad and Tobago,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,TTO,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.09,,,73.59,,74.73,74.1 [73.6-74.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,TTO,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,18.98,,,13.26,,27.33,19.0 [13.3-27.3],,,EN,2025-04-14T22:00:00.000Z
100,El Salvador,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,SLV,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.28,,,74.09,,74.55,74.3 [74.1-74.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,SLV,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,10.61,,,7.22,,16.01,10.6 [7.2-16.0],,,EN,2025-04-14T22:00:00.000Z
103,Belize,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,BLZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,74.87,,,74.59,,75.23,74.9 [74.6-75.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,BLZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,11.38,,,10.73,,12.1,11.4 [10.7-12.1],,,EN,2025-04-14T22:00:00.000Z
105,Paraguay,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,PRY,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,75.08,,,74.45,,75.72,75.1 [74.4-75.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,PRY,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,17.18,,,9.08,,33.17,17.2 [9.1-33.2],,,EN,2025-04-14T22:00:00.000Z
108,Brazil,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,BRA,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,75.48,,,75.27,,75.72,75.5 [75.3-75.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,BRA,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,12.95,,,12.21,,13.75,13.0 [12.2-13.7],,,EN,2025-04-14T22:00:00.000Z
110,Antigua and Barbuda,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,ATG,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,75.66,,,,,,75.7,,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,ATG,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,8.01,,,6.6,,9.8,8.0 [6.6-9.8],,,EN,2025-04-14T22:00:00.000Z
115,Mexico,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,MEX,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,75.83,,,75.66,,76.11,75.8 [75.7-76.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,MEX,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,12.22,,,11.08,,13.41,12.2 [11.1-13.4],,,EN,2025-04-14T22:00:00.000Z
117,Barbados,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,BRB,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,76.04,,,75.44,,76.6,76.0 [75.4-76.6],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,BRB,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,10.53,,,7.58,,14.67,10.5 [7.6-14.7],,,EN,2025-04-14T22:00:00.000Z
119,Saint Lucia,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,LCA,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,76.12,,,75.55,,76.69,76.1 [75.6-76.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,LCA,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,15.03,,,13.48,,16.72,15.0 [13.5-16.7],,,EN,2025-04-14T22:00:00.000Z
128,Argentina,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,ARG,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,77.02,,,77.01,,77.09,77.0 [77.0-77.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,ARG,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,8.92,,,8.42,,9.47,8.9 [8.4-9.5],,,EN,2025-04-14T22:00:00.000Z
129,Uruguay,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,URY,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,77.01,,,76.97,,77.13,77.0 [77.0-77.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,URY,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,6.18,,,5.94,,6.43,6.2 [5.9-6.4],,,EN,2025-04-14T22:00:00.000Z
136,Cuba,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,CUB,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,77.66,,,77.63,,77.76,77.7 [77.6-77.8],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,CUB,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,5.44,,,4.83,,6.12,5.4 [4.8-6.1],,,EN,2025-04-14T22:00:00.000Z
138,Ecuador,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,ECU,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,77.75,,,77.4,,78.13,77.8 [77.4-78.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,ECU,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,11.68,,,11.22,,12.18,11.7 [11.2-12.2],,,EN,2025-04-14T22:00:00.000Z
141,Colombia,WHOSIS_000001,Life expectancy at birth (years),text,AMR,Americas,Country,COL,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,77.95,,,77.73,,78.24,78.0 [77.7-78.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,AMR,Americas,Country,COL,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,12.37,,,8.92,,17.15,12.4 [8.9-17.1],,,EN,2025-04-14T22:00:00.000Z
