,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
2,Somalia,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,55.21,,,53.93,,56.72,55.2 [53.9-56.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,75.73,,,39.73,,150.0,75.7 [39.7-150.0],,,EN,2025-04-14T22:00:00.000Z
12,Afghanistan,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.22,,,60.26,,62.16,61.2 [60.3-62.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,56.93,,,47.22,,67.62,56.9 [47.2-67.6],,,EN,2025-04-14T22:00:00.000Z
36,Djibouti,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,DJI,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.44,,,64.22,,66.49,65.4 [64.2-66.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,DJI,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,50.37,,,30.02,,82.79,50.4 [30.0-82.8],,,EN,2025-04-14T22:00:00.000Z
45,Yemen,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,YEM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,66.9,,,66.14,,67.86,66.9 [66.1-67.9],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,YEM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,38.77,,,32.93,,45.81,38.8 [32.9-45.8],,,EN,2025-04-14T22:00:00.000Z
46,Pakistan,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,PAK,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,67.03,,,66.12,,68.05,67.0 [66.1-68.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,PAK,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,56.84,,,50.15,,64.45,56.8 [50.1-64.4],,,EN,2025-04-14T22:00:00.000Z
52,Timor-Leste,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,TLS,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,68.5,,,67.72,,69.42,68.5 [67.7-69.4],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,TLS,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,39.86,,,30.29,,52.4,39.9 [30.3-52.4],,,EN,2025-04-14T22:00:00.000Z
55,Myanmar,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,MMR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,68.81,,,68.01,,69.61,68.8 [68.0-69.6],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,MMR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,38.9,,,26.57,,54.17,38.9 [26.6-54.2],,,EN,2025-04-14T22:00:00.000Z
58,Syrian Arab Republic,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SYR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,69.17,,,68.49,,69.9,69.2 [68.5-69.9],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,SYR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,21.52,,,11.45,,28.39,21.5 [11.5-28.4],,,EN,2025-04-14T22:00:00.000Z
60,Sudan,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SDN,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,69.47,,,68.59,,70.41,69.5 [68.6-70.4],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,SDN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,44.04,,,32.54,,58.87,44.0 [32.5-58.9],,,EN,2025-04-14T22:00:00.000Z
65,India,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,IND,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,70.73,,,70.29,,71.27,70.7 [70.3-71.3],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,IND,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,29.67,,,27.48,,31.96,29.7 [27.5-32.0],,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,EN,2025-04-14T22:00:00.000Z
