,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
2,Somalia,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,55.21,,,53.93,,56.72,55.2 [53.9-56.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,SOM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,75.73,,,39.73,,150.0,75.7 [39.7-150.0],,,EN,2025-04-14T22:00:00.000Z
12,Afghanistan,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,61.22,,,60.26,,62.16,61.2 [60.3-62.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,AFG,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,56.93,,,47.22,,67.62,56.9 [47.2-67.6],,,EN,2025-04-14T22:00:00.000Z
18,Kiribati,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,KIR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,62.14,,,61.23,,63.06,62.1 [61.2-63.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,KIR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,42.4,,,29.73,,60.04,42.4 [29.7-60.0],,,EN,2025-04-14T22:00:00.000Z
36,Djibouti,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,DJI,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.44,,,64.22,,66.49,65.4 [64.2-66.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,DJI,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,50.37,,,30.02,,82.79,50.4 [30.0-82.8],,,EN,2025-04-14T22:00:00.000Z
37,Solomon Islands,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,SLB,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.67,,,64.9,,66.54,65.7 [64.9-66.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,SLB,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,18.34,,,13.74,,24.51,18.3 [13.7-24.5],,,EN,2025-04-14T22:00:00.000Z
39,Micronesia (Federated States of),WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,FSM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.94,,,65.05,,66.84,65.9 [65.1-66.8],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,FSM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,23.6,,,11.6,,47.28,23.6 [11.6-47.3],,,EN,2025-04-14T22:00:00.000Z
43,Papua New Guinea,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,PNG,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,66.67,,,65.82,,67.49,66.7 [65.8-67.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,PNG,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,36.09,,,25.93,,49.54,36.1 [25.9-49.5],,,EN,2025-04-14T22:00:00.000Z
45,Yemen,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,YEM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,66.9,,,66.14,,67.86,66.9 [66.1-67.9],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,YEM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,38.77,,,32.93,,45.81,38.8 [32.9-45.8],,,EN,2025-04-14T22:00:00.000Z
46,Pakistan,WHOSIS_000001,Life expectancy at birth (years),text,EMR,Eastern Mediterranean,Country,PAK,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,67.03,,,66.12,,68.05,67.0 [66.1-68.0],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,EMR,Eastern Mediterranean,Country,PAK,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,56.84,,,50.15,,64.45,56.8 [50.1-64.4],,,EN,2025-04-14T22:00:00.000Z
47,Vanuatu,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,VUT,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,67.13,,,66.67,,67.73,67.1 [66.7-67.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,VUT,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,14.91,,,11.72,,19.06,14.9 [11.7-19.1],,,EN,2025-04-14T22:00:00.000Z
