,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
18,Kiribati,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,KIR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,62.14,,,61.23,,63.06,62.1 [61.2-63.1],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,KIR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,42.4,,,29.73,,60.04,42.4 [29.7-60.0],,,EN,2025-04-14T22:00:00.000Z
37,Solomon Islands,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,SLB,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.67,,,64.9,,66.54,65.7 [64.9-66.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,SLB,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,18.34,,,13.74,,24.51,18.3 [13.7-24.5],,,EN,2025-04-14T22:00:00.000Z
39,Micronesia (Federated States of),WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,FSM,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,65.94,,,65.05,,66.84,65.9 [65.1-66.8],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,FSM,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,23.6,,,11.6,,47.28,23.6 [11.6-47.3],,,EN,2025-04-14T22:00:00.000Z
43,Papua New Guinea,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,PNG,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,66.67,,,65.82,,67.49,66.7 [65.8-67.5],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,PNG,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,36.09,,,25.93,,49.54,36.1 [25.9-49.5],,,EN,2025-04-14T22:00:00.000Z
47,Vanuatu,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,VUT,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,67.13,,,66.67,,67.73,67.1 [66.7-67.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,VUT,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,14.91,,,11.72,,19.06,14.9 [11.7-19.1],,,EN,2025-04-14T22:00:00.000Z
49,Fiji,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,FJI,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,67.87,,,67.02,,68.77,67.9 [67.0-68.8],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,FJI,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,20.62,,,19.57,,21.72,20.6 [19.6-21.7],,,EN,2025-04-14T22:00:00.000Z
51,Lao People's Democratic Republic,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,LAO,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,68.36,,,67.63,,69.31,68.4 [67.6-69.3],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,LAO,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,40.38,,,30.07,,53.2,40.4 [30.1-53.2],,,EN,2025-04-14T22:00:00.000Z
52,Timor-Leste,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,TLS,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,68.5,,,67.72,,69.42,68.5 [67.7-69.4],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,TLS,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,39.86,,,30.29,,52.4,39.9 [30.3-52.4],,,EN,2025-04-14T22:00:00.000Z
55,Myanmar,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,MMR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,68.81,,,68.01,,69.61,68.8 [68.0-69.6],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,MMR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,38.9,,,26.57,,54.17,38.9 [26.6-54.2],,,EN,2025-04-14T22:00:00.000Z
59,Philippines,WHOSIS_000001,Life expectancy at birth (years),text,WPR,Western Pacific,Country,PHL,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,69.43,,,68.99,,69.89,69.4 [69.0-69.9],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,WPR,Western Pacific,Country,PHL,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,22.73,,,19.15,,27.2,22.7 [19.2-27.2],,,EN,2025-04-14T22:00:00.000Z
