,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
52,Timor-Leste,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,TLS,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,68.5,,,67.72,,69.42,68.5 [67.7-69.4],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,TLS,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,39.86,,,30.29,,52.4,39.9 [30.3-52.4],,,EN,2025-04-14T22:00:00.000Z
55,Myanmar,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,MMR,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,68.81,,,68.01,,69.61,68.8 [68.0-69.6],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,MMR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,38.9,,,26.57,,54.17,38.9 [26.6-54.2],,,EN,2025-04-14T22:00:00.000Z
65,India,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,IND,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,70.73,,,70.29,,71.27,70.7 [70.3-71.3],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,IND,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,29.67,,,27.48,,31.96,29.7 [27.5-32.0],,The UN IGME estimates are not the official statistics of India. The Sample Registration System (SRS) of ORGI is the official data source of India for all mortality estimates.,EN,2025-04-14T22:00:00.000Z
67,Nepal,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,NPL,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,71.36,,,70.54,,72.29,71.4 [70.5-72.3],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,NPL,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,27.29,,,23.73,,31.45,27.3 [23.7-31.5],,,EN,2025-04-14T22:00:00.000Z
69,Indonesia,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,IDN,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,71.4,,,70.87,,72.19,71.4 [70.9-72.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,IDN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,19.27,,,16.16,,23.15,19.3 [16.2-23.2],,,EN,2025-04-14T22:00:00.000Z
73,Democratic People's Republic of Korea,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,PRK,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,72.32,,,71.64,,73.19,72.3 [71.6-73.2],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,PRK,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,14.3,,,11.2,,18.31,14.3 [11.2-18.3],,The UN IGME estimates are not the official statistics of the Democratic People's Republic of Korea.,EN,2025-04-14T22:00:00.000Z
94,Bangladesh,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,BGD,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.95,,,73.16,,74.84,73.9 [73.2-74.8],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,BGD,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,25.45,,,24.12,,26.58,25.4 [24.1-26.6],,,EN,2025-04-14T22:00:00.000Z
95,Bhutan,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,BTN,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,73.93,,,73.31,,74.61,73.9 [73.3-74.6],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,BTN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,21.08,,,12.91,,34.41,21.1 [12.9-34.4],,,EN,2025-04-14T22:00:00.000Z
107,Maldives,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,MDV,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,75.45,,,75.24,,75.72,75.4 [75.2-75.7],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,MDV,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,6.44,,,5.83,,7.1,6.4 [5.8-7.1],,,EN,2025-04-14T22:00:00.000Z
126,Thailand,WHOSIS_000001,Life expectancy at birth (years),text,SEAR,South-East Asia,Country,THA,Year,2019,False,Sex,Both sexes,SEX_BTSX,,,,,,,,,,76.92,,,76.53,,77.41,76.9 [76.5-77.4],,,EN,2024-08-01T22:00:00.000Z,MDG_0000000001,Infant mortality rate (probability of dying between birth and age 1 per 1000 live births),numeric,SEAR,South-East Asia,Country,THA,Year,2019,False,Sex,Both sexes,SEX_BTSX,Age Group,0 to 11 months,AGEGROUP_MONTHS0-11,,,,,,,9.06,,,8.12,,10.38,9.1 [8.1-10.4],,,EN,2025-04-14T22:00:00.000Z
