,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
2,Papua New Guinea,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,PNG,Year,2019,False,,,,,,,,,,,,,20,,,,,,20,,,EN,2025-07-13T22:00:00.000Z,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,PNG,Year,2019,False,,,,,,,,,,,,,37,,,,,,37,,,EN,2025-07-13T22:00:00.000Z
11,Lao People's Democratic Republic,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,LAO,Year,2019,False,,,,,,,,,,,,,50,,,,,,50,,,EN,2025-07-13T22:00:00.000Z,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,LAO,Year,2019,False,,,,,,,,,,,,,70,,,,,,70,,,EN,2025-07-13T22:00:00.000Z
12,Micronesia (Federated States of),MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,FSM,Year,2019,False,,,,,,,,,,,,,52,,,,,,52,,,EN,2025-07-13T22:00:00.000Z,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,FSM,Year,2019,False,,,,,,,,,,,,,78,,,,,,78,,,EN,2025-07-13T22:00:00.000Z
14,Solomon Islands,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,SLB,Year,2019,False,,,,,,,,,,,,,54,,,,,,54,,,EN,2025-07-13T22:00:00.000Z,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,SLB,Year,2019,False,,,,,,,,,,,,,81,,,,,,81,,,EN,2025-07-13T22:00:00.000Z
19,Samoa,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,WSM,Year,2019,False,,,,,,,,,,,,,59,,,,,,59,,,EN,2025-07-13T22:00:00.000Z,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,WSM,Year,2019,False,,,,,,,,,,,,,96,,,,,,96,,,EN,2025-07-13T22:00:00.000Z
27,Marshall Islands,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,MHL,Year,2019,False,,,,,,,,,,,,,64,,,,,,64,,,EN,2025-07-13T22:00:00.000Z,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,MHL,Year,2019,False,,,,,,,,,,,,,85,,,,,,85,,,EN,2025-07-13T22:00:00.000Z
31,Philippines,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,PHL,Year,2019,False,,,,,,,,,,,,,67,,,,,,67,,,EN,2025-07-13T22:00:00.000Z,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,PHL,Year,2019,False,,,,,,,,,,,,,83,,,,,,83,,,EN,2025-07-13T22:00:00.000Z
32,Bosnia and Herzegovina,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,EUR,Europe,Country,BIH,Year,2019,False,,,,,,,,,,,,,69,,,,,,69,,,EN,2025-07-13T22:00:00.000Z,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),numeric,EUR,Europe,Country,BIH,Year,2019,False,,,,,,,,,,,,,79,,,,,,79,,,EN,2025-07-13T22:00:00.000Z
38,Fiji,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,FJI,Year,2019,False,,,,,,,,,,,,,72,,,,,,72,,,EN,2025-07-13T22:00:00.000Z,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,FJI,Year,2019,False,,,,,,,,,,,,,94,,,,,,94,,,EN,2025-07-13T22:00:00.000Z
43,Cambodia,MCV2,Measles-containing-vaccine second-dose (MCV2) immunization coverage by the nationally recommended age (%),numeric,WPR,Western Pacific,Country,KHM,Year,2019,False,,,,,,,,,,,,,75,,,,,,75,,,EN,2025-07-13T22:00:00.000Z,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),numeric,WPR,Western Pacific,Country,KHM,Year,2019,False,,,,,,,,,,,,,87,,,,,,87,,,EN,2025-07-13T22:00:00.000Z
