,Location,WHO region,Period,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified
0,Sierra Leone,,2000,2480.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,SLE,Year,2000,False,,,,,,,,,,,,,37,,,,,,37,,EN,2025-04-06T22:00:00.000Z
2,Central African Republic,,2000,1280.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,CAF,Year,2000,False,,,,,,,,,,,,,32,,,,,,32,,EN,2025-04-06T22:00:00.000Z
3,Chad,,2000,1420.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,TCD,Year,2000,False,,,,,,,,,,,,,14,,,,,,14,,EN,2025-04-06T22:00:00.000Z
4,Guinea-Bissau,,2000,1210.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,GNB,Year,2000,False,,,,,,,,,,,,,32,,,,,,32,,EN,2025-04-06T22:00:00.000Z
5,Rwanda,,2000,1160.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,RWA,Year,2000,False,,,,,,,,,,,,,31,,,,,,31,,EN,2025-04-06T22:00:00.000Z
6,Burundi,,2000,1010.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,BDI,Year,2000,False,,,,,,,,,,,,,25,,,,,,25,,EN,2025-04-06T22:00:00.000Z
7,Ethiopia,,2000,1030.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,ETH,Year,2000,False,,,,,,,,,,,,,6,,,,,,6,,EN,2025-04-06T22:00:00.000Z
8,Gambia,,2000,932.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,GMB,Year,2000,False,,,,,,,,,,,,,52,,,,,,52,,EN,2025-04-06T22:00:00.000Z
9,Liberia,,2000,894.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,LBR,Year,1999-2000,False,,,,,,,,,,,,,51,,,,,,51,,EN,2025-04-06T22:00:00.000Z
10,Mauritania,,2000,834.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,MRT,Year,2000-2001,False,,,,,,,,,,,,,53,,,,,,53,,EN,2025-04-06T22:00:00.000Z
11,Cameroon,,2000,886.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,CMR,Year,2000,False,,,,,,,,,,,,,56,,,,,,56,,EN,2025-04-06T22:00:00.000Z
12,Niger,,2000,813.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,NER,Year,2000,False,,,,,,,,,,,,,16,,,,,,16,,EN,2025-04-06T22:00:00.000Z
13,Malawi,,2000,749.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,MWI,Year,2000,False,,,,,,,,,,,,,56,,,,,,56,,EN,2025-04-06T22:00:00.000Z
14,Kenya,,2000,708.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,KEN,Year,2000,False,,,,,,,,,,,,,43,,,,,,43,,EN,2025-04-06T22:00:00.000Z
15,Lesotho,,2000,614.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,LSO,Year,2000,False,,,,,,,,,,,,,48,,,,,,48,,EN,2025-04-06T22:00:00.000Z
16,Eswatini,,2000,521.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,SWZ,Year,2000,False,,,,,,,,,,,,,65,,,,,,65,,EN,2025-04-06T22:00:00.000Z
18,Uganda,,2000,578.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,UGA,Year,2000-2001,False,,,,,,,,,,,,,39,,,,,,39,,EN,2025-04-06T22:00:00.000Z
19,Senegal,,2000,553.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,SEN,Year,2000,False,,,,,,,,,,,,,58,,,,,,58,,EN,2025-04-06T22:00:00.000Z
20,Madagascar,,2000,559.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,MDG,Year,2000,False,,,,,,,,,,,,,47,,,,,,47,,EN,2025-04-06T22:00:00.000Z
21,Equatorial Guinea,,2000,454.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,GNQ,Year,2000,False,,,,,,,,,,,,,65,,,,,,65,,EN,2025-04-06T22:00:00.000Z
22,Lao People's Democratic Republic,,2000,544.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,LAO,Year,2000,False,,,,,,,,,,,,,17,,,,,,17,,EN,2025-04-06T22:00:00.000Z
23,Comoros,,2000,444.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,COM,Year,2000,False,,,,,,,,,,,,,62,,,,,,62,,EN,2025-04-06T22:00:00.000Z
24,Togo,,2000,489.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,TGO,Year,2000,False,,,,,,,,,,,,,35,,,,,,35,,EN,2025-04-06T22:00:00.000Z
25,Cambodia,,2000,488.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,KHM,Year,2000,False,,,,,,,,,,,,,32,,,,,,32,,EN,2025-04-06T22:00:00.000Z
29,Gabon,,2000,380.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,GAB,Year,2000-2001,False,,,,,,,,,,,,,86,,,,,,86,,EN,2025-04-06T22:00:00.000Z
31,Namibia,,2000,348.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,NAM,Year,2000,False,,,,,,,,,,,,,76,,,,,,76,,EN,2025-04-06T22:00:00.000Z
33,Botswana,,2000,262.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,BWA,Year,2000,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
34,Micronesia (Federated States of),,2000,154.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,FSM,Year,2000,False,,,,,,,,,,,,,83,,,,,,83,,EN,2025-04-06T22:00:00.000Z
37,Sao Tome and Principe,,2000,179.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,STP,Year,2000,False,,,,,,,,,,,,,79,,,,,,79,,EN,2025-04-06T22:00:00.000Z
39,Vanuatu,,2000,140.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,VUT,Year,2000,False,,,,,,,,,,,,,88,,,,,,88,,EN,2025-04-06T22:00:00.000Z
40,Kiribati,,2000,136.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,KIR,Year,2000,False,,,,,,,,,,,,,85,,,,,,85,,EN,2025-04-06T22:00:00.000Z
41,Philippines,,2000,160.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,PHL,Year,2000,False,,,,,,,,,,,,,58,,,,,,58,,EN,2025-04-06T22:00:00.000Z
42,Mongolia,,2000,155.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,MNG,Year,2000,False,,,,,,,,,,,,,97,,,,,,97,,EN,2025-04-06T22:00:00.000Z
44,Samoa,,2000,88.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,WSM,Year,2000,False,,,,,,,,,,,,,80,,,,,,80,,EN,2025-04-06T22:00:00.000Z
46,Tonga,,2000,77.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,TON,Year,2000,False,,,,,,,,,,,,,95,,,,,,95,,EN,2025-04-06T22:00:00.000Z
57,Seychelles,,2000,53.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,SYC,Year,2000,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
59,Viet Nam,,2000,68.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,VNM,Year,2000,False,,,,,,,,,,,,,59,,,,,,59,,EN,2025-04-06T22:00:00.000Z
65,Mauritius,,2000,59.0,,Africa,MDG_0000000025,Births attended by skilled health personnel (%),text,AFR,Africa,Country,MUS,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
69,China,,2000,59.0,,Western Pacific,MDG_0000000025,Births attended by skilled health personnel (%),text,WPR,Western Pacific,Country,CHN,Year,2000,False,,,,,,,,,,,,,97,,,,,,97,,EN,2025-04-06T22:00:00.000Z
