,Location,WHO region,Period,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,Language,DateModified
17,Nepal,,2000,553.0,,South-East Asia,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,NPL,Year,2000,False,,,,,,,,,,,,,12,,,,,,12,,EN,2025-04-06T22:00:00.000Z
26,Bangladesh,,2000,434.0,,South-East Asia,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BGD,Year,1999-2000,False,,,,,,,,,,,,,12,,,,,,12,,EN,2025-04-06T22:00:00.000Z
27,Haiti,,2000,437.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,HTI,Year,2000,False,,,,,,,,,,,,,24,,,,,,24,,EN,2025-04-06T22:00:00.000Z
28,Bhutan,,2000,423.0,,South-East Asia,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,BTN,Year,2000,False,,,,,,,,,,,,,27,,,,,,27,,EN,2025-04-06T22:00:00.000Z
30,India,,2000,370.0,,South-East Asia,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,IND,Year,2000,False,,,,,,,,,,,,,43,,,,,,43,,EN,2025-04-06T22:00:00.000Z
32,Bolivia (Plurinational State of),,2000,331.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BOL,Year,2000,False,,,,,,,,,,,,,67,,,,,,67,,EN,2025-04-06T22:00:00.000Z
35,Guyana,,2000,231.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,GUY,Year,2000,False,,,,,,,,,,,,,83,,,,,,83,,EN,2025-04-06T22:00:00.000Z
36,Democratic People's Republic of Korea,,2000,139.0,,South-East Asia,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,PRK,Year,2000,False,,,,,,,,,,,,,97,,,,,,97,,EN,2025-04-06T22:00:00.000Z
38,Suriname,,2000,221.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,SUR,Year,2000,False,,,,,,,,,,,,,71,,,,,,71,,EN,2025-04-06T22:00:00.000Z
43,Guatemala,,2000,161.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,GTM,Year,2000,False,,,,,,,,,,,,,41,,,,,,41,,EN,2025-04-06T22:00:00.000Z
45,Peru,,2000,144.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,PER,Year,2000,False,,,,,,,,,,,,,59,,,,,,59,,EN,2025-04-06T22:00:00.000Z
47,Venezuela (Bolivarian Republic of),,2000,119.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,VEN,Year,2000,False,,,,,,,,,,,,,94,,,,,,94,,EN,2025-04-06T22:00:00.000Z
48,Ecuador,,2000,122.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,ECU,Year,2000,False,,,,,,,,,,,,,71,,,,,,71,,EN,2025-04-06T22:00:00.000Z
49,Saint Lucia,,2000,86.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,LCA,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
50,Panama,,2000,91.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,PAN,Year,2000,False,,,,,,,,,,,,,91,,,,,,91,,EN,2025-04-06T22:00:00.000Z
51,Belize,,2000,89.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BLZ,Year,2000,False,,,,,,,,,,,,,90,,,,,,90,,EN,2025-04-06T22:00:00.000Z
52,Saint Vincent and the Grenadines,,2000,80.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,VCT,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
54,Colombia,,2000,94.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,COL,Year,2000,False,,,,,,,,,,,,,86,,,,,,86,,EN,2025-04-06T22:00:00.000Z
55,Trinidad and Tobago,,2000,81.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,TTO,Year,2000,False,,,,,,,,,,,,,96,,,,,,96,,EN,2025-04-06T22:00:00.000Z
56,Bahamas,,2000,75.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BHS,Year,2000,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
60,Dominican Republic,,2000,80.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,DOM,Year,2000,False,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z
62,Jamaica,,2000,77.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,JAM,Year,2000,False,,,,,,,,,,,,,96,,,,,,96,,EN,2025-04-06T22:00:00.000Z
63,Argentina,,2000,66.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,ARG,Year,2000,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
66,Brazil,,2000,69.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BRA,Year,2000,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
68,Barbados,,2000,50.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BRB,Year,2000,False,,,,,,,,,,,,,98,,,,,,98,,EN,2025-04-06T22:00:00.000Z
73,Antigua and Barbuda,,2000,44.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,ATG,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
74,Sri Lanka,,2000,56.0,,South-East Asia,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,LKA,Year,2000,False,,,,,,,,,,,,,96,,,,,,96,,EN,2025-04-06T22:00:00.000Z
76,Mexico,,2000,55.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,MEX,Year,2000,False,,,,,,,,,,,,,89,,,,,,89,,EN,2025-04-06T22:00:00.000Z
79,Grenada,,2000,38.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,GRD,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
81,Cuba,,2000,46.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CUB,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
83,Thailand,,2000,43.0,,South-East Asia,MDG_0000000025,Births attended by skilled health personnel (%),text,SEAR,South-East Asia,Country,THA,Year,2000,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
85,Costa Rica,,2000,40.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CRI,Year,1999-2000,False,,,,,,,,,,,,,97,,,,,,97,,EN,2025-04-06T22:00:00.000Z
89,Chile,,2000,31.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CHL,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
97,Uruguay,,2000,26.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,URY,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
114,United States of America,,2000,12.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,USA,Year,2000,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
115,Canada,,2000,9.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,CAN,Year,2000,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
130,Paraguay,,2000,165.0,,Americas,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,PRY,Year,2000,False,,,,,,,,,,,,,85,,,,,,85,,EN,2025-04-06T22:00:00.000Z
