,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
0,Brazil,NCD_DTH_TOT,Total NCD Deaths,numeric,AMR,Americas,Country,BRA,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,1045019,,,843224,,1189410,1 050 000 [843 000-1 190 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,BRA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,55094.0,,,38033.0,,73790.0,55 094 [38 033-73 790],,,EN,2024-10-02T22:00:00.000Z
4,Mauritania,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,MRT,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,10752,,,5522,,18449,10 800 [5520-18 400],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,MRT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1479.0,,,871.7,,2079.0,1479 [872-2079],,,EN,2024-10-02T22:00:00.000Z
8,Belize,NCD_DTH_TOT,Total NCD Deaths,numeric,AMR,Americas,Country,BLZ,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,1033,,,843,,1416,1030 [840-1420],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,BLZ,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,54.88,,,7.3,,92.62,55 [7-93],,,EN,2024-10-02T22:00:00.000Z
13,Grenada,NCD_DTH_TOT,Total NCD Deaths,numeric,AMR,Americas,Country,GRD,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,1101,,,804,,1305,1100 [800-1310],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,GRD,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,41.95,,,27.17,,56.5,42 [27-56],,,EN,2024-10-02T22:00:00.000Z
14,Peru,NCD_DTH_TOT,Total NCD Deaths,numeric,AMR,Americas,Country,PER,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,114365,,,64444,,165530,114 000 [64 400-166 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AMR,Americas,Country,PER,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,8890.0,,,6786.0,,11075.0,8890 [6786-11 075],,,EN,2024-10-02T22:00:00.000Z
21,Lesotho,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,LSO,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,12114,,,6879,,23035,12 100 [6880-23 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,LSO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1458.0,,,969.9,,1947.0,1458 [970-1947],,,EN,2024-10-02T22:00:00.000Z
24,Eritrea,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,ERI,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,13538,,,7530,,25102,13 500 [7530-25 100],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,ERI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1542.0,,,769.8,,2453.0,1542 [770-2453],,,EN,2024-10-02T22:00:00.000Z
25,Liberia,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,LBR,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,13553,,,7288,,24268,13 600 [7290-24 300],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,LBR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,1513.0,,,1007.0,,2032.0,1513 [1007-2032],,,EN,2024-10-02T22:00:00.000Z
26,Kenya,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,KEN,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,130019,,,76446,,216370,130 000 [76 400-216 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,KEN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,6693.0,,,3865.0,,9812.0,6693 [3865-9812],,,EN,2024-10-02T22:00:00.000Z
27,United Republic of Tanzania,NCD_DTH_TOT,Total NCD Deaths,numeric,AFR,Africa,Country,TZA,Year,2019,False,Sex,Both sexes,SEX_BTSX,Causes,Noncommunicable diseases,GHECAUSES_GHE060,,,,,,,131377,,,69978,,238893,131 000 [70 000-239 000],,,EN,2025-03-18T23:00:00.000Z,AIR_41,Ambient air pollution attributable deaths,numeric,AFR,Africa,Country,TZA,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,8623.0,,,5386.0,,12417.0,8623 [5386-12 417],,,EN,2024-10-02T22:00:00.000Z
