,Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
0,Afghanistan,,,2019,Both sexes,881.2331,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,AFG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,144.7,,,112.8,,180.3,145 [113-180],,,EN,2024-10-02T22:00:00.000Z
11,Bahrain,,,2019,Both sexes,644.3488,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,BHR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,68.15,,,53.36,,82.02,68 [53-82],,,EN,2024-10-02T22:00:00.000Z
12,Bangladesh,,,2019,Both sexes,473.6921,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,BGD,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,66.36,,,51.63,,82.96,66 [52-83],,,EN,2024-10-02T22:00:00.000Z
18,Bhutan,,,2019,Both sexes,545.5936,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,BTN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,57.21,,,42.0,,74.36,57 [42-74],,,EN,2024-10-02T22:00:00.000Z
43,Democratic People's Republic of Korea,,,2019,Both sexes,597.0314,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,PRK,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,86.18,,,63.79,,111.7,86 [64-112],,,EN,2024-10-02T22:00:00.000Z
46,Djibouti,,,2019,Both sexes,610.9455,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,DJI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,59.76,,,29.37,,91.23,60 [29-91],,,EN,2024-10-02T22:00:00.000Z
49,Egypt,,,2019,Both sexes,733.7957,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,EGY,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,104.9,,,79.4,,130.0,105 [79-130],,,EN,2024-10-02T22:00:00.000Z
74,India,,,2019,Both sexes,558.4635,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,IND,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,83.4,,,65.25,,103.8,83 [65-104],,,EN,2024-10-02T22:00:00.000Z
75,Indonesia,,,2019,Both sexes,660.7458,,South-East Asia,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,SEAR,South-East Asia,Country,IDN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,58.17,,,42.53,,75.6,58 [43-76],,,EN,2024-10-02T22:00:00.000Z
76,Iran (Islamic Republic of),,,2019,Both sexes,445.6564,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,IRN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,51.31,,,39.06,,62.83,51 [39-63],,,EN,2024-10-02T22:00:00.000Z
