,Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
0,Afghanistan,,,2019,Both sexes,881.2331,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,AFG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,144.7,,,112.8,,180.3,145 [113-180],,,EN,2024-10-02T22:00:00.000Z
7,Australia,,,2019,Both sexes,278.5359,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,AUS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,9.81,,,6.6,,13.1,10 [7-13],,,EN,2024-10-02T22:00:00.000Z
11,Bahrain,,,2019,Both sexes,644.3488,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,BHR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,68.15,,,53.36,,82.02,68 [53-82],,,EN,2024-10-02T22:00:00.000Z
23,Brunei Darussalam,,,2019,Both sexes,629.4689,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,BRN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,19.61,,,11.67,,28.95,20 [12-29],,,EN,2024-10-02T22:00:00.000Z
28,Cambodia,,,2019,Both sexes,652.4398,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,KHM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,60.23,,,45.28,,76.18,60 [45-76],,,EN,2024-10-02T22:00:00.000Z
34,China,,,2019,Both sexes,491.525,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,CHN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,64.06,,,49.99,,79.77,64 [50-80],,,EN,2024-10-02T22:00:00.000Z
46,Djibouti,,,2019,Both sexes,610.9455,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,DJI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,59.76,,,29.37,,91.23,60 [29-91],,,EN,2024-10-02T22:00:00.000Z
49,Egypt,,,2019,Both sexes,733.7957,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,EGY,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,104.9,,,79.4,,130.0,105 [79-130],,,EN,2024-10-02T22:00:00.000Z
56,Fiji,,,2019,Both sexes,923.4328,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,FJI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,36.93,,,4.96,,61.16,37 [5-61],,,EN,2024-10-02T22:00:00.000Z
76,Iran (Islamic Republic of),,,2019,Both sexes,445.6564,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,IRN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,51.31,,,39.06,,62.83,51 [39-63],,,EN,2024-10-02T22:00:00.000Z
77,Iraq,,,2019,Both sexes,610.7923,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,IRQ,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,87.0,,,65.53,,106.9,87 [66-107],,,EN,2024-10-02T22:00:00.000Z
82,Japan,,,2019,Both sexes,235.3629,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,JPN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,11.79,,,8.38,,15.65,12 [8-16],,,EN,2024-10-02T22:00:00.000Z
83,Jordan,,,2019,Both sexes,441.2214,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,JOR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,37.93,,,28.96,,46.43,38 [29-46],,,EN,2024-10-02T22:00:00.000Z
86,Kiribati,,,2019,Both sexes,1281.429,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,KIR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,49.2,,,0.0,,97.2,49 [0-97],,,EN,2024-10-02T22:00:00.000Z
87,Kuwait,,,2019,Both sexes,324.4085,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,KWT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,45.26,,,36.91,,53.64,45 [37-54],,,EN,2024-10-02T22:00:00.000Z
89,Lao People's Democratic Republic,,,2019,Both sexes,699.9042,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,LAO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,68.87,,,51.33,,87.36,69 [51-87],,,EN,2024-10-02T22:00:00.000Z
91,Lebanon,,,2019,Both sexes,526.887,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,LBN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,58.6,,,41.52,,74.96,59 [42-75],,,EN,2024-10-02T22:00:00.000Z
94,Libya,,,2019,Both sexes,478.9978,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,LBY,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,53.99,,,35.46,,71.09,54 [35-71],,,EN,2024-10-02T22:00:00.000Z
99,Malaysia,,,2019,Both sexes,501.1372,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,MYS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,62.84,,,48.38,,77.4,63 [48-77],,,EN,2024-10-02T22:00:00.000Z
106,Micronesia (Federated States of),,,2019,Both sexes,1171.389,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,FSM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,54.2,,,0.0,,103.5,54 [0-103],,,EN,2024-10-02T22:00:00.000Z
107,Mongolia,,,2019,Both sexes,939.1735,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,MNG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,119.8,,,90.83,,148.6,120 [91-149],,,EN,2024-10-02T22:00:00.000Z
109,Morocco,,,2019,Both sexes,643.9508,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,MAR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,59.27,,,40.9,,76.96,59 [41-77],,,EN,2024-10-02T22:00:00.000Z
114,New Zealand,,,2019,Both sexes,308.857,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,NZL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,12.23,,,8.03,,16.31,12 [8-16],,,EN,2024-10-02T22:00:00.000Z
120,Oman,,,2019,Both sexes,683.6013,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,OMN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,104.1,,,72.45,,131.7,104 [72-132],,,EN,2024-10-02T22:00:00.000Z
121,Pakistan,,,2019,Both sexes,753.4131,,Eastern Mediterranean,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,EMR,Eastern Mediterranean,Country,PAK,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,106.7,,,82.3,,131.6,107 [82-132],,,EN,2024-10-02T22:00:00.000Z
123,Papua New Guinea,,,2019,Both sexes,837.5352,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,PNG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,37.78,,,2.31,,75.07,38 [2-75],,,EN,2024-10-02T22:00:00.000Z
126,Philippines,,,2019,Both sexes,713.631,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,PHL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,91.78,,,69.3,,114.8,92 [69-115],,,EN,2024-10-02T22:00:00.000Z
