,Location,WHO region,World Bank income group,Period,Sex,FactValueNumeric,Comments,ParentLocation,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocationr,Location type,SpatialDimValueCode,Period type,Periodr,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumericr,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
7,Australia,,,2019,Both sexes,278.5359,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,AUS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,9.81,,,6.6,,13.1,10 [7-13],,,EN,2024-10-02T22:00:00.000Z
23,Brunei Darussalam,,,2019,Both sexes,629.4689,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,BRN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,19.61,,,11.67,,28.95,20 [12-29],,,EN,2024-10-02T22:00:00.000Z
28,Cambodia,,,2019,Both sexes,652.4398,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,KHM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,60.23,,,45.28,,76.18,60 [45-76],,,EN,2024-10-02T22:00:00.000Z
34,China,,,2019,Both sexes,491.525,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,CHN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,64.06,,,49.99,,79.77,64 [50-80],,,EN,2024-10-02T22:00:00.000Z
56,Fiji,,,2019,Both sexes,923.4328,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,FJI,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,36.93,,,4.96,,61.16,37 [5-61],,,EN,2024-10-02T22:00:00.000Z
82,Japan,,,2019,Both sexes,235.3629,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,JPN,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,11.79,,,8.38,,15.65,12 [8-16],,,EN,2024-10-02T22:00:00.000Z
86,Kiribati,,,2019,Both sexes,1281.429,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,KIR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,49.2,,,0.0,,97.2,49 [0-97],,,EN,2024-10-02T22:00:00.000Z
89,Lao People's Democratic Republic,,,2019,Both sexes,699.9042,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,LAO,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,68.87,,,51.33,,87.36,69 [51-87],,,EN,2024-10-02T22:00:00.000Z
99,Malaysia,,,2019,Both sexes,501.1372,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,MYS,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,62.84,,,48.38,,77.4,63 [48-77],,,EN,2024-10-02T22:00:00.000Z
106,Micronesia (Federated States of),,,2019,Both sexes,1171.389,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,FSM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,54.2,,,0.0,,103.5,54 [0-103],,,EN,2024-10-02T22:00:00.000Z
107,Mongolia,,,2019,Both sexes,939.1735,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,MNG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,119.8,,,90.83,,148.6,120 [91-149],,,EN,2024-10-02T22:00:00.000Z
114,New Zealand,,,2019,Both sexes,308.857,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,NZL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,12.23,,,8.03,,16.31,12 [8-16],,,EN,2024-10-02T22:00:00.000Z
123,Papua New Guinea,,,2019,Both sexes,837.5352,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,PNG,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,37.78,,,2.31,,75.07,38 [2-75],,,EN,2024-10-02T22:00:00.000Z
126,Philippines,,,2019,Both sexes,713.631,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,PHL,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,91.78,,,69.3,,114.8,92 [69-115],,,EN,2024-10-02T22:00:00.000Z
130,Republic of Korea,,,2019,Both sexes,237.0526,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,KOR,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,18.89,,,15.1,,22.84,19 [15-23],,,EN,2024-10-02T22:00:00.000Z
137,Samoa,,,2019,Both sexes,765.6934,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,WSM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,33.91,,,0.0,,71.49,34 [0-71],,,EN,2024-10-02T22:00:00.000Z
144,Singapore,,,2019,Both sexes,234.8398,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,SGP,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,23.42,,,15.81,,31.51,23 [16-32],,,EN,2024-10-02T22:00:00.000Z
147,Solomon Islands,,,2019,Both sexes,909.0732,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,SLB,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,57.08,,,0.0,,107.5,57 [0-108],,,EN,2024-10-02T22:00:00.000Z
162,Tonga,,,2019,Both sexes,624.7742,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,TON,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,23.87,,,0.0,,39.99,24 [0-40],,,EN,2024-10-02T22:00:00.000Z
174,Vanuatu,,,2019,Both sexes,986.3082,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,VUT,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,56.75,,,0.0,,111.6,57 [0-112],,,EN,2024-10-02T22:00:00.000Z
176,Viet Nam,,,2019,Both sexes,569.4175,,Western Pacific,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",numeric,WPR,Western Pacific,Country,VNM,Year,2019,True,Sex,Both sexes,SEX_BTSX,GHE cause of death codes,ALL CAUSES,GHECAUSE_GHE000000,,,,,,,52.08,,,38.75,,67.22,52 [39-67],,,EN,2024-10-02T22:00:00.000Z
