,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,Languager,DateModifiedr
5,Venezuela (Bolivarian Republic of),WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,VEN,Year,2000,False,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,10.8,,,10.27,,11.34,10.8 [10.3-11.3],,,EN,2025-04-14T22:00:00.000Z,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,VEN,Year,2000,False,,,,,,,,,,,,,94,,,,,,94,,EN,2025-04-06T22:00:00.000Z
6,Antigua and Barbuda,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,ATG,Year,2000,False,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,10.86,,,9.6,,12.27,10.9 [9.6-12.3],,,EN,2025-04-14T22:00:00.000Z,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,ATG,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
9,Argentina,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,ARG,Year,2000,False,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,11.13,,,10.76,,11.5,11.1 [10.8-11.5],,,EN,2025-04-14T22:00:00.000Z,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,ARG,Year,2000,False,,,,,,,,,,,,,99,,,,,,99,,EN,2025-04-06T22:00:00.000Z
10,Saint Lucia,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,LCA,Year,2000,False,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,11.41,,,10.45,,12.42,11.4 [10.4-12.4],,,EN,2025-04-14T22:00:00.000Z,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,LCA,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
11,Saudi Arabia,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,EMR,Eastern Mediterranean,Country,SAU,Year,2000,False,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,11.61,,,9.38,,14.35,11.6 [9.4-14.3],,,EN,2025-04-14T22:00:00.000Z,MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,SAU,Year,2000,False,,,,,,,,,,,,,91,,,,,,91,,EN,2025-04-06T22:00:00.000Z
12,Lebanon,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,EMR,Eastern Mediterranean,Country,LBN,Year,2000,False,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,11.97,,,9.91,,14.3,12.0 [9.9-14.3],,,EN,2025-04-14T22:00:00.000Z,MDG_0000000025,Births attended by skilled health personnel (%),text,EMR,Eastern Mediterranean,Country,LBN,Year,1999-2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
13,Belize,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,BLZ,Year,2000,False,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,12.12,,,10.83,,13.46,12.1 [10.8-13.5],,,EN,2025-04-14T22:00:00.000Z,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,BLZ,Year,2000,False,,,,,,,,,,,,,90,,,,,,90,,EN,2025-04-06T22:00:00.000Z
16,Panama,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,PAN,Year,2000,False,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,12.18,,,9.63,,14.97,12.2 [9.6-15.0],,,EN,2025-04-14T22:00:00.000Z,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,PAN,Year,2000,False,,,,,,,,,,,,,91,,,,,,91,,EN,2025-04-06T22:00:00.000Z
18,Dominica,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,DMA,Year,2000,False,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,12.58,,,11.43,,13.79,12.6 [11.4-13.8],,,EN,2025-04-14T22:00:00.000Z,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,DMA,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
19,Saint Vincent and the Grenadines,WHOSIS_000003,Neonatal mortality rate (per 1000 live births),text,AMR,Americas,Country,VCT,Year,2000,False,Sex,Both sexes,SEX_BTSX,Age Group,0-27 days,AGEGROUP_DAYS0-27,,,,,,,13.29,,,12.05,,14.67,13.3 [12.1-14.7],,,EN,2025-04-14T22:00:00.000Z,MDG_0000000025,Births attended by skilled health personnel (%),text,AMR,Americas,Country,VCT,Year,2000,False,,,,,,,,,,,,,100,,,,,,100,,EN,2025-04-06T22:00:00.000Z
