,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
5,Central African Republic,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,CAF,Year,2019,False,,,,,,,,,,,,,37,,,,,,37,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,CAF,Year,2019,False,,,,,,,,,,,,,38.69,,,,,,39,,,EN,2023-04-30T22:00:00.000Z
8,Namibia,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,NAM,Year,2019,False,,,,,,,,,,,,,57,,,,,,57,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,NAM,Year,2019,False,,,,,,,,,,,,,57.64,,,,,,58,,,EN,2023-04-30T22:00:00.000Z
13,Ethiopia,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,ETH,Year,2019,False,,,,,,,,,,,,,63,,,,,,63,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,ETH,Year,2019,False,,,,,,,,,,,,,32.1,,,,,,32,,,EN,2023-04-30T22:00:00.000Z
15,Angola,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,AGO,Year,2019,False,,,,,,,,,,,,,64,,,,,,64,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,AGO,Year,2019,False,,,,,,,,,,,,,39.29,,,,,,39,,,EN,2023-04-30T22:00:00.000Z
16,Nigeria,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,NGA,Year,2019,False,,,,,,,,,,,,,64,,,,,,64,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,NGA,Year,2019,False,,,,,,,,,,,,,40.89,,,,,,41,,,EN,2023-04-30T22:00:00.000Z
17,Slovenia,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),numeric,EUR,Europe,Country,SVN,Year,2019,False,,,,,,,,,,,,,65,,,,,,65,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EUR,Europe,Country,SVN,Year,2019,False,,,,,,,,,,,,,87.78,,,,,,88,,,EN,2023-04-30T22:00:00.000Z
18,Azerbaijan,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),numeric,EUR,Europe,Country,AZE,Year,2019,False,,,,,,,,,,,,,66,,,,,,66,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,EUR,Europe,Country,AZE,Year,2019,False,,,,,,,,,,,,,72.41,,,,,,72,,,EN,2023-04-30T22:00:00.000Z
19,Cameroon,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,CMR,Year,2019,False,,,,,,,,,,,,,67,,,,,,67,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,CMR,Year,2019,False,,,,,,,,,,,,,53.74,,,,,,54,,,EN,2023-04-30T22:00:00.000Z
21,Congo,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,COG,Year,2019,False,,,,,,,,,,,,,68,,,,,,68,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,COG,Year,2019,False,,,,,,,,,,,,,35.89,,,,,,36,,,EN,2023-04-30T22:00:00.000Z
22,Liberia,PCV3,Pneumoccocal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),numeric,AFR,Africa,Country,LBR,Year,2019,False,,,,,,,,,,,,,68,,,,,,68,,,EN,2025-07-13T22:00:00.000Z,UHC_SCI_INFECT,UHC Service Coverage sub-index on infectious diseases,text,AFR,Africa,Country,LBR,Year,2019,False,,,,,,,,,,,,,40.35,,,,,,40,,,EN,2023-04-30T22:00:00.000Z
