,Location,Period,FactValueNumeric,Comments,ParentLocation,Periodr,FactValueNumericr,Commentsr,ParentLocationr
7,Burkina Faso,2010,0.046,Includes M�d�cin (y compris sp�cialistes)</br> Data Source: RGPMS 2010 - Direction g�n�rale de l�information et des statistiques sanitaires,Africa,2010,0.457,,Africa
12,Bolivia (Plurinational State of),2010,0.444,Includes MEDICOS</br> Data Source: Sistema Nacional de Informaci�n en Salud - Vigilancia Epidemiol�gica (SNIS-VE),Americas,2010,4.385,,Americas
16,Cameroon,2010,0.083,Includes M�decins</br> Data Source: SIGIPES-MINSANTE,Africa,2010,0.842,,Africa
17,Colombia,2010,1.568,Includes M�dicos </br> Data Source: C�lculo cendex,Americas,2010,16.493,,Americas
18,Cabo Verde,2010,0.595,Includes Doctors</br> Data Source: Ministry of Health,Africa,2010,5.928,,Africa
19,Cuba,2010,6.766,Includes M�dicos </br> Data Source: Registro de Profesionales de la Salud. MINSAP,Americas,2010,68.152,,Americas
29,Ghana,2010,0.096,Includes Doctors</br> Data Source: 2010 ANNUAL REPORT,Africa,2010,0.938,,Africa
31,Guyana,2010,0.214,"Includes Doctors</br> Data Source: MOH Human Resources Department, (2010b), Bureau of Statistics (Guyana) (2010),",Americas,2010,6.872,,Americas
41,Kenya,2010,0.177,Includes Doctors</br> Data Source: Kenya Bureau of Statistics,Africa,2010,1.6960000000000002,,Africa
47,Liberia,2010,0.023,"Includes Physician</br> Data Source: The National Census of Health Workers in Liberia, 2010 (published draft)",Africa,2010,0.231,,Africa
53,Madagascar,2010,0.196,"Includes M�decins Sp�cialistes, M�decins G�n�ralistes</br> Data Source: DRH/Service de l'Observatoire des Ressources Humaines",Africa,2010,1.953,,Africa
55,Mexico,2010,1.922,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Americas,2010,19.986,,Americas
57,Mali,2010,0.085,"Includes M�decins (g�n�ralistes), M�decins (sp�cialistes)</br> Data Source: DRH/ Effectifs 2009/2010",Africa,2010,1.021,,Africa
62,Mozambique,2010,0.047,"Includes General Medical Practitioner, Specialist Medical Practitioner</br> Data Source: MoH/DRH/eSIP-Health",Africa,2010,0.487,,Africa
63,Mauritius,2010,1.202,Includes Doctor</br> Data Source: Establishment Division/Medical Council/Nursing Council/Commission for Health with adjustments for under/over reporting,Africa,2010,12.019,,Africa
65,Nicaragua,2010,0.739,"Includes M�dicos </br> Data Source: Ministerio de Salud, Division General de Recursos Humanos",Americas,2010,7.278,,Americas
71,Panama,2010,1.414,Includes M�dicos</br> Data Source: Direcci�n de Planificaci�n - Departamento de Registros y Estad�sticas de Salud. MINSA,Americas,2010,14.058,,Americas
81,Sierra Leone,2010,0.024,"Includes Surgery/Surgeons, Physician, ENT, Paediatrician, Ophthalmologist, Haematologist, Obstetrician/Gynaecologist, Anaesthesiologist, Radiologist, Dermatologist, Medical Officers</br> Data Source: Ministry of Health and Sanitation",Africa,2010,0.212,,Africa
85,Seychelles,2010,1.074,Includes Medical practitioners</br> Data Source: National Statistics Bureau ,Africa,2010,10.953,,Africa
91,Trinidad and Tobago,2010,1.809,"Includes Physicians</br> Data Source: MoH Annual Statistical Report, 2009-2011",Americas,2010,18.086,,Americas
98,Zambia,2010,0.06,Includes Generalist medical practitioners</br> Data Source: Payroll Management and Establishment Control (PMEC) January 2010,Africa,2010,0.614,,Africa
99,Zimbabwe,2010,0.066,Includes Doctors</br> Data Source: Zimbabwe National Statistics Agency,Africa,2010,1.272,,Africa
