,Location,Period,FactValueNumeric,Comments,ParentLocation,Periodr,FactValueNumericr,Commentsr,ParentLocationr
1,Albania,2010,1.254,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,12.347,,Europe
3,Armenia,2010,2.759,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,28.419,,Europe
4,Austria,2010,4.779,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,48.016,,Europe
5,Azerbaijan,2010,3.636,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,36.629,,Europe
6,Belgium,2010,2.911,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,29.085,,Europe
7,Burkina Faso,2010,0.046,Includes M�d�cin (y compris sp�cialistes)</br> Data Source: RGPMS 2010 - Direction g�n�rale de l�information et des statistiques sanitaires,Africa,2010,0.457,,Africa
9,Bulgaria,2010,3.775,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,37.661,,Europe
11,Bosnia and Herzegovina,2010,1.738,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,17.987,,Europe
14,Switzerland,2010,3.806,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,38.166,,Europe
16,Cameroon,2010,0.083,Includes M�decins</br> Data Source: SIGIPES-MINSANTE,Africa,2010,0.842,,Africa
18,Cabo Verde,2010,0.595,Includes Doctors</br> Data Source: Ministry of Health,Africa,2010,5.928,,Africa
20,Cyprus,2010,2.174,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,21.562,,Europe
21,Czechia,2010,3.585,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,35.743,,Europe
22,Germany,2010,3.775,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,37.567,,Europe
23,Denmark,2010,3.582,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,37.211,,Europe
24,Spain,2010,3.756,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,37.296,,Europe
25,Estonia,2010,3.242,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,32.422,,Europe
26,Finland,2010,2.986,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,32.653,,Europe
27,United Kingdom of Great Britain and Northern Ireland,2010,2.697,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,26.265,,Europe
28,Georgia,2010,4.289,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,44.466,,Europe
29,Ghana,2010,0.096,Includes Doctors</br> Data Source: 2010 ANNUAL REPORT,Africa,2010,0.938,,Africa
30,Greece,2010,6.197,"Includes Physicians, practising or closest concept</br> Data Source: WHO/Europe, HlthResDB, July 2016",Europe,2010,58.812,,Europe
32,Croatia,2010,2.851,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,28.428,,Europe
33,Hungary,2010,2.864,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,28.896,,Europe
36,Iceland,2010,3.591,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,35.654,,Europe
37,Israel,2010,3.414,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,35.107,,Europe
40,Kazakhstan,2010,3.506,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,39.278,,Europe
41,Kenya,2010,0.177,Includes Doctors</br> Data Source: Kenya Bureau of Statistics,Africa,2010,1.6960000000000002,,Africa
42,Kyrgyzstan,2010,1.881,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,23.394,,Europe
47,Liberia,2010,0.023,"Includes Physician</br> Data Source: The National Census of Health Workers in Liberia, 2010 (published draft)",Africa,2010,0.231,,Africa
49,Lithuania,2010,3.915,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,39.138,,Europe
50,Luxembourg,2010,2.764,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,27.683,,Europe
51,Latvia,2010,3.117,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,30.757,,Europe
52,Republic of Moldova,2010,2.439,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,23.808,,Europe
53,Madagascar,2010,0.196,"Includes M�decins Sp�cialistes, M�decins G�n�ralistes</br> Data Source: DRH/Service de l'Observatoire des Ressources Humaines",Africa,2010,1.953,,Africa
56,North Macedonia,2010,2.6870000000000003,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,26.759,,Europe
57,Mali,2010,0.085,"Includes M�decins (g�n�ralistes), M�decins (sp�cialistes)</br> Data Source: DRH/ Effectifs 2009/2010",Africa,2010,1.021,,Africa
58,Malta,2010,3.104,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,21.53,,Europe
60,Montenegro,2010,2.039,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,20.439,,Europe
62,Mozambique,2010,0.047,"Includes General Medical Practitioner, Specialist Medical Practitioner</br> Data Source: MoH/DRH/eSIP-Health",Africa,2010,0.487,,Africa
63,Mauritius,2010,1.202,Includes Doctor</br> Data Source: Establishment Division/Medical Council/Nursing Council/Commission for Health with adjustments for under/over reporting,Africa,2010,12.019,,Africa
66,Norway,2010,4.112,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,41.167,,Europe
74,Poland,2010,2.157,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,21.707,,Europe
75,Portugal,2010,3.842,"Includes Physicians, practising or closest concept</br> Data Source: WHO/Europe, HlthResDB, July 2016",Europe,2010,39.756,,Europe
77,Romania,2010,2.502,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,24.804,,Europe
78,Russian Federation,2010,5.0,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,49.889,,Europe
81,Sierra Leone,2010,0.024,"Includes Surgery/Surgeons, Physician, ENT, Paediatrician, Ophthalmologist, Haematologist, Obstetrician/Gynaecologist, Anaesthesiologist, Radiologist, Dermatologist, Medical Officers</br> Data Source: Ministry of Health and Sanitation",Africa,2010,0.212,,Africa
82,Serbia,2010,2.463,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,24.82,,Europe
83,Slovenia,2010,2.426,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,24.367,,Europe
84,Sweden,2010,3.893,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,38.033,,Europe
85,Seychelles,2010,1.074,Includes Medical practitioners</br> Data Source: National Statistics Bureau ,Africa,2010,10.953,,Africa
88,Tajikistan,2010,1.685,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,16.975,,Europe
89,Turkmenistan,2010,2.295,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,22.743,,Europe
93,Turkey,2010,1.707,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,17.068,,Europe
94,Ukraine,2010,3.494,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,34.83,,Europe
95,Uzbekistan,2010,2.614,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,25.432,,Europe
98,Zambia,2010,0.06,Includes Generalist medical practitioners</br> Data Source: Payroll Management and Establishment Control (PMEC) January 2010,Africa,2010,0.614,,Africa
99,Zimbabwe,2010,0.066,Includes Doctors</br> Data Source: Zimbabwe National Statistics Agency,Africa,2010,1.272,,Africa
