,Location,Period,FactValueNumeric,Comments,ParentLocation,Periodr,FactValueNumericr,Commentsr,ParentLocationr
0,Afghanistan,2010,0.247,Includes Doctors</br> Data Source: Ministry of Public Health and other Ministries,Eastern Mediterranean,2010,2.365,,Eastern Mediterranean
2,United Arab Emirates,2010,1.531,Includes Physicians</br> Data Source: National Bureau of Statistics,Eastern Mediterranean,2010,14.195,,Eastern Mediterranean
10,Bahrain,2010,0.934,Includes Physicians</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,9.493,,Eastern Mediterranean
12,Bolivia (Plurinational State of),2010,0.444,Includes MEDICOS</br> Data Source: Sistema Nacional de Informaci�n en Salud - Vigilancia Epidemiol�gica (SNIS-VE),Americas,2010,4.385,,Americas
17,Colombia,2010,1.568,Includes M�dicos </br> Data Source: C�lculo cendex,Americas,2010,16.493,,Americas
19,Cuba,2010,6.766,Includes M�dicos </br> Data Source: Registro de Profesionales de la Salud. MINSAP,Americas,2010,68.152,,Americas
31,Guyana,2010,0.214,"Includes Doctors</br> Data Source: MOH Human Resources Department, (2010b), Bureau of Statistics (Guyana) (2010),",Americas,2010,6.872,,Americas
35,Iraq,2010,0.639,"Includes Non-specialist doctor, Specialist doctor</br> Data Source: Ministry of Health",Eastern Mediterranean,2010,6.636,,Eastern Mediterranean
38,Jordan,2010,2.487,Includes Physicians</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,22.326,,Eastern Mediterranean
45,Kuwait,2010,2.376,Includes Doctor</br> Data Source: Ministry of Health  ,Eastern Mediterranean,2010,24.296,,Eastern Mediterranean
46,Lebanon,2010,2.6710000000000003,Includes Physicians</br> Data Source: Syndicate Figures,Eastern Mediterranean,2010,23.385,,Eastern Mediterranean
55,Mexico,2010,1.922,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Americas,2010,19.986,,Americas
65,Nicaragua,2010,0.739,"Includes M�dicos </br> Data Source: Ministerio de Salud, Division General de Recursos Humanos",Americas,2010,7.278,,Americas
69,Oman,2010,1.991,Includes Doctors</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,19.274,,Eastern Mediterranean
70,Pakistan,2010,0.852,"Includes Doctors</br> Data Source: Health division, MOH; Pakistan Medical and Dental Council (PMDC)",Eastern Mediterranean,2010,8.076,,Eastern Mediterranean
71,Panama,2010,1.414,Includes M�dicos</br> Data Source: Direcci�n de Planificaci�n - Departamento de Registros y Estad�sticas de Salud. MINSA,Americas,2010,14.058,,Americas
76,Qatar,2010,3.919,Includes Physicians</br> Data Source: Qatar in figures,Eastern Mediterranean,2010,37.273,,Eastern Mediterranean
79,Saudi Arabia,2010,2.35,Includes Physician</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,24.074,,Eastern Mediterranean
86,Syrian Arab Republic,2010,1.505,Includes Physicians</br> Data Source: Central Bureau of Statistics,Eastern Mediterranean,2010,14.602,,Eastern Mediterranean
91,Trinidad and Tobago,2010,1.809,"Includes Physicians</br> Data Source: MoH Annual Statistical Report, 2009-2011",Americas,2010,18.086,,Americas
92,Tunisia,2010,1.222,Includes M�decins</br> Data Source: Minist�re de la Sant� Publique,Eastern Mediterranean,2010,12.22,,Eastern Mediterranean
