,Location,Period,FactValueNumeric,Comments,ParentLocation,Periodr,FactValueNumericr,Commentsr,ParentLocationr
8,Bangladesh,2010,0.354,"Includes General Medical Practitioners</br> Data Source: HRM Unit, MOHFW 2013",South-East Asia,2010,3.635,,South-East Asia
12,Bolivia (Plurinational State of),2010,0.444,Includes MEDICOS</br> Data Source: Sistema Nacional de Informaci�n en Salud - Vigilancia Epidemiol�gica (SNIS-VE),Americas,2010,4.385,,Americas
17,Colombia,2010,1.568,Includes M�dicos </br> Data Source: C�lculo cendex,Americas,2010,16.493,,Americas
19,Cuba,2010,6.766,Includes M�dicos </br> Data Source: Registro de Profesionales de la Salud. MINSAP,Americas,2010,68.152,,Americas
31,Guyana,2010,0.214,"Includes Doctors</br> Data Source: MOH Human Resources Department, (2010b), Bureau of Statistics (Guyana) (2010),",Americas,2010,6.872,,Americas
34,Indonesia,2010,0.14,"Includes Medis Spesialis, Medis Dokter Umum</br> Data Source: Kementerian Kesehatan Republik Indonesia",South-East Asia,2010,1.395,,South-East Asia
48,Sri Lanka,2010,0.726,Includes Doctors</br> Data Source: Ministry of Healthcare & Nutrition,South-East Asia,2010,7.239,,South-East Asia
54,Maldives,2010,1.579,"Includes Doctors</br> Data Source: Ministry of Health, 2011",South-East Asia,2010,14.356,,South-East Asia
55,Mexico,2010,1.922,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Americas,2010,19.986,,Americas
59,Myanmar,2010,0.511,Includes Doctors</br> Data Source: Ministry of Health,South-East Asia,2010,5.224,,South-East Asia
65,Nicaragua,2010,0.739,"Includes M�dicos </br> Data Source: Ministerio de Salud, Division General de Recursos Humanos",Americas,2010,7.278,,Americas
71,Panama,2010,1.414,Includes M�dicos</br> Data Source: Direcci�n de Planificaci�n - Departamento de Registros y Estad�sticas de Salud. MINSA,Americas,2010,14.058,,Americas
87,Thailand,2010,0.394,Includes Doctors</br> Data Source: Ministry of Public Health,South-East Asia,2010,3.906,,South-East Asia
91,Trinidad and Tobago,2010,1.809,"Includes Physicians</br> Data Source: MoH Annual Statistical Report, 2009-2011",Americas,2010,18.086,,Americas
