,Location,Period,FactValueNumeric,Comments,ParentLocation,Periodr,FactValueNumericr,Commentsr,ParentLocationr
0,Afghanistan,2010,0.247,Includes Doctors</br> Data Source: Ministry of Public Health and other Ministries,Eastern Mediterranean,2010,2.365,,Eastern Mediterranean
2,United Arab Emirates,2010,1.531,Includes Physicians</br> Data Source: National Bureau of Statistics,Eastern Mediterranean,2010,14.195,,Eastern Mediterranean
8,Bangladesh,2010,0.354,"Includes General Medical Practitioners</br> Data Source: HRM Unit, MOHFW 2013",South-East Asia,2010,3.635,,South-East Asia
10,Bahrain,2010,0.934,Includes Physicians</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,9.493,,Eastern Mediterranean
34,Indonesia,2010,0.14,"Includes Medis Spesialis, Medis Dokter Umum</br> Data Source: Kementerian Kesehatan Republik Indonesia",South-East Asia,2010,1.395,,South-East Asia
35,Iraq,2010,0.639,"Includes Non-specialist doctor, Specialist doctor</br> Data Source: Ministry of Health",Eastern Mediterranean,2010,6.636,,Eastern Mediterranean
38,Jordan,2010,2.487,Includes Physicians</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,22.326,,Eastern Mediterranean
45,Kuwait,2010,2.376,Includes Doctor</br> Data Source: Ministry of Health  ,Eastern Mediterranean,2010,24.296,,Eastern Mediterranean
46,Lebanon,2010,2.6710000000000003,Includes Physicians</br> Data Source: Syndicate Figures,Eastern Mediterranean,2010,23.385,,Eastern Mediterranean
48,Sri Lanka,2010,0.726,Includes Doctors</br> Data Source: Ministry of Healthcare & Nutrition,South-East Asia,2010,7.239,,South-East Asia
54,Maldives,2010,1.579,"Includes Doctors</br> Data Source: Ministry of Health, 2011",South-East Asia,2010,14.356,,South-East Asia
59,Myanmar,2010,0.511,Includes Doctors</br> Data Source: Ministry of Health,South-East Asia,2010,5.224,,South-East Asia
69,Oman,2010,1.991,Includes Doctors</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,19.274,,Eastern Mediterranean
70,Pakistan,2010,0.852,"Includes Doctors</br> Data Source: Health division, MOH; Pakistan Medical and Dental Council (PMDC)",Eastern Mediterranean,2010,8.076,,Eastern Mediterranean
76,Qatar,2010,3.919,Includes Physicians</br> Data Source: Qatar in figures,Eastern Mediterranean,2010,37.273,,Eastern Mediterranean
79,Saudi Arabia,2010,2.35,Includes Physician</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,24.074,,Eastern Mediterranean
86,Syrian Arab Republic,2010,1.505,Includes Physicians</br> Data Source: Central Bureau of Statistics,Eastern Mediterranean,2010,14.602,,Eastern Mediterranean
87,Thailand,2010,0.394,Includes Doctors</br> Data Source: Ministry of Public Health,South-East Asia,2010,3.906,,South-East Asia
92,Tunisia,2010,1.222,Includes M�decins</br> Data Source: Minist�re de la Sant� Publique,Eastern Mediterranean,2010,12.22,,Eastern Mediterranean
