,Location,Period,FactValueNumeric,Comments,ParentLocation,Periodr,FactValueNumericr,Commentsr,ParentLocationr
0,Afghanistan,2010,0.247,Includes Doctors</br> Data Source: Ministry of Public Health and other Ministries,Eastern Mediterranean,2010,2.365,,Eastern Mediterranean
2,United Arab Emirates,2010,1.531,Includes Physicians</br> Data Source: National Bureau of Statistics,Eastern Mediterranean,2010,14.195,,Eastern Mediterranean
10,Bahrain,2010,0.934,Includes Physicians</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,9.493,,Eastern Mediterranean
13,Brunei Darussalam,2010,1.431,Includes Doctors</br> Data Source: Brunei Medical Board,Western Pacific,2010,14.488,,Western Pacific
15,China,2010,1.462,"Includes Licensed Doctors, Practising physicians</br> Data Source: National Bureau of Statistics of China",Western Pacific,2010,14.334,,Western Pacific
35,Iraq,2010,0.639,"Includes Non-specialist doctor, Specialist doctor</br> Data Source: Ministry of Health",Eastern Mediterranean,2010,6.636,,Eastern Mediterranean
38,Jordan,2010,2.487,Includes Physicians</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,22.326,,Eastern Mediterranean
39,Japan,2010,2.227,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Western Pacific,2010,22.059,,Western Pacific
43,Cambodia,2010,0.229,"Includes Physicians</br> Data Source: Ministry of Health, Human Resources Department",Western Pacific,2010,2.302,,Western Pacific
44,Republic of Korea,2010,2.002,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Western Pacific,2010,19.839,,Western Pacific
45,Kuwait,2010,2.376,Includes Doctor</br> Data Source: Ministry of Health  ,Eastern Mediterranean,2010,24.296,,Eastern Mediterranean
46,Lebanon,2010,2.6710000000000003,Includes Physicians</br> Data Source: Syndicate Figures,Eastern Mediterranean,2010,23.385,,Eastern Mediterranean
61,Mongolia,2010,2.764,Includes Physicians</br> Data Source: Ministry of Health,Western Pacific,2010,27.564,,Western Pacific
64,Malaysia,2010,1.173,"Includes Doctors</br> Data Source: Human Resources Division, MoH. Malaysian Medical Council. ",Western Pacific,2010,11.691,,Western Pacific
67,Nauru,2010,0.998,"Includes Physicians </br> Data Source: Country health information profile(CHIP 2011), WPRO",Western Pacific,2010,11.0,,Western Pacific
68,New Zealand,2010,2.612,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Western Pacific,2010,26.114,,Western Pacific
69,Oman,2010,1.991,Includes Doctors</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,19.274,,Eastern Mediterranean
70,Pakistan,2010,0.852,"Includes Doctors</br> Data Source: Health division, MOH; Pakistan Medical and Dental Council (PMDC)",Eastern Mediterranean,2010,8.076,,Eastern Mediterranean
72,Palau,2010,1.417,"Includes Physicians </br> Data Source: Country health information profile(CHIP 2011), WPRO",Western Pacific,2010,16.111,,Western Pacific
73,Papua New Guinea,2010,0.055,Includes Physicians</br> Data Source: HR Baseline data 2009-2010. Papua New Guinea,Western Pacific,2010,0.514,,Western Pacific
76,Qatar,2010,3.919,Includes Physicians</br> Data Source: Qatar in figures,Eastern Mediterranean,2010,37.273,,Eastern Mediterranean
79,Saudi Arabia,2010,2.35,Includes Physician</br> Data Source: Ministry of Health,Eastern Mediterranean,2010,24.074,,Eastern Mediterranean
80,Singapore,2010,1.736,Includes Doctors</br> Data Source: Ministry of Health,Western Pacific,2010,17.598,,Western Pacific
86,Syrian Arab Republic,2010,1.505,Includes Physicians</br> Data Source: Central Bureau of Statistics,Eastern Mediterranean,2010,14.602,,Eastern Mediterranean
90,Tonga,2010,0.558,"Includes Physicians </br> Data Source: Country health information profile(CHIP 2011), WPRO",Western Pacific,2010,5.577,,Western Pacific
92,Tunisia,2010,1.222,Includes M�decins</br> Data Source: Minist�re de la Sant� Publique,Eastern Mediterranean,2010,12.22,,Eastern Mediterranean
96,Viet Nam,2010,0.6950000000000001,Includes Doctor</br> Data Source: General Statistics Office of Vientnam,Western Pacific,2010,7.1,,Western Pacific
97,Samoa,2010,0.344,Includes Doctor</br> Data Source: MoH National Health Services Annual report 2009 - 2010,Western Pacific,2010,3.443,,Western Pacific
