,Location,Period,FactValueNumeric,Comments,ParentLocation,Periodr,FactValueNumericr,Commentsr,ParentLocationr
1,Albania,2010,1.254,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,12.347,,Europe
3,Armenia,2010,2.759,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,28.419,,Europe
4,Austria,2010,4.779,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,48.016,,Europe
5,Azerbaijan,2010,3.636,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,36.629,,Europe
6,Belgium,2010,2.911,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,29.085,,Europe
9,Bulgaria,2010,3.775,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,37.661,,Europe
11,Bosnia and Herzegovina,2010,1.738,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,17.987,,Europe
13,Brunei Darussalam,2010,1.431,Includes Doctors</br> Data Source: Brunei Medical Board,Western Pacific,2010,14.488,,Western Pacific
14,Switzerland,2010,3.806,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,38.166,,Europe
15,China,2010,1.462,"Includes Licensed Doctors, Practising physicians</br> Data Source: National Bureau of Statistics of China",Western Pacific,2010,14.334,,Western Pacific
20,Cyprus,2010,2.174,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,21.562,,Europe
21,Czechia,2010,3.585,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,35.743,,Europe
22,Germany,2010,3.775,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,37.567,,Europe
23,Denmark,2010,3.582,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,37.211,,Europe
24,Spain,2010,3.756,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,37.296,,Europe
25,Estonia,2010,3.242,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,32.422,,Europe
26,Finland,2010,2.986,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,32.653,,Europe
27,United Kingdom of Great Britain and Northern Ireland,2010,2.697,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,26.265,,Europe
28,Georgia,2010,4.289,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,44.466,,Europe
30,Greece,2010,6.197,"Includes Physicians, practising or closest concept</br> Data Source: WHO/Europe, HlthResDB, July 2016",Europe,2010,58.812,,Europe
32,Croatia,2010,2.851,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,28.428,,Europe
33,Hungary,2010,2.864,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,28.896,,Europe
36,Iceland,2010,3.591,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,35.654,,Europe
37,Israel,2010,3.414,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,35.107,,Europe
39,Japan,2010,2.227,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Western Pacific,2010,22.059,,Western Pacific
40,Kazakhstan,2010,3.506,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,39.278,,Europe
42,Kyrgyzstan,2010,1.881,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,23.394,,Europe
43,Cambodia,2010,0.229,"Includes Physicians</br> Data Source: Ministry of Health, Human Resources Department",Western Pacific,2010,2.302,,Western Pacific
44,Republic of Korea,2010,2.002,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Western Pacific,2010,19.839,,Western Pacific
49,Lithuania,2010,3.915,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,39.138,,Europe
50,Luxembourg,2010,2.764,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,27.683,,Europe
51,Latvia,2010,3.117,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,30.757,,Europe
52,Republic of Moldova,2010,2.439,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,23.808,,Europe
56,North Macedonia,2010,2.6870000000000003,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,26.759,,Europe
58,Malta,2010,3.104,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,21.53,,Europe
60,Montenegro,2010,2.039,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,20.439,,Europe
61,Mongolia,2010,2.764,Includes Physicians</br> Data Source: Ministry of Health,Western Pacific,2010,27.564,,Western Pacific
64,Malaysia,2010,1.173,"Includes Doctors</br> Data Source: Human Resources Division, MoH. Malaysian Medical Council. ",Western Pacific,2010,11.691,,Western Pacific
66,Norway,2010,4.112,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,41.167,,Europe
67,Nauru,2010,0.998,"Includes Physicians </br> Data Source: Country health information profile(CHIP 2011), WPRO",Western Pacific,2010,11.0,,Western Pacific
68,New Zealand,2010,2.612,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Western Pacific,2010,26.114,,Western Pacific
72,Palau,2010,1.417,"Includes Physicians </br> Data Source: Country health information profile(CHIP 2011), WPRO",Western Pacific,2010,16.111,,Western Pacific
73,Papua New Guinea,2010,0.055,Includes Physicians</br> Data Source: HR Baseline data 2009-2010. Papua New Guinea,Western Pacific,2010,0.514,,Western Pacific
74,Poland,2010,2.157,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,21.707,,Europe
75,Portugal,2010,3.842,"Includes Physicians, practising or closest concept</br> Data Source: WHO/Europe, HlthResDB, July 2016",Europe,2010,39.756,,Europe
77,Romania,2010,2.502,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,24.804,,Europe
78,Russian Federation,2010,5.0,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,49.889,,Europe
80,Singapore,2010,1.736,Includes Doctors</br> Data Source: Ministry of Health,Western Pacific,2010,17.598,,Western Pacific
82,Serbia,2010,2.463,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,24.82,,Europe
83,Slovenia,2010,2.426,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,24.367,,Europe
84,Sweden,2010,3.893,"Includes Practising physicians</br> Data Source: OECD Health Data, accessed October 2017",Europe,2010,38.033,,Europe
88,Tajikistan,2010,1.685,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,16.975,,Europe
89,Turkmenistan,2010,2.295,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,22.743,,Europe
90,Tonga,2010,0.558,"Includes Physicians </br> Data Source: Country health information profile(CHIP 2011), WPRO",Western Pacific,2010,5.577,,Western Pacific
93,Turkey,2010,1.707,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,17.068,,Europe
94,Ukraine,2010,3.494,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,34.83,,Europe
95,Uzbekistan,2010,2.614,"Includes Physicians</br> Data Source: WHO/Europe, HlthResDB, accessed October 2017",Europe,2010,25.432,,Europe
96,Viet Nam,2010,0.6950000000000001,Includes Doctor</br> Data Source: General Statistics Office of Vientnam,Western Pacific,2010,7.1,,Western Pacific
97,Samoa,2010,0.344,Includes Doctor</br> Data Source: MoH National Health Services Annual report 2009 - 2010,Western Pacific,2010,3.443,,Western Pacific
