,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
2,Monaco,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MCO,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MCO,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
10,Burundi,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,BDI,Year,2019,False,,,,,,,,,,,,,107.0,,,69.0,,153.0,107 [69-153],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,BDI,Year,2019,False,,,,,,,,,,,,,6753,,,,,,6753,,,EN,2025-01-08T23:00:00.000Z
13,Kyrgyzstan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,KGZ,Year,2019,False,,,,,,,,,,,,,110.0,,,94.0,,127.0,110 [94-127],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,KGZ,Year,2019,False,,,,,,,,,,,,,6138,,,,,,6138,,,EN,2025-01-08T23:00:00.000Z
14,Sao Tome and Principe,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,STP,Year,2019,False,,,,,,,,,,,,,114.0,,,45.0,,214.0,114 [45-214],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,STP,Year,2019,False,,,,,,,,,,,,,140,,,,,,140,,,EN,2025-01-08T23:00:00.000Z
15,Senegal,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,SEN,Year,2019,False,,,,,,,,,,,,,117.0,,,83.0,,156.0,117 [83-156],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,SEN,Year,2019,False,,,,,,,,,,,,,13357,,,,,,13 357,,,EN,2025-01-08T23:00:00.000Z
18,North Macedonia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,MKD,Year,2019,False,,,,,,,,,,,,,12.0,,,9.1,,15.0,12 [9.1-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,MKD,Year,2019,False,,,,,,,,,,,,,199,,,,,,199,,,EN,2025-01-08T23:00:00.000Z
19,Mauritius,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,MUS,Year,2019,False,,,,,,,,,,,,,12.0,,,9.0,,15.0,12 [9-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,MUS,Year,2019,False,,,,,,,,,,,,,119,,,,,,119,,,EN,2025-01-08T23:00:00.000Z
20,Estonia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,EUR,Europe,Country,EST,Year,2019,False,,,,,,,,,,,,,13.0,,,11.0,,15.0,13 [11-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,EUR,Europe,Country,EST,Year,2019,False,,,,,,,,,,,,,147,,,,,,147,,,EN,2025-01-08T23:00:00.000Z
23,Cote d'Ivoire,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,CIV,Year,2019,False,,,,,,,,,,,,,137.0,,,88.0,,197.0,137 [88-197],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,CIV,Year,2019,False,,,,,,,,,,,,,21208,,,,,,21 208,,,EN,2025-01-08T23:00:00.000Z
25,Seychelles,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,SYC,Year,2019,False,,,,,,,,,,,,,14.0,,,12.0,,16.0,14 [12-16],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,SYC,Year,2019,False,,,,,,,,,,,,,14,,,,,,14,,,EN,2025-01-08T23:00:00.000Z
