,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
10,Burundi,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,BDI,Year,2019,False,,,,,,,,,,,,,107.0,,,69.0,,153.0,107 [69-153],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,BDI,Year,2019,False,,,,,,,,,,,,,6753,,,,,,6753,,,EN,2025-01-08T23:00:00.000Z
14,Sao Tome and Principe,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,STP,Year,2019,False,,,,,,,,,,,,,114.0,,,45.0,,214.0,114 [45-214],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,STP,Year,2019,False,,,,,,,,,,,,,140,,,,,,140,,,EN,2025-01-08T23:00:00.000Z
15,Senegal,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,SEN,Year,2019,False,,,,,,,,,,,,,117.0,,,83.0,,156.0,117 [83-156],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,SEN,Year,2019,False,,,,,,,,,,,,,13357,,,,,,13 357,,,EN,2025-01-08T23:00:00.000Z
19,Mauritius,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,MUS,Year,2019,False,,,,,,,,,,,,,12.0,,,9.0,,15.0,12 [9-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,MUS,Year,2019,False,,,,,,,,,,,,,119,,,,,,119,,,EN,2025-01-08T23:00:00.000Z
23,Cote d'Ivoire,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,CIV,Year,2019,False,,,,,,,,,,,,,137.0,,,88.0,,197.0,137 [88-197],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,CIV,Year,2019,False,,,,,,,,,,,,,21208,,,,,,21 208,,,EN,2025-01-08T23:00:00.000Z
25,Seychelles,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,SYC,Year,2019,False,,,,,,,,,,,,,14.0,,,12.0,,16.0,14 [12-16],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,SYC,Year,2019,False,,,,,,,,,,,,,14,,,,,,14,,,EN,2025-01-08T23:00:00.000Z
27,Ethiopia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,ETH,Year,2019,False,,,,,,,,,,,,,140.0,,,98.0,,188.0,140 [98-188],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,ETH,Year,2019,False,,,,,,,,,,,,,111039,,,,,,111 039,,,EN,2025-01-08T23:00:00.000Z
28,Chad,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,TCD,Year,2019,False,,,,,,,,,,,,,142.0,,,92.0,,202.0,142 [92-202],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,TCD,Year,2019,False,,,,,,,,,,,,,13634,,,,,,13 634,,,EN,2025-01-08T23:00:00.000Z
29,Ghana,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,GHA,Year,2019,False,,,,,,,,,,,,,144.0,,,70.0,,244.0,144 [70-244],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,GHA,Year,2019,False,,,,,,,,,,,,,14691,,,,,,14 691,,,EN,2025-01-08T23:00:00.000Z
30,Malawi,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,MWI,Year,2019,False,,,,,,,,,,,,,146.0,,,78.0,,235.0,146 [78-235],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,MWI,Year,2019,False,,,,,,,,,,,,,16902,,,,,,16 902,,,EN,2025-01-08T23:00:00.000Z
35,Thailand,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,THA,Year,2019,False,,,,,,,,,,,,,150.0,,,114.0,,191.0,150 [114-191],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,THA,Year,2019,False,,,,,,,,,,,,,87789,,,,,,87 789,,,EN,2025-01-08T23:00:00.000Z
37,Gambia,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,GMB,Year,2019,False,,,,,,,,,,,,,158.0,,,117.0,,204.0,158 [117-204],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,GMB,Year,2019,False,,,,,,,,,,,,,2619,,,,,,2619,,,EN,2025-01-08T23:00:00.000Z
41,Bhutan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,BTN,Year,2019,False,,,,,,,,,,,,,164.0,,,126.0,,208.0,164 [126-208],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,BTN,Year,2019,False,,,,,,,,,,,,,1005,,,,,,1005,,,EN,2025-01-08T23:00:00.000Z
47,Guinea,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,GIN,Year,2019,False,,,,,,,,,,,,,176.0,,,114.0,,251.0,176 [114-251],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,GIN,Year,2019,False,,,,,,,,,,,,,16390,,,,,,16 390,,,EN,2025-01-08T23:00:00.000Z
48,Cameroon,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,CMR,Year,2019,False,,,,,,,,,,,,,179.0,,,116.0,,255.0,179 [116-255],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,CMR,Year,2019,False,,,,,,,,,,,,,24331,,,,,,24 331,,,EN,2025-01-08T23:00:00.000Z
52,Zimbabwe,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,ZWE,Year,2019,False,,,,,,,,,,,,,199.0,,,147.0,,258.0,199 [147-258],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,ZWE,Year,2019,False,,,,,,,,,,,,,21008,,,,,,21 008,,,EN,2025-01-08T23:00:00.000Z
56,Uganda,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AFR,Africa,Country,UGA,Year,2019,False,,,,,,,,,,,,,200.0,,,117.0,,303.0,200 [117-303],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AFR,Africa,Country,UGA,Year,2019,False,,,,,,,,,,,,,65897,,,,,,65 897,,,EN,2025-01-08T23:00:00.000Z
57,India,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,SEAR,South-East Asia,Country,IND,Year,2019,False,,,,,,,,,,,,,202.0,,,179.0,,226.0,202 [179-226],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,SEAR,South-East Asia,Country,IND,Year,2019,False,,,,,,,,,,,,,2162323,,,,,,2 162 323,,,EN,2025-01-08T23:00:00.000Z
