,Location,IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified,IndicatorCoder,Indicatorr,ValueTyper,ParentLocationCoder,ParentLocationr,Location typer,SpatialDimValueCoder,Period typer,Periodr,IsLatestYearr,Dim1 typer,Dim1r,Dim1ValueCoder,Dim2 typer,Dim2r,Dim2ValueCoder,Dim3 typer,Dim3r,Dim3ValueCoder,DataSourceDimValueCoder,DataSourcer,FactValueNumericPrefixr,FactValueNumericr,FactValueUoMr,FactValueNumericLowPrefixr,FactValueNumericLowr,FactValueNumericHighPrefixr,FactValueNumericHighr,Valuer,FactValueTranslationIDr,FactCommentsr,Languager,DateModifiedr
0,Antigua and Barbuda,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,ATG,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,ATG,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
1,Barbados,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,BRB,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,BRB,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
3,Niue,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,NIU,Year,2019,False,,,,,,,,,,,,,0.0,,,0.0,,0.0,0 [0-0],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,NIU,Year,2019,False,,,,,,,,,,,,,0,,,,,,0,,,EN,2025-01-08T23:00:00.000Z
6,Puerto Rico,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,PRI,Year,2019,False,,,,,,,,,,,,,1.3,,,1.1,,1.5,1.3 [1.1-1.5],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,PRI,Year,2019,False,,,,,,,,,,,,,36,,,,,,36,,,EN,2025-01-08T23:00:00.000Z
7,Costa Rica,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,CRI,Year,2019,False,,,,,,,,,,,,,10.0,,,7.7,,13.0,10 [7.7-13],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,CRI,Year,2019,False,,,,,,,,,,,,,405,,,,,,405,,,EN,2025-01-08T23:00:00.000Z
8,Micronesia (Federated States of),MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,FSM,Year,2019,False,,,,,,,,,,,,,103.0,,,79.0,,130.0,103 [79-130],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,FSM,Year,2019,False,,,,,,,,,,,,,91,,,,,,91,,,EN,2025-01-08T23:00:00.000Z
9,Bolivia (Plurinational State of),MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,BOL,Year,2019,False,,,,,,,,,,,,,106.0,,,69.0,,150.0,106 [69-150],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,BOL,Year,2019,False,,,,,,,,,,,,,7461,,,,,,7461,,,EN,2025-01-08T23:00:00.000Z
11,Tonga,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,TON,Year,2019,False,,,,,,,,,,,,,11.0,,,9.3,,13.0,11 [9.3-13],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,TON,Year,2019,False,,,,,,,,,,,,,10,,,,,,10,,,EN,2025-01-08T23:00:00.000Z
16,Peru,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,AMR,Americas,Country,PER,Year,2019,False,,,,,,,,,,,,,119.0,,,91.0,,150.0,119 [91-150],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,AMR,Americas,Country,PER,Year,2019,False,,,,,,,,,,,,,31764,,,,,,31 764,,,EN,2025-01-08T23:00:00.000Z
21,Japan,MDG_0000000020,Incidence of tuberculosis (per 100 000 population per year),text,WPR,Western Pacific,Country,JPN,Year,2019,False,,,,,,,,,,,,,13.0,,,11.0,,15.0,13 [11-15],,,EN,2024-10-27T23:00:00.000Z,TB_c_newinc,Tuberculosis - new and relapse cases,numeric,WPR,Western Pacific,Country,JPN,Year,2019,False,,,,,,,,,,,,,14460,,,,,,14 460,,,EN,2025-01-08T23:00:00.000Z
